"code","uri","label","definition","label_en","label_es","label_fr","label_ru","label_cn","official_name_ar","official_name_en","official_name_es","official_name_fr","official_name_ru","official_name_cn","official_name_ar.1","char12_code","un_code"
"ARM",NA,"Armenia",NA,"Armenia","Armenia","Arménie","<U+0410><U+0440><U+043C><U+0435><U+043D><U+0438><U+044F>","<U+4E9A><U+7F8E><U+5C3C><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0623><U+0631><U+0645><U+064A><U+0646><U+064A><U+0627>","the Republic of Armenia","la República de Armenia","la République d'Arménie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+0440><U+043C><U+0435><U+043D><U+0438><U+044F>","<U+4E9A><U+7F8E><U+5C3C><U+4E9A><U+5171><U+548C><U+56FD>","<U+0623><U+0631><U+0645><U+064A><U+0646><U+064A><U+0627>","Armenia","051"
"AFG",NA,"Afghanistan",NA,"Afghanistan","Afganistán","Afghanistan","<U+0410><U+0444><U+0433><U+0430><U+043D><U+0438><U+0441><U+0442><U+0430><U+043D>","<U+963F><U+5BCC><U+6C57>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0623><U+0641><U+063A><U+0627><U+0646><U+0633><U+062A><U+0627><U+0646> <U+0627><U+0644><U+0625><U+0633><U+0644><U+0627><U+0645><U+064A><U+0629>","The Islamic Republic of Afghanistan","la República Islámica del Afganistán","la République islamique d'Afghanistan","<U+0418><U+0441><U+043B><U+0430><U+043C><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+0444><U+0433><U+0430><U+043D><U+0438><U+0441><U+0442><U+0430><U+043D>","<U+963F><U+5BCC><U+6C57><U+4F0A><U+65AF><U+5170><U+5171><U+548C><U+56FD>","<U+0623><U+0641><U+063A><U+0627><U+0646><U+0633><U+062A><U+0627><U+0646>","Afghanistan","004"
"ALB",NA,"Albania",NA,"Albania","Albania","Albanie","<U+0410><U+043B><U+0431><U+0430><U+043D><U+0438><U+044F>","<U+963F><U+5C14><U+5DF4><U+5C3C><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0623><U+0644><U+0628><U+0627><U+0646><U+064A><U+0627>","the Republic of Albania","la República de Albania","la République d'Albanie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+043B><U+0431><U+0430><U+043D><U+0438><U+044F>","<U+963F><U+5C14><U+5DF4><U+5C3C><U+4E9A><U+5171><U+548C><U+56FD>","<U+0623><U+0644><U+0628><U+0627><U+0646><U+064A><U+0627>","Albania","008"
"DZA",NA,"Algeria",NA,"Algeria","Argelia","Algérie","<U+0410><U+043B><U+0436><U+0438><U+0440>","<U+963F><U+5C14><U+53CA><U+5229><U+4E9A>","<U+0627><U+0644><U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+062F><U+064A><U+0645><U+0642><U+0631><U+0627><U+0637><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0634><U+0639><U+0628><U+064A><U+0651><U+0629>","the People's Democratic Republic of Algeria","la República Argelina Democrática y Popular","la République algérienne démocratique et populaire","<U+0410><U+043B><U+0436><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+041D><U+0430><U+0440><U+043E><U+0434><U+043D><U+0430><U+044F> <U+0414><U+0435><U+043C><U+043E><U+043A><U+0440><U+0430><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+963F><U+5C14><U+53CA><U+5229><U+4E9A><U+6C11><U+4E3B><U+4EBA><U+6C11><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631>","Algeria","012"
"ASM",NA,"American Samoa",NA,"American Samoa","Samoa Americana","Samoa américaines","<U+0410><U+043C><U+0435><U+0440><U+0438><U+043A><U+0430><U+043D><U+0441><U+043A><U+043E><U+0435> <U+0421><U+0430><U+043C><U+043E><U+0430>","<U+7F8E><U+5C5E><U+8428><U+6469><U+4E9A>","<U+0633><U+0627><U+0645><U+0648><U+0627> <U+0627><U+0644><U+0623><U+0645><U+0631><U+064A><U+0643><U+064A><U+0651><U+0629>","the American Samoa","las Samoa Americanas","les Samoa américaines","<U+0410><U+043C><U+0435><U+0440><U+0438><U+043A><U+0430><U+043D><U+0441><U+043A><U+043E><U+0435> <U+0421><U+0430><U+043C><U+043E><U+0430>","<U+7F8E><U+5C5E><U+8428><U+6469><U+4E9A>","<U+0633><U+0627><U+0645><U+0648><U+0627> <U+0627><U+0644><U+0623><U+0645><U+0631><U+064A><U+0643><U+064A><U+0651><U+0629>","Amer Samoa","016"
"AND",NA,"Andorra",NA,"Andorra","Andorra","Andorre","<U+0410><U+043D><U+0434><U+043E><U+0440><U+0440><U+0430>","<U+5B89><U+9053><U+5C14>","<U+0625><U+0645><U+0627><U+0631><U+0629> <U+0623><U+0646><U+062F><U+0648><U+0631><U+0627>","the Principality of Andorra","el Principado de Andorra","la Principauté d'Andorre","<U+041A><U+043D><U+044F><U+0436><U+0435><U+0441><U+0442><U+0432><U+043E> <U+0410><U+043D><U+0434><U+043E><U+0440><U+0440><U+0430>","<U+5B89><U+9053><U+5C14><U+516C><U+56FD>","<U+0623><U+0646><U+062F><U+0648><U+0631><U+0627>","Andorra","020"
"AGO",NA,"Angola",NA,"Angola","Angola","Angola","<U+0410><U+043D><U+0433><U+043E><U+043B><U+0430>","<U+5B89><U+54E5><U+62C9>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0623><U+0646><U+063A><U+0648><U+0644><U+0627>","the Republic of Angola","la República de Angola","la République d'Angola","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+043D><U+0433><U+043E><U+043B><U+0430>","<U+5B89><U+54E5><U+62C9><U+5171><U+548C><U+56FD>","<U+0623><U+0646><U+063A><U+0648><U+0644><U+0627>","Angola","024"
"ATG",NA,"Antigua and Barbuda",NA,"Antigua and Barbuda","Antigua y Barbuda","Antigua-et-Barbuda","<U+0410><U+043D><U+0442><U+0438><U+0433><U+0443><U+0430> <U+0438> <U+0411><U+0430><U+0440><U+0431><U+0443><U+0434><U+0430>","<U+5B89><U+63D0><U+74DC><U+548C><U+5DF4><U+5E03><U+8FBE>","<U+0623><U+0646><U+062A><U+064A><U+063A><U+0648><U+0627> <U+0648><U+0628><U+0631><U+0628><U+0648><U+062F><U+0627>","Antigua and Barbuda","Antigua y Barbuda","Antigua-et-Barbuda","<U+0410><U+043D><U+0442><U+0438><U+0433><U+0443><U+0430> <U+0438> <U+0411><U+0430><U+0440><U+0431><U+0443><U+0434><U+0430>","<U+5B89><U+63D0><U+74DC><U+548C><U+5DF4><U+5E03><U+8FBE>","<U+0623><U+0646><U+062A><U+064A><U+063A><U+0648><U+0627> <U+0648><U+0628><U+0631><U+0628><U+0648><U+062F><U+0627>","Antigua Barb","028"
"ARG",NA,"Argentina",NA,"Argentina","Argentina","Argentine","<U+0410><U+0440><U+0433><U+0435><U+043D><U+0442><U+0438><U+043D><U+0430>","<U+963F><U+6839><U+5EF7>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0623><U+0631><U+062C><U+0646><U+062A><U+064A><U+0646>","the Argentine Republic","la República Argentina","la République argentine","<U+0410><U+0440><U+0433><U+0435><U+043D><U+0442><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+963F><U+6839><U+5EF7><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0623><U+0631><U+062C><U+0646><U+062A><U+064A><U+0646>","Argentina","032"
"AUS",NA,"Australia",NA,"Australia","Australia","Australie","<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>","<U+6FB3><U+5927><U+5229><U+4E9A>","<U+0623><U+0633><U+062A><U+0631><U+0627><U+0644><U+064A><U+0627>","Australia","Australia","l'Australie","<U+0410><U+0432><U+0441><U+0442><U+0440><U+0430><U+043B><U+0438><U+044F>","<U+6FB3><U+5927><U+5229><U+4E9A>","<U+0623><U+0633><U+062A><U+0631><U+0627><U+0644><U+064A><U+0627>","Australia","036"
