code,uri,label,definition
5100000,NA,5100000,NA
5100001,NA,5100001,NA
5100002,NA,5100002,NA
5100003,NA,5100003,NA
5100004,NA,5100004,NA
5100005,NA,5100005,NA
5100006,NA,5100006,NA
5100007,NA,5100007,NA
5100008,NA,5100008,NA
5100009,NA,5100009,NA
5100010,NA,5100010,NA
5100011,NA,5100011,NA
5100012,NA,5100012,NA
5100013,NA,5100013,NA
5100014,NA,5100014,NA
5100015,NA,5100015,NA
5100016,NA,5100016,NA
5100017,NA,5100017,NA
5100018,NA,5100018,NA
5100019,NA,5100019,NA
5100020,NA,5100020,NA
5100021,NA,5100021,NA
5100022,NA,5100022,NA
5100023,NA,5100023,NA
5100024,NA,5100024,NA
5100025,NA,5100025,NA
5100026,NA,5100026,NA
5100027,NA,5100027,NA
5100028,NA,5100028,NA
5100029,NA,5100029,NA
5100030,NA,5100030,NA
5100031,NA,5100031,NA
5100032,NA,5100032,NA
5100033,NA,5100033,NA
5100034,NA,5100034,NA
5100035,NA,5100035,NA
5100036,NA,5100036,NA
5100037,NA,5100037,NA
5100038,NA,5100038,NA
5100039,NA,5100039,NA
5100040,NA,5100040,NA
5100041,NA,5100041,NA
5100042,NA,5100042,NA
5100043,NA,5100043,NA
5100044,NA,5100044,NA
5100045,NA,5100045,NA
5100046,NA,5100046,NA
5100047,NA,5100047,NA
5100048,NA,5100048,NA
5100049,NA,5100049,NA
5100050,NA,5100050,NA
5100051,NA,5100051,NA
5100052,NA,5100052,NA
5100053,NA,5100053,NA
5100054,NA,5100054,NA
5100055,NA,5100055,NA
5100056,NA,5100056,NA
5100057,NA,5100057,NA
5100058,NA,5100058,NA
5100059,NA,5100059,NA
5100060,NA,5100060,NA
5100061,NA,5100061,NA
5100062,NA,5100062,NA
5100063,NA,5100063,NA
5100064,NA,5100064,NA
5100065,NA,5100065,NA
5100066,NA,5100066,NA
5100067,NA,5100067,NA
5100068,NA,5100068,NA
5100069,NA,5100069,NA
5100070,NA,5100070,NA
5100071,NA,5100071,NA
5100072,NA,5100072,NA
5100073,NA,5100073,NA
5100074,NA,5100074,NA
5100075,NA,5100075,NA
5100076,NA,5100076,NA
5100077,NA,5100077,NA
5100078,NA,5100078,NA
5100079,NA,5100079,NA
5100080,NA,5100080,NA
5100081,NA,5100081,NA
5100082,NA,5100082,NA
5100083,NA,5100083,NA
5100084,NA,5100084,NA
5100085,NA,5100085,NA
5100086,NA,5100086,NA
5100087,NA,5100087,NA
5100088,NA,5100088,NA
5100089,NA,5100089,NA
5100090,NA,5100090,NA
5100091,NA,5100091,NA
5100092,NA,5100092,NA
5100093,NA,5100093,NA
5100094,NA,5100094,NA
5100095,NA,5100095,NA
5100096,NA,5100096,NA
5100097,NA,5100097,NA
5100098,NA,5100098,NA
5100099,NA,5100099,NA
5100100,NA,5100100,NA
5100101,NA,5100101,NA
5100102,NA,5100102,NA
5100103,NA,5100103,NA
5100104,NA,5100104,NA
5100105,NA,5100105,NA
5100106,NA,5100106,NA
5100107,NA,5100107,NA
5100108,NA,5100108,NA
5100109,NA,5100109,NA
5100110,NA,5100110,NA
5100111,NA,5100111,NA
5100112,NA,5100112,NA
5100113,NA,5100113,NA
5100114,NA,5100114,NA
5100115,NA,5100115,NA
5100116,NA,5100116,NA
5100117,NA,5100117,NA
5100118,NA,5100118,NA
5100119,NA,5100119,NA
5100120,NA,5100120,NA
5100121,NA,5100121,NA
5100122,NA,5100122,NA
5100123,NA,5100123,NA
5100124,NA,5100124,NA
5100125,NA,5100125,NA
5100126,NA,5100126,NA
5100127,NA,5100127,NA
5100128,NA,5100128,NA
5100129,NA,5100129,NA
5100130,NA,5100130,NA
5100131,NA,5100131,NA
5100132,NA,5100132,NA
5100133,NA,5100133,NA
5100134,NA,5100134,NA
5100135,NA,5100135,NA
5100136,NA,5100136,NA
5100137,NA,5100137,NA
5100138,NA,5100138,NA
5100139,NA,5100139,NA
5100140,NA,5100140,NA
5100141,NA,5100141,NA
5100142,NA,5100142,NA
5100143,NA,5100143,NA
5100144,NA,5100144,NA
5100145,NA,5100145,NA
5100146,NA,5100146,NA
5100147,NA,5100147,NA
5100148,NA,5100148,NA
5100149,NA,5100149,NA
5100150,NA,5100150,NA
5100151,NA,5100151,NA
5100152,NA,5100152,NA
5100153,NA,5100153,NA
5100154,NA,5100154,NA
5100155,NA,5100155,NA
5100156,NA,5100156,NA
5100157,NA,5100157,NA
5100158,NA,5100158,NA
5100159,NA,5100159,NA
5100160,NA,5100160,NA
5100161,NA,5100161,NA
5100162,NA,5100162,NA
5100163,NA,5100163,NA
5100164,NA,5100164,NA
5100165,NA,5100165,NA
5100166,NA,5100166,NA
5100167,NA,5100167,NA
5100168,NA,5100168,NA
5100169,NA,5100169,NA
5100170,NA,5100170,NA
5100171,NA,5100171,NA
5100172,NA,5100172,NA
5100173,NA,5100173,NA
5100174,NA,5100174,NA
5100175,NA,5100175,NA
5100176,NA,5100176,NA
5100177,NA,5100177,NA
5100178,NA,5100178,NA
5100179,NA,5100179,NA
5101000,NA,5101000,NA
5101001,NA,5101001,NA
5101002,NA,5101002,NA
5101003,NA,5101003,NA
5101004,NA,5101004,NA
5101005,NA,5101005,NA
5101006,NA,5101006,NA
5101007,NA,5101007,NA
5101008,NA,5101008,NA
5101009,NA,5101009,NA
5101010,NA,5101010,NA
5101011,NA,5101011,NA
5101012,NA,5101012,NA
5101013,NA,5101013,NA
5101014,NA,5101014,NA
5101015,NA,5101015,NA
5101016,NA,5101016,NA
5101017,NA,5101017,NA
5101018,NA,5101018,NA
5101019,NA,5101019,NA
5101020,NA,5101020,NA
5101021,NA,5101021,NA
5101022,NA,5101022,NA
5101023,NA,5101023,NA
5101024,NA,5101024,NA
5101025,NA,5101025,NA
5101026,NA,5101026,NA
5101027,NA,5101027,NA
5101028,NA,5101028,NA
5101029,NA,5101029,NA
5101030,NA,5101030,NA
5101031,NA,5101031,NA
5101032,NA,5101032,NA
5101033,NA,5101033,NA
5101034,NA,5101034,NA
5101035,NA,5101035,NA
5101036,NA,5101036,NA
5101037,NA,5101037,NA
5101038,NA,5101038,NA
5101039,NA,5101039,NA
5101040,NA,5101040,NA
5101041,NA,5101041,NA
5101042,NA,5101042,NA
5101043,NA,5101043,NA
5101044,NA,5101044,NA
5101045,NA,5101045,NA
5101046,NA,5101046,NA
5101047,NA,5101047,NA
5101048,NA,5101048,NA
5101049,NA,5101049,NA
5101050,NA,5101050,NA
5101051,NA,5101051,NA
5101052,NA,5101052,NA
5101053,NA,5101053,NA
5101054,NA,5101054,NA
5101055,NA,5101055,NA
5101056,NA,5101056,NA
5101057,NA,5101057,NA
5101058,NA,5101058,NA
5101059,NA,5101059,NA
5101060,NA,5101060,NA
5101061,NA,5101061,NA
5101062,NA,5101062,NA
5101063,NA,5101063,NA
5101064,NA,5101064,NA
5101065,NA,5101065,NA
5101066,NA,5101066,NA
5101067,NA,5101067,NA
5101068,NA,5101068,NA
5101069,NA,5101069,NA
