code,uri,label,definition,name_en,name_fr,name_es,name_ar,name_cn,name_ru,isscaap_group_code,taxon_scientific_name,taxon_code,taxon_author,taxon_family,taxon_order
GXM,,Siamese algae-eater,Gyrinocheilus aymonieri,Siamese algae-eater,,,,,,11,Gyrinocheilus aymonieri,140001101001,(Tirant 1883),GYRINOCHEILIDAE,CYPRINIFORMES
CDO,,River carpsucker,Carpiodes carpio,River carpsucker,,,,,,11,Carpiodes carpio,140002101001,(Rafinesque 1820),CATOSTOMIDAE,CYPRINIFORMES
ATC,,Longnose sucker,Catostomus catostomus,Longnose sucker,,,,,,11,Catostomus catostomus,140002101801,(Forster 1773),CATOSTOMIDAE,CYPRINIFORMES
ATO,,White sucker,Catostomus commersonii,White sucker,,,,,,11,Catostomus commersonii,140002101802,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
ATS,,Flannelmouth sucker,Catostomus latipinnis,Flannelmouth sucker,,,,,,11,Catostomus latipinnis,140002101803,Baird & Girard 1853,CATOSTOMIDAE,CYPRINIFORMES
ATU,,Largescale sucker,Catostomus macrocheilus,Largescale sucker,,,,,,11,Catostomus macrocheilus,140002101804,Girard 1856,CATOSTOMIDAE,CYPRINIFORMES
ATE,,Tahoe sucker,Catostomus tahoensis,Tahoe sucker,,,,,,11,Catostomus tahoensis,140002101805,Gill & Jordan 1878,CATOSTOMIDAE,CYPRINIFORMES
ATJ,,Cui-ui,Chasmistes cujus,Cui-ui,,,,,,11,Chasmistes cujus,140002102201,Cope 1883,CATOSTOMIDAE,CYPRINIFORMES
YCL,,Blue sucker,Cycleptus elongatus,Blue sucker,,,,,,11,Cycleptus elongatus,140002102601,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
DEU,,Lost River sucker,Deltistes luxatus,Lost River sucker,,,,,,11,Deltistes luxatus,140002103001,(Cope 1879),CATOSTOMIDAE,CYPRINIFORMES
ERU,,Lake chubsucker,Erimyzon sucetta,Lake chubsucker,,,,,,11,Erimyzon sucetta,140002103401,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
HYN,,Northern hog sucker,Hypentelium nigricans,Northern hog sucker,,,,,,11,Hypentelium nigricans,140002103801,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
BUB,,Bigmouth buffalo,Ictiobus cyprinellus,Bigmouth buffalo,Poisson-taureau,,,大口胭脂鱼,,11,Ictiobus cyprinellus,140002104201,(Valenciennes 1844),CATOSTOMIDAE,CYPRINIFORMES
BUF,,Buffalofishes NEI,Ictiobus spp,Buffalofishes NEI,Poissons-taureaux NCA,,,,Буффало,11,Ictiobus spp,1400021042XX,,CATOSTOMIDAE,CYPRINIFORMES
