code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
ARM,NA,Armenia,NA,Armenia,Arménie,Armenia,أرمينيا,亚美尼亚,Армения
AFG,NA,Afghanistan,NA,Afghanistan,Afghanistan,Afganistán,أفغانستان,阿富汗,Афганистан
ALB,NA,Albania,NA,Albania,Albanie,Albania,ألبانيا,阿尔巴尼亚,Албания
DZA,NA,Algeria,NA,Algeria,Algérie,Argelia,الجزائر,阿尔及利亚,Алжир
ASM,NA,American Samoa,NA,American Samoa,Samoa américaines,Samoa americana,ساموا الأمريكيّة,美属萨摩亚,Американское Самоа
AND,NA,Andorra,NA,Andorra,Andorre,Andorra,أندورا,安道尔,Андорра
AGO,NA,Angola,NA,Angola,Angola,Angola,أنغولا,安哥拉,Ангола
ATG,NA,Antigua and Barbuda,NA,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,أنتيغوا وبربودا,安提瓜和巴布达,Антигуа и Барбуда
ARG,NA,Argentina,NA,Argentina,Argentine,Argentina,الأرجنتين,阿根廷,Аргентина
AUS,NA,Australia,NA,Australia,Australie,Australia,أستراليا,澳大利亚,Австралия
AUT,NA,Austria,NA,Austria,Autriche,Austria,النمسا,奥地利,Австрия
BHS,NA,Bahamas,NA,Bahamas,Bahamas,Bahamas,جزر البهاما,巴哈马,Багамские Острова
BHR,NA,Bahrain,NA,Bahrain,Bahreïn,Bahrein,البحرين,巴林,Бахрейн
BRB,NA,Barbados,NA,Barbados,Barbade,Barbados,بربادوس,巴巴多斯,Барбадос
NA,NA,Belgium-Luxembourg,NA,Belgium-Luxembourg,Belgique-Luxembourg,Belgica-Luxemburgo,NA,NA,NA
BGD,NA,Bangladesh,NA,Bangladesh,Bangladesh,Bangladesh,بنغلاديش,孟加拉国,Бангладеш
BMU,NA,Bermuda,NA,Bermuda,Bermudes,Bermudas,برمودا,百慕大,Бермудские острова
BTN,NA,Bhutan,NA,Bhutan,Bhoutan,Bhután,بوتان,不丹,Бутан
BOL,NA,Bolivia (Plurinational State of),NA,Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),بوليفيا (دولة - المتعددة القوميات),多民族玻利维亚国,Боливия (Многонациональное Государство)
BWA,NA,Botswana,NA,Botswana,Botswana,Botswana,بوتسوانا,博茨瓦纳,Ботсвана
BRA,NA,Brazil,NA,Brazil,Brésil,Brasil,البرازيل,巴西,Бразилия
ABW,NA,Aruba,NA,Aruba,Aruba,Aruba,أَروبا,阿鲁巴岛,Аруба
BLZ,NA,Belize,NA,Belize,Belize,Belice,بليز,伯利兹,Белиз
IOT,NA,British Indian Ocean Territory,NA,British Indian Ocean Territory,Territoire britannique de l'océan Indien,Territorio Británico del Océano Índico,المناطق البريطانيّة في المحيط الهندي,英属印度洋领地,Британская территория в Индийском океане
SLB,NA,Solomon Islands,NA,Solomon Islands,Îles Salomon,Islas Salomón,جزر سليمان,所罗门群岛,Соломоновы Острова
BRN,NA,Brunei Darussalam,NA,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,بروني دار السلام,文莱达鲁萨兰国,Бруней-Даруссалам
BGR,NA,Bulgaria,NA,Bulgaria,Bulgarie,Bulgaria,بلغاريا,保加利亚,Болгария
MMR,NA,Myanmar,NA,Myanmar,Myanmar,Myanmar,ميانمار,缅甸,Мьянма
BDI,NA,Burundi,NA,Burundi,Burundi,Burundi,بوروندي,布隆迪,Бурунди
ATA,NA,Antarctica,NA,Antarctica,Antarctique,Antártida,أنتارتيكا,南极洲,Антарктика
BVT,NA,Bouvet Island,NA,Bouvet Island,Île Bouvet,Isla Bouvet,جزر بوفيه,博维特岛,остров Буве
CMR,NA,Cameroon,NA,Cameroon,Cameroun,Camerún,الكاميرون,喀麦隆,Камерун
CAN,NA,Canada,NA,Canada,Canada,Canadá,كندا,加拿大,Канада
NA,NA,Canton and Enderbury Islands,NA,Canton and Enderbury Islands,Îles Canton et Enderbury,Islas Canton y Enderbury,جزر كانتون وإنديربيري,坎顿和恩德贝里群岛,острова Кантон и Эндербери
CPV,NA,Cabo Verde,NA,Cabo Verde,Cabo Verde,Cabo Verde,كابو فيردي,佛得角,Кабо-Верде
CYM,NA,Cayman Islands,NA,Cayman Islands,Îles Caïmanes,Islas Caimán,جزر كايمان,开曼群岛,Каймановы острова
CAF,NA,Central African Republic,NA,Central African Republic,République centrafricaine,República Centroafricana,جمهوريّة أفريقيا الوسطى,中非共和国,Центральноафриканская Республика
LKA,NA,Sri Lanka,NA,Sri Lanka,Sri Lanka,Sri Lanka,سري لانكا,斯里兰卡,Шри-Ланка
TCD,NA,Chad,NA,Chad,Tchad,Chad,تشاد,乍得,Чад
CHL,NA,Chile,NA,Chile,Chili,Chile,شيلي,智利,Чили
CHN,NA,China,NA,China,Chine,China,الصين,中国,Китай
CXR,NA,Christmas Island,NA,Christmas Island,Île Christmas,Isla de Navidad,جزر كريسماس,圣诞岛,остров Рождества
CCK,NA,Cocos (Keeling) Islands,NA,Cocos (Keeling) Islands,Îles des Cocos (Keeling),Islas Cocos (Keeling),جزر كوكوس - كيلنغ,可可群岛,Кокосовые (Килинг) острова
COL,NA,Colombia,NA,Colombia,Colombie,Colombia,كولومبيا,哥伦比亚,Колумбия
COM,NA,Comoros,NA,Comoros,Comores,Comoras,جزر القمر,科摩罗,Коморские Острова
COG,NA,Congo,NA,Congo,Congo,Congo,الكونغو,刚果,Конго
COK,NA,Cook Islands,NA,Cook Islands,Îles Cook,Islas Cook,جزر كوك,库克群岛,Острова Кука
CRI,NA,Costa Rica,NA,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,哥斯达黎加,Коста-Рика
CUB,NA,Cuba,NA,Cuba,Cuba,Cuba,كوبا,古巴,Куба
CYP,NA,Cyprus,NA,Cyprus,Chypre,Chipre,قبرص,塞浦路斯,Кипр
CSK,NA,Czechoslovakia,NA,Czechoslovakia,Tchécoslovaquie,Checoslovaquia,NA,NA,NA
AZE,NA,Azerbaijan,NA,Azerbaijan,Azerbaïdjan,Azerbaiyán,أذربيجان,阿塞拜疆,Азербайджан
BEN,NA,Benin,NA,Benin,Bénin,Benin,بنن,贝宁,Бенин
DNK,NA,Denmark,NA,Denmark,Danemark,Dinamarca,الدانمرك,丹麦,Дания
DMA,NA,Dominica,NA,Dominica,Dominique,Dominica,دومينيكا,多米尼克,Доминика
DOM,NA,Dominican Republic,NA,Dominican Republic,République dominicaine,República Dominicana,الجمهوريّة الدومينيكيّة,多米尼加共和国,Доминиканская Республика
BLR,NA,Belarus,NA,Belarus,Bélarus,Belarús,بيلاروس,白俄罗斯,Беларусь
ECU,NA,Ecuador,NA,Ecuador,Équateur,Ecuador,إكوادور,厄瓜多尔,Эквадор
EGY,NA,Egypt,NA,Egypt,Égypte,Egipto,مصر,埃及,Египет
SLV,NA,El Salvador,NA,El Salvador,El Salvador,El Salvador,السلفادور,萨尔瓦多,Сальвадор
GNQ,NA,Equatorial Guinea,NA,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,غينيا الاستوائيّة,赤道几内亚,Экваториальная Гвинея
NA,NA,Ethiopia PDR,NA,Ethiopia PDR,Éthiopie RDP,Etiopía RDP,NA,NA,NA
EST,NA,Estonia,NA,Estonia,Estonie,Estonia,إستونيا,爱沙尼亚,Эстония
FRO,NA,Faroe Islands,NA,Faroe Islands,Îles Féroé,Islas Feroe,جزر فاراو,法罗群岛,Фарерские острова
FLK,NA,Falkland Islands (Malvinas),NA,Falkland Islands (Malvinas),Îles Falkland (Malvinas),Islas Malvinas (Falkland Islands),جزر فوكلاند - مالفيناس,福克兰群岛（马尔维纳斯）,Фолклендские (Мальвинские) острова
FJI,NA,Fiji,NA,Fiji,Fidji,Fiji,فيجي,斐济,Фиджи
FIN,NA,Finland,NA,Finland,Finlande,Finlandia,فنلندا,芬兰,Финляндия
FRA,NA,France,NA,France,France,Francia,فرنسا,法国,Франция
GUF,NA,French Guiana,NA,French Guiana,Guyane française,Guayana Francesa,غيانا الفرنسيّة,法属圭亚那,Французская Гвиана
PYF,NA,French Polynesia,NA,French Polynesia,Polynésie française,Polinesia Francesa,بولينيزيا الفرنسية,法属波利尼西亚,Французская Полинезия
ATF,NA,French Southern Territories,NA,French Southern Territories,Terres australes françaises,Tierras Australes Francesas,الأراضي الفرنسية الجنوبية,法属南部领地,Французские южные территории
DJI,NA,Djibouti,NA,Djibouti,Djibouti,Djibouti,جيبوتي,吉布提,Джибути
GEO,NA,Georgia,NA,Georgia,Géorgie,Georgia,جورجيا,格鲁吉亚,Грузия
GAB,NA,Gabon,NA,Gabon,Gabon,Gabón,غابون,加蓬,Габон
GMB,NA,Gambia,NA,Gambia,Gambie,Gambia,غامبيا,冈比亚,Гамбия
NA,NA,Gaza Strip,NA,Gaza Strip,bande de Gaza,Franja de Gaza,قطاع غزة,加沙地带,сектор Газа
NA,NA,"Germany,New Länder",NA,"Germany,New Länder","Allemagne,NouveauxLänder","Alemania,Nuevos Länder",NA,NA,NA
NA,NA,"Germany, Fed. Rep. of",NA,"Germany, Fed. Rep. of","Allemagne, Rép. féd. d'","Alemania, Rep. Fed. de",NA,NA,NA
DEU,NA,Germany,NA,Germany,Allemagne,Alemania,ألمانيا,德国,Германия
BIH,NA,Bosnia and Herzegovina,NA,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,البوسنة والهرسك,波斯尼亚和黑塞哥维那,Босния и Герцеговина
GHA,NA,Ghana,NA,Ghana,Ghana,Ghana,غانا,加纳,Гана
GIB,NA,Gibraltar,NA,Gibraltar,Gibraltar,Gibraltar,جبل طارق,直布罗陀,Гибралтар
KIR,NA,Kiribati,NA,Kiribati,Kiribati,Kiribati,كيريباس,基里巴斯,Кирибати
GRC,NA,Greece,NA,Greece,Grèce,Grecia,اليونان,希腊,Греция
GRL,NA,Greenland,NA,Greenland,Groenland,Groenlandia,غرينلاند,格陵兰,Гренландия
GRD,NA,Grenada,NA,Grenada,Grenade,Granada,غرينادا,格林纳达,Гренада
GLP,NA,Guadeloupe,NA,Guadeloupe,Guadeloupe,Guadalupe,غوادلوب,瓜德罗普,Гваделупа
GUM,NA,Guam,NA,Guam,Guam,Guam,غوام,关岛,Гуам
GTM,NA,Guatemala,NA,Guatemala,Guatemala,Guatemala,غواتيمالا,危地马拉,Гватемала
GIN,NA,Guinea,NA,Guinea,Guinée,Guinea,غينيا,几内亚,Гвинея
GUY,NA,Guyana,NA,Guyana,Guyana,Guyana,غيانا,圭亚那,Гайана
HMD,NA,Heard Island and McDonald Islands,NA,Heard Island and McDonald Islands,Île Heard et Îles McDonald,Isla Heard e Islas McDonald,جزيرة هيرد وجزر ماكدونالد,赫德岛和麦克唐纳岛,остров Херд и острова Макдональд
HTI,NA,Haiti,NA,Haiti,Haïti,Haití,هايتي,海地,Гаити
VAT,NA,Holy See,NA,Holy See,Saint-Siège,Santa Sede,الكرسي الرسولي,罗马教廷,Святой Престол
HND,NA,Honduras,NA,Honduras,Honduras,Honduras,هندوراس,洪都拉斯,Гондурас
HKG,NA,"China, Hong Kong SAR",NA,"China, Hong Kong SAR",Chine - RAS de Hong-Kong,"China, RAE de Hong Kong",الصين - هونغ كونغ منطقة إداريّة خاصة,中国香港特区,"Китай, Специальный административный район Гонконг"
HUN,NA,Hungary,NA,Hungary,Hongrie,Hungría,هنغاريا,匈牙利,Венгрия
HRV,NA,Croatia,NA,Croatia,Croatie,Croacia,كرواتيا,克罗地亚,Хорватия
ISL,NA,Iceland,NA,Iceland,Islande,Islandia,آيسلندا,冰岛,Исландия
IND,NA,India,NA,India,Inde,India,الهند,印度,Индия
IDN,NA,Indonesia,NA,Indonesia,Indonésie,Indonesia,إندونيسيا,印度尼西亚,Индонезия
IRN,NA,Iran (Islamic Republic of),NA,Iran (Islamic Republic of),Iran (République islamique d'),Irán (República Islámica del),إيران (جمهوريّة - الإسلامية),伊朗伊斯兰共和国,Иран (Исламская Республика)
IRQ,NA,Iraq,NA,Iraq,Iraq,Iraq,العراق,伊拉克,Ирак
IRL,NA,Ireland,NA,Ireland,Irlande,Irlanda,أيرلندا,爱尔兰,Ирландия
ISR,NA,Israel,NA,Israel,Israël,Israel,إسرائيل,以色列,Израиль
ITA,NA,Italy,NA,Italy,Italie,Italia,إيطاليا,意大利,Италия
CIV,NA,Côte d'Ivoire,NA,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,كوت ديفوار,科特迪瓦,Кот-д'Ивуар
KAZ,NA,Kazakhstan,NA,Kazakhstan,Kazakhstan,Kazajstán,كازاخستان,哈萨克斯坦,Казахстан
JAM,NA,Jamaica,NA,Jamaica,Jamaïque,Jamaica,جامايكا,牙买加,Ямайка
JPN,NA,Japan,NA,Japan,Japon,Japón,اليابان,日本,Япония
JTN,NA,Johnston Island,NA,Johnston Island,Île Johnston,Isla de Johnston,جزيرة جونستون,约翰斯顿岛,остров Джонстон
JOR,NA,Jordan,NA,Jordan,Jordanie,Jordania,الأردن,约旦,Иордания
KGZ,NA,Kyrgyzstan,NA,Kyrgyzstan,Kirghizistan,Kirguistán,قيرغيزستان,吉尔吉斯斯坦,Кыргызстан
KEN,NA,Kenya,NA,Kenya,Kenya,Kenya,كينيا,肯尼亚,Кения
KHM,NA,Cambodia,NA,Cambodia,Cambodge,Camboya,كمبوديا,柬埔寨,Камбоджа
PRK,NA,Democratic People's Republic of Korea,NA,Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática de Corea,جمهوريّة كوريا الشعبيّة الديمقراطية,朝鲜民主主义人民共和国,Корейская Народно-Демократическая Республика
KOR,NA,Republic of Korea,NA,Republic of Korea,République de Corée,República de Corea,جمهوريّة كوريا,大韩民国,Республика Корея
KWT,NA,Kuwait,NA,Kuwait,Koweït,Kuwait,الكويت,科威特,Кувейт
LVA,NA,Latvia,NA,Latvia,Lettonie,Letonia,لاتفيا,拉脱维亚,Латвия
LAO,NA,Lao People's Democratic Republic,NA,Lao People's Democratic Republic,République démocratique populaire lao,República Democrática Popular Lao,جمهوريّة لاو الديمقراطية الشعبية,老挝人民民主共和国,Лаосская Народно-Демократическая Республика
LBN,NA,Lebanon,NA,Lebanon,Liban,Líbano,لبنان,黎巴嫩,Ливан
LSO,NA,Lesotho,NA,Lesotho,Lesotho,Lesotho,ليسوتو,莱索托,Лесото
LBR,NA,Liberia,NA,Liberia,Libéria,Liberia,ليبريا,利比里亚,Либерия
LBY,NA,Libya,NA,Libya,Libye,Libia,ليبيا,利比亚,Ливия
LIE,NA,Liechtenstein,NA,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,列支敦士登,Лихтенштейн
LTU,NA,Lithuania,NA,Lithuania,Lituanie,Lituania,ليتوانيا,立陶宛,Литва
MHL,NA,Marshall Islands,NA,Marshall Islands,Îles Marshall,Islas Marshall,جزر مارشال,马绍尔群岛,Маршалловы Острова
MAC,NA,"China, Macao SAR",NA,"China, Macao SAR",Chine - RAS de Macao,"China, RAE de Macao",الصين - مكاو منطقة إداريّة خاصّة,中国澳门特区,"Китай, Специальный административный район Макао"
MDG,NA,Madagascar,NA,Madagascar,Madagascar,Madagascar,مدغشقر,马达加斯加,Мадагаскар
MWI,NA,Malawi,NA,Malawi,Malawi,Malawi,ملاوي,马拉维,Малави
MYS,NA,Malaysia,NA,Malaysia,Malaisie,Malasia,ماليزيا,马来西亚,Малайзия
MDV,NA,Maldives,NA,Maldives,Maldives,Maldivas,ملديف,马尔代夫,Мальдивские Острова
MLI,NA,Mali,NA,Mali,Mali,Malí,مالي,马里,Мали
MLT,NA,Malta,NA,Malta,Malte,Malta,مالطة,马耳他,Мальта
MTQ,NA,Martinique,NA,Martinique,Martinique,Martinica,مارتينيك,马提尼克,Мартиника
MRT,NA,Mauritania,NA,Mauritania,Mauritanie,Mauritania,موريتانيا,毛里塔尼亚,Мавритания
MUS,NA,Mauritius,NA,Mauritius,Maurice,Mauricio,موريشيوس,毛里求斯,Маврикий
MEX,NA,Mexico,NA,Mexico,Mexique,México,المكسيك,墨西哥,Мексика
MID,NA,Midway Islands,NA,Midway Islands,îles Midway,Islas Midway,جزر ميدواي,中途岛,острова Мидуэй
MCO,NA,Monaco,NA,Monaco,Monaco,Mónaco,موناكو,摩纳哥,Монако
MNG,NA,Mongolia,NA,Mongolia,Mongolie,Mongolia,منغوليا,蒙古,Монголия
MSR,NA,Montserrat,NA,Montserrat,Montserrat,Montserrat,مونتيسيرات,蒙特塞拉特,Монтсеррат
MAR,NA,Morocco,NA,Morocco,Maroc,Marruecos,المغرب,摩洛哥,Марокко
MOZ,NA,Mozambique,NA,Mozambique,Mozambique,Mozambique,موزامبيق,莫桑比克,Мозамбик
FSM,NA,Micronesia (Federated States of),NA,Micronesia (Federated States of),Micronésie (États fédérés de),Micronesia (Estados Federados de),ميكرونيزيا (ولايات - الموحدة),密克罗尼西亚联邦,Микронезия (Федеративные Штаты)
MDA,NA,Republic of Moldova,NA,Republic of Moldova,République de Moldova,República de Moldova,جمهوريّة مولدوفا,摩尔多瓦共和国,Республика Молдова
NAM,NA,Namibia,NA,Namibia,Namibie,Namibia,ناميبيا,纳米比亚,Намибия
NRU,NA,Nauru,NA,Nauru,Nauru,Nauru,ناورو,瑙鲁,Науру
NPL,NA,Nepal,NA,Nepal,Népal,Nepal,نيبال,尼泊尔,Непал
NLD,NA,Netherlands (Kingdom of the),NA,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),هولندا (مملكة _),荷兰王国,Нидерланды (Королевство)
ANT,NA,Netherlands Antilles,NA,Netherlands Antilles,Antilles néerlandaises,Antillas Neerlandesas,من جزر الأنتيل الهولندية,荷属安的列斯人/属安的列斯人的,(из/ житель) Голландских Антильских островов
NA,NA,Neutral Zone,NA,Neutral Zone,Zone Neutre,Zona Neutral,المنطقة المحايدة,中立区,Нейтральная зона
NCL,NA,New Caledonia,NA,New Caledonia,Nouvelle-Calédonie,Nueva Caledonia,كاليدونيا الجديدة,新喀里多尼亚,Новая Каледония
MKD,NA,North Macedonia,NA,North Macedonia,Macédoine du Nord,Macedonia del Norte,مقدونيا الشمالية,北马其顿,Северная Македония
VUT,NA,Vanuatu,NA,Vanuatu,Vanuatu,Vanuatu,فانواتو,瓦努阿图,Вануату
NZL,NA,New Zealand,NA,New Zealand,Nouvelle-Zélande,Nueva Zelandia,نيوزيلندا,新西兰,Новая Зеландия
NIC,NA,Nicaragua,NA,Nicaragua,Nicaragua,Nicaragua,نيكاراغوا,尼加拉瓜,Никарагуа
NER,NA,Niger,NA,Niger,Niger,Níger,النيجر,尼日尔,Нигер
NGA,NA,Nigeria,NA,Nigeria,Nigéria,Nigeria,نيجيريا,尼日利亚,Нигерия
NIU,NA,Niue,NA,Niue,Nioué,Niue,نيوي,纽埃,Ниуэ
NFK,NA,Norfolk Island,NA,Norfolk Island,Île Norfolk,Isla Norfolk,جزيرة نورفولك,诺福克岛,остров Норфолк
NOR,NA,Norway,NA,Norway,Norvège,Noruega,النرويج,挪威,Норвегия
MNP,NA,Northern Mariana Islands,NA,Northern Mariana Islands,Îles Mariannes du Nord,Islas Marianas del Norte,جزر ماريانا الشمالية,北马里亚纳群岛,Северные Марианские острова
NA,NA,Trust Territory of the Pacific Islands,NA,Trust Territory of the Pacific Islands,Territoire sous tutelle des Îles du Pacifique,Territorio en Fideicomiso de las Islas del Pacífico,إقليم جزر المحيط الهادئ المشمول بالوصاية,太平洋岛屿托管领土,подопечная территория Тихоокеанские острова
PAK,NA,Pakistan,NA,Pakistan,Pakistan,Pakistán,باكستان,巴基斯坦,Пакистан
PAN,NA,Panama,NA,Panama,Panama,Panamá,بنما,巴拿马,Панама
CZE,NA,Czechia,NA,Czechia,Tchéquie,Chequia,تشيكيا,捷克,Чехия
PNG,NA,Papua New Guinea,NA,Papua New Guinea,Papouasie-Nouvelle-Guinée,Papua Nueva Guinea,بابوا غينيا الجديدة,巴布亚新几内亚,Папуа – Новая Гвинея
PRY,NA,Paraguay,NA,Paraguay,Paraguay,Paraguay,باراغواي,巴拉圭,Парагвай
PER,NA,Peru,NA,Peru,Pérou,Perú,بيرو,秘鲁,Перу
