code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
051,NA,Armenia,NA,Armenia,Arménie,Armenia,أرمينيا,亚美尼亚,Армения
004,NA,Afghanistan,NA,Afghanistan,Afghanistan,Afganistán,أفغانستان,阿富汗,Афганистан
008,NA,Albania,NA,Albania,Albanie,Albania,ألبانيا,阿尔巴尼亚,Албания
012,NA,Algeria,NA,Algeria,Algérie,Argelia,الجزائر,阿尔及利亚,Алжир
016,NA,American Samoa,NA,American Samoa,Samoa américaines,Samoa americana,ساموا الأمريكيّة,美属萨摩亚,Американское Самоа
020,NA,Andorra,NA,Andorra,Andorre,Andorra,أندورا,安道尔,Андорра
024,NA,Angola,NA,Angola,Angola,Angola,أنغولا,安哥拉,Ангола
028,NA,Antigua and Barbuda,NA,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,أنتيغوا وبربودا,安提瓜和巴布达,Антигуа и Барбуда
032,NA,Argentina,NA,Argentina,Argentine,Argentina,الأرجنتين,阿根廷,Аргентина
036,NA,Australia,NA,Australia,Australie,Australia,أستراليا,澳大利亚,Австралия
040,NA,Austria,NA,Austria,Autriche,Austria,النمسا,奥地利,Австрия
044,NA,Bahamas,NA,Bahamas,Bahamas,Bahamas,جزر البهاما,巴哈马,Багамские Острова
048,NA,Bahrain,NA,Bahrain,Bahreïn,Bahrein,البحرين,巴林,Бахрейн
052,NA,Barbados,NA,Barbados,Barbade,Barbados,بربادوس,巴巴多斯,Барбадос
058,NA,Belgium-Luxembourg,NA,Belgium-Luxembourg,Belgique-Luxembourg,Belgica-Luxemburgo,NA,NA,NA
050,NA,Bangladesh,NA,Bangladesh,Bangladesh,Bangladesh,بنغلاديش,孟加拉国,Бангладеш
060,NA,Bermuda,NA,Bermuda,Bermudes,Bermudas,برمودا,百慕大,Бермудские острова
064,NA,Bhutan,NA,Bhutan,Bhoutan,Bhután,بوتان,不丹,Бутан
068,NA,Bolivia (Plurinational State of),NA,Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de),بوليفيا (دولة - المتعددة القوميات),多民族玻利维亚国,Боливия (Многонациональное Государство)
072,NA,Botswana,NA,Botswana,Botswana,Botswana,بوتسوانا,博茨瓦纳,Ботсвана
076,NA,Brazil,NA,Brazil,Brésil,Brasil,البرازيل,巴西,Бразилия
533,NA,Aruba,NA,Aruba,Aruba,Aruba,أَروبا,阿鲁巴岛,Аруба
084,NA,Belize,NA,Belize,Belize,Belice,بليز,伯利兹,Белиз
086,NA,British Indian Ocean Territory,NA,British Indian Ocean Territory,Territoire britannique de l'océan Indien,Territorio Británico del Océano Índico,المناطق البريطانيّة في المحيط الهندي,英属印度洋领地,Британская территория в Индийском океане
090,NA,Solomon Islands,NA,Solomon Islands,Îles Salomon,Islas Salomón,جزر سليمان,所罗门群岛,Соломоновы Острова
096,NA,Brunei Darussalam,NA,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,بروني دار السلام,文莱达鲁萨兰国,Бруней-Даруссалам
100,NA,Bulgaria,NA,Bulgaria,Bulgarie,Bulgaria,بلغاريا,保加利亚,Болгария
104,NA,Myanmar,NA,Myanmar,Myanmar,Myanmar,ميانمار,缅甸,Мьянма
