code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
01,NA,Africa - Inland waters,NA,Africa - Inland waters,Afrique - Eaux continentales,África - Aguas continentales,أفريقيا – المياه الداخلية,非洲内陆水域,Африка – внутренние воды
02,NA,"America, North - Inland waters",NA,"America, North - Inland waters",Amérique du Nord - Eaux continentales,América del Norte - Aguas continentales,مياه داخلية – أمريكا الشمالية,北美洲-内陆水域,Северная Америка – внутренние воды
03,NA,"America, South - Inland waters",NA,"America, South - Inland waters",Amérique du Sud - Eaux continentales,América del Sur - Aguas continentales,مياه داخلية – أمريكا الجنوبية,南美洲-内陆水域,Южная Америка – внутренние воды
04,NA,Asia - Inland waters,NA,Asia - Inland waters,Asie - Eaux continentales,Asia - Aguas continentales,آسيا – المياه الداخلية,亚洲-内陆水域,Азия – внутренние воды
05,NA,Europe - Inland waters,NA,Europe - Inland waters,Europe - Eaux continentales,Europa - Aguas continentales,أوروبا – المياه الداخلية,欧洲-内陆水域,Европа – внутренние воды
06,NA,Oceania - Inland waters,NA,Oceania - Inland waters,Océanie - Eaux continentales,Oceanía - Aguas continentales,أوسيانيا- مياه داخلية,大洋州-内陆水域,Океания – внутренние воды
07,NA,Former USSR area - Inland waters,NA,Former USSR area - Inland waters,Zone de l'ex-URSS - Eaux continentales,Área de la ex URSS - Aguas continentales,منطقة الاتحاد السوفياتي السابق – المياه الداخلية,前苏联地区-内陆水域,территория бывшего СССР – внутренние воды
18,NA,Arctic Sea,NA,Arctic Sea,Mer Arctique,Mar Ártico,المحيط القطبي الشمالي,北冰洋,Северный Ледовитый океан
21,NA,"Atlantic, Northwest",NA,"Atlantic, Northwest","Atlantique, nord-ouest","Atlántico, noroeste",شمال غربي المحيط الأطلسي,西北大西洋,Северо-Западная Атлантика
27,NA,"Atlantic, Northeast",NA,"Atlantic, Northeast","Atlantique, nord-est","Atlántico, nordeste",شمال شرق المحيط الأطلسي,东北大西洋,Северо-Восточная Атлантика
31,NA,"Atlantic, Western Central",NA,"Atlantic, Western Central","Atlantique, centre-ouest","Atlántico, centro-occidental",غرب وسط المحيط الأطلسي,西部中大西洋,Центрально-Западная Атлантика
34,NA,"Atlantic, Eastern Central",NA,"Atlantic, Eastern Central","Atlantique, centre-est","Atlántico, centro-oriental",شرق وسط المحيط الأطلنطي,中东大西洋,Центрально-Восточная Атлантика
37,NA,Mediterranean and Black Sea,NA,Mediterranean and Black Sea,Méditerranée et mer Noire,Mediterráneo y Mar Negro,البحر الأبيض المتوسط والبحر الأسود,地中海和黑海,Средиземное и Черное моря
