"code","uri","label","definition"
"coefficient_variation",,"Coefficient of variation",
"cpue",,"CPUE",
"cpue_spatial_accuracy",,"CPUE spatial accuracy",
"cpue_temporal_accuracy",,"CPUE temporal accuracy",
"discarded",,"Discarded catch",
"fish_average_weight",,"Fish average weight",
"nominal",,"Nominal catch",
"nominal_landed",,"Nominal landings",
"number",,"Number",
"number_species",,"Number of species",
"retained",,"Retained catch",
"sample_size",,"Sample size",
"spatial_accuracy",,"Spatial accuracy",
"species_ratio",,"Species ratio",
"sui",,"Catch sufficient uniformity index",
"temporal_accuracy",,"Temporal accuracy",

