code,uri,label,definition
activity_coefficient,,Activity coefficient,
activity_coefficient_spatial_accuracy,,Activity coefficient spatial accuracy,
activity_coefficient_temporal_accuracy,,Activity coefficient temporal accuracy,
coefficient_variation,,Coefficient of variation,
fishing_duration,,Fishing duration,
fishing_reference_period,,Fishing reference period,
fishable_duration,,Fishable duration,
nominal,,Nominal effort,
number_sampled_days,,Number of sampled days,
sample_size,,Sample size,
sui,,Effort sufficient uniformity index,
total_fishing_duration,,Total fishing duration,
total_fishing_reference_period,,Total fishing reference period,
