"code","label","bandera"
"BLZ","Belize","Belice"
"BMU","Bermuda","Bermudas"
"BOL","Bolivia","Bolivia"
"CAN","Canada","Canadá"
"CHL","Chile","Chile"
"CHN","China","China"
"COG","Congo","Congo"
"COK","Cook Islands","Islas Cook"
"COL","Colombia","Colombia"
"CRI","Costa Rica","Costa Rica"
"CYM","Cayman Islands","Islas Caimán"
"CYP","Cyprus","Chipre"
"DEU","Germany","Alemania"
"ECU","Ecuador","Ecuador"
"ESP","Spain","España"
"EU","European Union","Unión Europea"
"FRA","France","Francia"
"FSM","Federated States of Micronesia","Estados Federados de Micronesia"
"GBR","United Kingdom","Reino Unido"
"GEO","Georgia","Georgia"
"GTM","Guatemala","Guatemala"
"HND","Honduras","Honduras"
"IDN","Indonesia","Indonesia"
"ITA","Italy","Italia"
"JPN","Japan","Japón"
"KOR","Korea","Corea"
"LBR","Liberia","Liberia"
"MEX","Mexico","México"
"NIC","Nicaragua","Nicaragua"
"NLD","Netherlands","Holanda"
"NOR","Norway","Noruega"
"NZL","New Zealand","Nueva Zelandia"
"OTR","Others","Otros"
"PAN","Panama","Panamá"
"PER","Peru","Perú"
"POL","Poland","Polonia"
"PRT","Portugal","Portugal"
"PYF","French Polynesia","Polinesia Francesa"
"RUS","Russia","Rusia"
"SEN","Senegal","Senegal"
"SLB","Solomon Islands","Islas Salomón"
"SLV","El Salvador","El Salvador"
"SYC","Seychelles","Seychelles"
"TWN","Chinese Taipei","Taipei Chino"
"UNK","Unknown","desconocido"
"URY","Uruguay","Uruguay"
"USA","United States","Estados Unidos"
"VCT","St. Vincent","San Vicente"
"VEN","Venezuela","Venezuela"
"VUT","Vanuatu","Vanuatú"
"YUG","Yugoslavia","Yugoslavia"
