code,label,flagid,status,partyname
UNCL,Unclassified flag,0,NCO,NA
DZA,Algerie,1,CP,ALGÉRIE
ARG,Argentina,2,NCO,Non-contracting parties
BRA,Brazil,3,CP,BRAZIL
CAN,Canada,4,CP,CANADA
TAI,Chinese Taipei,5,NCC,Chinese Taipei
CUB,Cuba,6,NCO,Non-contracting parties
EU.DNK,EU.Denmark,7,CP,EUROPEAN UNION
EU.FRA,EU.France,8,CP,EUROPEAN UNION
EU.DEU,EU.Germany,9,CP,EUROPEAN UNION
EU.GRC,EU.Greece,10,CP,EUROPEAN UNION
EU.ITA,EU.Italy,11,CP,EUROPEAN UNION
JPN,Japan,12,CP,JAPAN
KOR,Korea Rep.,13,CP,KOREA REP.
LBY,Libya,14,CP,LIBYA
EU.MLT,EU.Malta,15,CP,EUROPEAN UNION
MAR,Maroc,16,CP,MAROC
NOR,Norway,17,CP,NORWAY
EU.POL,EU.Poland,18,CP,EUROPEAN UNION
EU.PRT,EU.Portugal,19,CP,EUROPEAN UNION
ZAF,South Africa,20,CP,SOUTH AFRICA
EU.ESP,EU.España,21,CP,EUROPEAN UNION
EU.SWE,EU.Sweden,22,CP,EUROPEAN UNION
TUN,Tunisie,23,CP,TUNISIE
TUR,Turkey,24,CP,TURKEY
USA,U.S.A.,25,CP,UNITED STATES
YUG,Yugoslavia Fed.,26,NCO,Non-contracting parties
GHA,Ghana,27,CP,GHANA
PAN,Panama,28,CP,PANAMA
VEN,Venezuela,29,CP,VENEZUELA
GRD,Grenada,30,CP,GRENADA
MEX,Mexico,31,CP,MEXICO
AGO,Angola,34,CP,ANGOLA
SUN,U.S.S.R.,35,CP,RUSSIA
DOM,Dominican Republic,37,NCO,Non-contracting parties
ISR,Israel,38,NCO,Non-contracting parties
LBN,Lebanon,39,NCO,Non-contracting parties
SLE,Sierra Leone,40,CP,SIERRA LEONE
TTO,Trinidad and Tobago,41,CP,TRINIDAD & TOBAGO
URY,Uruguay,42,CP,URUGUAY
VIR,US Virgin Islands,43,NCO,Non-contracting parties
EU.BGR,EU.Bulgaria,47,CP,EUROPEAN UNION
EU.CYP,EU.Cyprus,48,CP,EUROPEAN UNION
DDR,Germany Democratic Rep.,49,NCO,Non-contracting parties
CIV,Côte d'Ivoire,50,CP,CÔTE D'IVOIRE
LBR,Liberia,51,CP,LIBERIA
EU.ROU,EU.Rumania,52,CP,EUROPEAN UNION
SEN,Senegal,53,CP,SENEGAL
PRI,Puerto Rico,58,NCO,Non-contracting parties
EGY,Egypt,60,CP,EGYPT
