code,label
Albania,Albania
Algerie,Algerie
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Aruba,Aruba
Australia,Australia
Bahamas,Bahamas
Barbados,Barbados
Belarus,Belarus
Belize,Belize
Belize (foreign obs.),Belize (foreign obs.)
Benin,Benin
Bolivia,Bolivia
Brazil,Brazil
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Cayman Islands,Cayman Islands
Chile,Chile
China (ICCAT program),China (ICCAT program)
China PR,China PR
Chinese Taipei,Chinese Taipei
Chinese Taipei (foreign obs.),Chinese Taipei (foreign obs.)
Colombia,Colombia
Congo,Congo
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Cuba,Cuba
Cuba (ICCAT program),Cuba (ICCAT program)
Curaçao,Curaçao
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
EU.Belgium,EU.Belgium
EU.Bulgaria,EU.Bulgaria
EU.Croatia,EU.Croatia
EU.Cyprus,EU.Cyprus
EU.Denmark,EU.Denmark
EU.España,EU.España
EU.Estonia,EU.Estonia
EU.France,EU.France
EU.Germany,EU.Germany
EU.Greece,EU.Greece
EU.Ireland,EU.Ireland
EU.Italy,EU.Italy
EU.Latvia,EU.Latvia
EU.Lithuania,EU.Lithuania
EU.Malta,EU.Malta
EU.Netherlands,EU.Netherlands
EU-others,EU-others
EU.Poland,EU.Poland
EU.Portugal,EU.Portugal
EU.Slovenia,EU.Slovenia
EU.Sweden,EU.Sweden
EU.United Kingdom,EU.United Kingdom
Falklands,Falklands
Faroe Islands,Faroe Islands
Fiji Islands,Fiji Islands
FR.St Pierre et Miquelon,FR.St Pierre et Miquelon
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany Democratic Rep,Germany Democratic Rep
Ghana,Ghana
Ghana (ICCAT program),Ghana (ICCAT program)
Grenada,Grenada
Guam,Guam
Guatemala,Guatemala
Guinea Bissau,Guinea Bissau
Guinea Ecuatorial,Guinea Ecuatorial
Guinée Rep.,Guinée Rep.
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Honduras (foreign obs.),Honduras (foreign obs.)
ICCAT (RMA),ICCAT (RMA)
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Israel,Israel
Jamaica,Jamaica
Japan,Japan
Japan (foreign obs.),Japan (foreign obs.)
Japan (ICCAT program),Japan (ICCAT program)
Japan (reference),Japan (reference)
Kenya,Kenya
Kiribati,Kiribati
Korea Rep.,Korea Rep.
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Madagascar,Madagascar
Malaysia,Malaysia
Maldives,Maldives
Maroc,Maroc
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Micronesia,Micronesia
Mixed flags (EU tropical),Mixed flags (EU tropical)
Mixed flags (FIS),Mixed flags (FIS)
Mixed flags (FR+ES),Mixed flags (FR+ES)
Mixed flags (KR+PA),Mixed flags (KR+PA)
Montenegro,Montenegro
Mozambique,Mozambique
Namibia,Namibia
NEI (BIL),NEI (BIL)
NEI (combined),NEI (combined)
NEI (ETRO),NEI (ETRO)
NEI (Flag related),NEI (Flag related)
NEI (MED),NEI (MED)
NEI (UK.OT),NEI (UK.OT)
New Zealand,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Palau,Palau
Palestine,Palestine
Panama,Panama
Panama (foreign obs.),Panama (foreign obs.)
Papua New Guinea,Papua New Guinea
Perú,Perú
Philippines,Philippines
Polynesie Française,Polynesie Française
Puerto Rico,Puerto Rico
Rumania,Rumania
Russian Federation,Russian Federation
Saint Kitts and Nevis,Saint Kitts and Nevis
Samoa,Samoa
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Seychelles (foreign obs.),Seychelles (foreign obs.)
Sierra Leone,Sierra Leone
Singapore,Singapore
Singapore (foreign obs.),Singapore (foreign obs.)
Solomon Islands,Solomon Islands
South Africa,South Africa
Sri Lanka,Sri Lanka
Sta. Lucia,Sta. Lucia
S. Tomé e Príncipe,S. Tomé e Príncipe
St. Vincent and Grenadines,St. Vincent and Grenadines
Suriname,Suriname
Switzerland,Switzerland
Syria,Syria
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisie,Tunisie
Turkey,Turkey
Tuvalu,Tuvalu
UK.Bermuda,UK.Bermuda
UK.British Virgin Islands,UK.British Virgin Islands
Ukraine,Ukraine
UK.Sta Helena,UK.Sta Helena
UK.Turks and Caicos,UK.Turks and Caicos
Unclassified flag,Unclassified flag
United Arab Emirates,United Arab Emirates
Uruguay,Uruguay
U.S.A.,U.S.A.
U.S.S.R.,U.S.S.R.
US Virgin Islands,US Virgin Islands
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
Yugoslavia Fed.,Yugoslavia Fed.
Guinée Conacry,Guinée Conacry
Netherlands Antilles,Netherlands Antilles
Côte D Ivoire,Côte D Ivoire
Côte d Ivoire,Côte d Ivoire
Côte d’Ivoire,Côte d’Ivoire
Serbia and Montenegro,Serbia and Montenegro
