code,label,flotte
ARE,UN. ARAB EMIRATES,EMIRATS ARABES UNIES
AUS,AUSTRALIA,AUSTRALIE
BGD,BANGLADESH,BANGLADESH
BHR,BAHRAIN,BAHREÏN
BLZ,BELIZE,BELIZE
CHN,CHINA,CHINE
COM,COMOROS,COMORES
DJI,DJIBOUTI,DJIBOUTI
EGY,EGYPT,EGYPTE
ERI,ERITREA,ERYTHRÉE
EUBGR,EU.BULGARIA,UE.BULGARIE
EUDEU,EU.GERMANY,UE.ALLEMAGNE
EUESP,EU.SPAIN,UE.ESPAGNE
EUFRA,EU.FRANCE,UE.FRANCE
EUGBR,EU.UK,UE.RU
EUITA,EU.ITALY,EU.ITALIE
EUMYT,EU.FRANCE.MAYOTTE,UE.FRANCE.MAYOTTE
EUPRT,EU.PORTUGAL,UE.PORTUGAL
EUREU,EU.FRANCE.REUNION,UE.FRANCE.RÉUNION
FRAT,FR.TERRITORIES,FR.TERRITOIRES
GBR,UNITED KINGDOM,ROYAME UNI
GBRT,UK.TERRITORIES,RU.TERRITOIRES
GIN,GUINEA,GUINÉE
IDN,INDONESIA,INDONÉSIE
IND,INDIA,INDE
IRN,IRAN ISLAMIC REP.,IRAN RÉP. ISLAMIQUE
ISR,ISRAEL,ISRAËL
JOR,JORDAN,JORDANIE
JPN,JAPAN,JAPON
KEN,KENYA,KENYA
KOR,KOREA REP.,CORÉE RÉP.
KWT,KUWAIT,KOWEÏT
LKA,SRI LANKA,SRI LANKA
MDG,MADAGASCAR,MADAGASCAR
MDV,MALDIVES,MALDIVES
MMR,MYANMAR,MYANMAR
MOZ,MOZAMBIQUE,MOZAMBIQUE
MUS,MAURITIUS,MAURICE
MYS,MALAYSIA,MALAISIE
NEICE,NEI.FRESH,NCA.FRAIS
NEIDN,NEI.EEZ_INDONESIA,NCA.ZEE_INDONÉSIE
NEIFR,NEI.FROZEN,NCA.CONGELÉ
NEIPS,NEI.OTHER,NCA.AUTRE
NEISU,NEI.EXSOVIET,NCA.EXSOVIÉTIQUE
OMN,OMAN,OMAN
PAK,PAKISTAN,PAKISTAN
PHL,PHILIPPINES,PHILIPPINES
QAT,QATAR,QATAR
SAU,SAUDI ARABIA,ARABIE SAOUDITE
SDN,SUDAN,SOUDAN
SEN,SENEGAL,SÉNÉGAL
SUN,SOVIET UNION,UNION SOVIÉTIQUE
SYC,SEYCHELLES,SEYCHELLES
THA,THAILAND,THAÏLANDE
TMP,EAST TIMOR,TIMOR ORIENTAL
TWN,"TAIWAN,CHINA","TAIWAN,CHINE"
TZA,TANZANIA,TANZANIE
VUT,VANUATU,VANUATU
YEM,YEMEN,YÉMEN
ZAF,SOUTH AFRICA,AFRIQUE DU SUD
