code,label,speciesid,sciename,label_fr, label_es,iccspcgrp,taxontype
BFT,Northern bluefin tuna,1,Thunnus thynnus,Thon rouge du Nord,Atún rojo,1-Tuna (major sp.),1-Species
YFT,Yellowfin tuna,3,Thunnus albacares,Albacore,Rabil,1-Tuna (major sp.),1-Species
ALB,Albacore,4,Thunnus alalunga,Germon,Atún blanco,1-Tuna (major sp.),1-Species
BET,Bigeye tuna,5,Thunnus obesus,Thon obèse(=Patudo),Patudo,1-Tuna (major sp.),1-Species
SKJ,Skipjack tuna,8,Katsuwonus pelamis,Listao,Listado,1-Tuna (major sp.),1-Species
SAI,Atlantic sailfish,15,Istiophorus albicans,Voilier de l'Atlantique,Pez vela del Atlántico,1-Tuna (major sp.),1-Species
BUM,Atlantic blue marlin,17,Makaira nigricans,Makaire bleu de l'Atlantique,Aguja azul del Atlántico,1-Tuna (major sp.),1-Species
WHM,Atlantic white marlin,18,Kajikia albida,Makaire blanc de l'Atlantique,Aguja blanca del Atlántico,1-Tuna (major sp.),1-Species
SWO,Swordfish,19,Xiphias gladius,Espadon,Pez espada,1-Tuna (major sp.),1-Species
SPF,Longbill spearfish,20,Tetrapturus pfluegeri,Makaire bécune,Aguja picuda,1-Tuna (major sp.),1-Species
BLF,Blackfin tuna,6,Thunnus atlanticus,Thon à nageoires noires,Atún des aletas negras,2-Tuna (small),1-Species
LTA,Little tunny(=Atl.black skipj),7,Euthynnus alletteratus,Thonine commune,Bacoreta,2-Tuna (small),1-Species
BON,Atlantic bonito,9,Sarda sarda,Bonite à dos rayé,Bonito del Atlántico,2-Tuna (small),1-Species
FRI,Frigate tuna,10,Auxis thazard,Auxide,Melva,2-Tuna (small),1-Species
BOP,Plain bonito,11,Orcynopsis unicolor,Palomette,Tasarte,2-Tuna (small),1-Species
WAH,Wahoo,12,Acanthocybium solandri,Thazard-bâtard,Peto,2-Tuna (small),1-Species
SSM,Atlantic Spanish mackerel,13,Scomberomorus maculatus,Thazard atlantique,Carite atlántico,2-Tuna (small),1-Species
KGM,King mackerel,14,Scomberomorus cavalla,Thazard barré,Carite lucio,2-Tuna (small),1-Species
SLT,Slender tuna,27,Allothunnus fallai,Thon élégant,Atún lanzón,3-Tuna (other),1-Species
MAW,West African Spanish mackerel,28,Scomberomorus tritor,Thazard blanc,Carite lusitánico,2-Tuna (small),1-Species
CER,Cero,29,Scomberomorus regalis,Thazard franc,Carite chinigua,2-Tuna (small),1-Species
BLT,Bullet tuna,30,Auxis rochei,Bonitou,Melva(=Melvera),2-Tuna (small),1-Species
BRS,Serra Spanish mackerel,32,Scomberomorus brasiliensis,Thazard serra,Serra,2-Tuna (small),1-Species
DOL,Common dolphinfish,300,Coryphaena hippurus,Coryphène commune,Lampuga,2-Tuna (small),1-Species
KGX,Seerfishes nei,26,Scomberomorus spp,Thazards nca,Carites nep,3-Tuna (other),2-Genus
SBF,Southern bluefin tuna,2,Thunnus maccoyii,Thon rouge du Sud,Atún del Sur,3-Tuna (other),1-Species
BLM,Black marlin,16,Makaira indica,Makaire noir,Aguja negra,3-Tuna (other),1-Species
MAS,Chub mackerel,34,Scomber japonicus,Maquereau espagnol,Estornino,1-Tuna (major sp.),1-Species
LEC,Escolar,35,Lepidocybium flavobrunneum,Escolier noir,Escolar negro,3-Tuna (other),1-Species
BSF,black scabbardfish,36,Aphanopus carbo,Sabre noir,Sable negro,6-Other Species,1-Species
GES,Snake mackerel,38,Gempylus serpens,Escolier serpent,Escolar de canal,3-Tuna (other),1-Species
NEN,Black gemfish,39,Nesiarchus nasutus,Escolier long nez,Escolar narigudo,1-Tuna (major sp.),1-Species
SFS,Silver scabbardfish,40,Lepidopus caudatus,Sabre argenté,Pez cinto,6-Other Species,1-Species
OIL,Oilfish,48,Ruvettus pretiosus,Rouvet,Escolar clavo,3-Tuna (other),1-Species
BIP,Striped bonito,50,Sarda orientalis,Bonite oriental,Bonito mono,1-Tuna (major sp.),1-Species
BEP,Eastern Pacific bonito,51,Sarda chiliensis,Bonite du Pacifique oriental,Bonito del Pacífico oriental,1-Tuna (major sp.),1-Species
BAU,Australian bonito,52,Sarda australis,Bonite bagnard,Bonito austral,1-Tuna (major sp.),1-Species
DOT,Dogtooth tuna,53,Gymnosarda unicolor,Bonite à gros yeux,Casarte ojón,1-Tuna (major sp.),1-Species
CHY,Chinese seerfish,54,Scomberomorus sinensis,Thazard nébuleux,Carite indochino,1-Tuna (major sp.),1-Species
COM,Narrow-barred Spanish mackerel,55,Scomberomorus commerson,Thazard rayé indo-pacifique,Carite estriado Indo-Pacífico,1-Tuna (major sp.),1-Species
GUT,Indo-Pacific king mackerel,56,Scomberomorus guttatus,Thazard ponctué indo-pacifique,Carite del Indo-Pacífico,1-Tuna (major sp.),1-Species
STS,Streaked seerfish,57,Scomberomorus lineolatus,Thazard cirrus,Carite rayado,1-Tuna (major sp.),1-Species
SIE,Pacific sierra,58,Scomberomorus sierra,Thazard sierra(Pacifique),Carite sierra,1-Tuna (major sp.),1-Species
QUM,Queensland school mackerel,59,Scomberomorus queenslandicus,Thazard du Queensland,Carite de Queensland,1-Tuna (major sp.),1-Species
NPH,Japanese Spanish mackerel,60,Scomberomorus niphonius,Thazard oriental,Carite oriental,3-Tuna (other),1-Species
BBM,Broad-barred king mackerel,61,Scomberomorus semifasciatus,Thazard tigré,Carite tigre,1-Tuna (major sp.),1-Species
KOS,Korean seerfish,62,Scomberomorus koreanus,Thazard coréen,Carite coreano,1-Tuna (major sp.),1-Species
MOS,Monterey Spanish mackerel,63,Scomberomorus concolor,Thazard de Monterey,Carite de Monterrey,1-Tuna (major sp.),1-Species
PAP,Papuan seerfish,64,Scomberomorus multiradiatus,Thazard papou,Carite papuense,1-Tuna (major sp.),1-Species
KAK,Kanadi kingfish,65,Scomberomorus plurilineatus,Thazard kanadi,Carite canadí,3-Tuna (other),1-Species
ASM,Australian spotted mackerel,66,Scomberomorus munroi,Thazard australien,Carite australiano,1-Tuna (major sp.),1-Species
BUK,Butterfly kingfish,67,Gasterochisma melampus,Thon papillon,Atún chauchera,3-Tuna (other),1-Species
LEB,Leaping bonito,68,Cybiosarda elegans,Bonite à dos tacheté,Bonito saltador,1-Tuna (major sp.),1-Species
SHM,Shark mackerel,69,Grammatorcynus bicarinatus,Thazard requin,Carite-cazón,1-Tuna (major sp.),1-Species
DBM,Double-lined mackerel,70,Grammatorcynus bilineatus,Thazard-kusara,Carite-cazón pintado,3-Tuna (other),1-Species
BKJ,Black skipjack,72,Euthynnus lineatus,Thonine noire,Barrilete negro,3-Tuna (other),1-Species
KAW,Kawakawa,73,Euthynnus affinis,Thonine orientale,Bacoreta oriental,3-Tuna (other),1-Species
LOT,Longtail tuna,74,Thunnus tonggol,Thon mignon,Atún tongol,3-Tuna (other),1-Species
SFA,Indo-Pacific sailfish,76,Istiophorus platypterus,Voilier indo-pacifique,Pez vela del Indo-Pacífico,1-Tuna (major sp.),1-Species
MSP,Mediterranean spearfish,78,Tetrapturus belone,Marlin de la Méditerranée,Marlín del Mediterráneo,3-Tuna (other),1-Species
MLS,Striped marlin,79,Tetrapturus audax,Marlin rayé,Marlín rayado,3-Tuna (other),1-Species
SSP,Shortbill spearfish,80,Tetrapturus angustirostris,Makaire à rostre court,Marlín trompa corta,3-Tuna (other),1-Species
RSP,Roundscale spearfish,81,Tetrapturus georgii,Makaire épée,Marlín peto,3-Tuna (other),1-Species
TUS,True tunas nei,75,Thunnus spp,Thons Thunnus nca,Atunes verdaderos nep,3-Tuna (other),2-Genus
TUN,Tunas nei,21,Thunnini,Thonidés nca,Atunes nep,3-Tuna (other),3-Tribe
BIL,"Marlins, sailfishes, etc. Nei",24,Istiophoridae,"Makaires, marlins, voiliers nca","Agujas, marlines, peces vela nep",3-Tuna (other),4-Family
CUT,"Hairtails, scabbardfishes nei",37,Trichiuridae,"Poissons-sabres, sabres nca","Peces sable, cintos nep",1-Tuna (major sp.),4-Family
TUX,Tuna-like fishes nei,83,Scombroidei,Poissons type thon nca,Peces parec.a los atunes nep,1-Tuna (major sp.),5-Suborder
SMA,Shortfin mako,109,Isurus oxyrinchus,Taupe bleue,Marrajo dientuso,4-Sharks (major),1-Species
POR,Porbeagle,112,Lamna nasus,Requin-taupe commun,Marrajo sardinero,4-Sharks (major),1-Species
BSH,Blue shark,126,Prionace glauca,Peau bleue,Tiburón azul,4-Sharks (major),1-Species
BSK,Basking shark,103,Cetorhinus maximus,Pèlerin,Peregrino,5-Sharks (other),1-Species
ALV,Thresher,105,Alopias vulpinus,Renard,Zorro,5-Sharks (other),1-Species
BTH,Bigeye thresher,107,Alopias superciliosus,Renard à gros yeux,Zorro ojón,5-Sharks (other),1-Species
LMA,Longfin mako,110,Isurus paucus,Petite taupe,Marrajo carite,5-Sharks (other),1-Species
WSH,Great white shark,114,Carcharodon carcharias,Grand requin blanc,Jaquetón blanco,5-Sharks (other),1-Species
RHN,Whale shark,118,Rhincodon typus,Requin baleine,Tiburón ballena,5-Sharks (other),1-Species
OCS,Oceanic whitetip shark,132,Carcharhinus longimanus,Requin océanique,Tiburón oceánico,5-Sharks (other),1-Species
FAL,Silky shark,135,Carcharhinus falciformis,Requin soyeux,Tiburón jaquetón,5-Sharks (other),1-Species
SPZ,Smooth hammerhead,150,Sphyrna zygaena,Requin-marteau commun,Cornuda cruz(=Pez martillo),5-Sharks (other),1-Species
SPL,Scalloped hammerhead,151,Sphyrna lewini,Requin-marteau halicorne,Cornuda común,5-Sharks (other),1-Species
SPK,Great hammerhead,153,Sphyrna mokarran,Grand requin marteau,Cornuda gigante,5-Sharks (other),1-Species
CCG,Galapagos shark,200,Carcharhinus galapagensis,Requin des Galapagos,Tiburón de Galápagos,5-Sharks (other),1-Species
PSK,Crocodile shark,202,Pseudocarcharias kamoharai,Requin crocodile,Tiburón cocodrilo,5-Sharks (other),1-Species
ISB,Cookie cutter shark,209,Isistius brasiliensis,Squalelet féroce,Tollo cigarro,5-Sharks (other),1-Species
LMP,Megamouth shark,210,Megachasma pelagios,Requin grande guele,Tiburón bocudo,5-Sharks (other),1-Species
PLS,Pelagic stingray,218,Pteroplatytrygon violacea,Pastenague violette,Raya-látigo violeta,5-Sharks (other),1-Species
QUL,Spined pygmy shark,221,Squaliolus laticaudus,Squale nain,Tollo pigmeo espinudo,5-Sharks (other),1-Species
RMB,Giant manta,227,Manta birostris,Mante géante,Manta gigante,5-Sharks (other),1-Species
RMH,Lesser devil ray,228,Mobula hypostoma,Mante diable,Manta del Golfo,5-Sharks (other),1-Species
RMJ,Spinetail mobula,229,Mobula japanica,,,5-Sharks (other),1-Species
RMM,Devil fish,230,Mobula mobular,Diable de mer méditerranéen,Manta mobula,5-Sharks (other),1-Species
RMO,Smoothtail mobula,231,Mobula thurstoni,Mante vampire,Diablo chupasangre,5-Sharks (other),1-Species
RMT,Chilean devil ray,232,Mobula tarapacana,,,5-Sharks (other),1-Species
RMN,Lesser Guinean devil ray,243,Mobula rochebrunei,Petit diable de Guinée,Diablito de Guinea,5-Sharks (other),1-Species
THR,Thresher sharks nei,108,Alopias spp,Renards de mer nca,Zorros nep,5-Sharks (other),2-Genus
MAK,Mako sharks nei,111,Isurus spp,Taupes nca,Marrajos nep,5-Sharks (other),2-Genus
SPN,Hammerhead sharks nei,154,Sphyrna spp,Requins marteau nca,Cornudas (Peces martillo) nep,5-Sharks (other),2-Genus
MSK,"Mackerel sharks,porbeagles nei",115,Lamnidae,Requins taupe nca,"Jaquetones,marrajos nep",5-Sharks (other),4-Family
RSK,Requiem sharks nei,149,Carcharhinidae,Requins nca,"Cazones picudos,tintoreras nep",5-Sharks (other),4-Family
SPY,"Hammerhead sharks, etc. nei",155,Sphyrnidae,"Requins marteau, etc. nca","Cornudas, etc. nep",5-Sharks (other),4-Family
MAN,"Mantas, devil rays nei",212,Mobulidae,"Mantes, diables de mer nca","Mantas, diablos nep",5-Sharks (other),4-Family
STT,"Stingrays, butterfly rays nei",234,Dasyatidae,"Pastenagues, etc. nca","Pastinacas, etc. nep",5-Sharks (other),4-Family
AGN,Angelshark,190,Squatina squatina,Ange de mer commun,Angelote,5-Sharks (other),1-Species
ALS,Silvertip shark,137,Carcharhinus albimarginatus,Requin pointe blanche,Tiburón de puntas blancas,5-Sharks (other),1-Species
AMB,Greater amberjack,306,Seriola dumerili,Sériole couronnée,Pez de limón,6-Other Species,1-Species
AMX,Amberjacks nei,307,Seriola spp,Sérioles nca,Medregales nep,6-Other Species,2-Genus
API,Deep-water catsharks,124,Apristurus spp,Holbiches,Pejegatos,5-Sharks (other),2-Genus
ASK,"Angelsharks, sand devils nei",191,Squatinidae,Anges de mer nca,"Angelotes, peces ángel nep",5-Sharks (other),4-Family
BLR,Blacktip reef shark,130,Carcharhinus melanopterus,Requin pointes noires,Tiburón de puntas negras,5-Sharks (other),1-Species
BRO,Copper shark,138,Carcharhinus brachyurus,Requin cuivre,Tiburón cobrizo,5-Sharks (other),1-Species
CCA,Bignose shark,144,Carcharhinus altimus,Requin babosse,Tiburón baboso,5-Sharks (other),1-Species
CCB,Spinner shark,139,Carcharhinus brevipinna,Requin tisserand,Tiburón aleta negra,5-Sharks (other),1-Species
