code,label,spsort,label_fr,splat,spgroup,spgroupe,spwp_spgt
AGN,Angel shark,25,r,R,SHARKS,REQUINS,BYCT
ALB,Albacore,4,Germon,Thunnus alalunga,TUNAS,THONS,TEMP
ALI,Lancetfishes nei,26,Lanciers,Alepisaurus spp,OTHERS,AUTRES,UNCL
ALM,Unicorn leatherjacket filefish,26,U,Aluterus monoceros,OTHERS,AUTRES,UNCL
ALN,Scribbled leatherjacket filefi,26,Bourse écriture,Aluterus scriptus,OTHERS,AUTRES,UNCL
ALS,Silvertip shark,25,Requin pointe blanche,Carcharhinus albimarginatus,SHARKS,REQUINS,BYCT
ALV,Thresher Shark,25,Renard,Alopias vulpinus,SHARKS,REQUINS,BYCT
AMB,Greater amberjack,26,Sériole couronnée,Seriola dumerili,OTHERS,AUTRES,UNCL
AML,Grey Reef Shark,25,Requin dagsit,Carcharhinus amblyrhynchos,SHARKS,REQUINS,BYCT
AMX,Amberjacks nei,26,Sérioles nca,Seriola spp,OTHERS,AUTRES,UNCL
ASM,Australia Spotted Mackerel,26,Thazard Australien,Scomberomorus munroi,OTHERS,AUTRES,UNCL
AYBT,"Albacore, yellowfin and bigeye tunas",11,Germon ;Albacore; Thon obèse,thunnus spp,TUNAS,THONS,UNCL
BAF,Flat needlefish,26,Orphie plate,Ablennes hians,OTHERS,AUTRES,UNCL
BAO,Longfin batfish,26,B,Platax teira,OTHERS,AUTRES,UNCL
BAR,Barracudas,26,Brochets de mer,Sphyraena spp,OTHERS,AUTRES,UNCL
BAT,Batfishes,26,Poules d'eau,Platax spp,OTHERS,AUTRES,UNCL
BAU,Australian bonito,26,Bonite bagnard,Sarda australis,OTHERS,AUTRES,UNCL
BBM,Broad-barred King Mackerel,26,Thazard sp,Scomberomorus semifasciatus,OTHERS,AUTRES,UNCL
BEN,"Needlefishes, etc. nei",26,"Aiguilles, orphies nca",Belonidae,OTHERS,AUTRES,UNCL
BET,Bigeye tuna,2,Patudo; Thon obèse,Thunnus obesus,TUNAS,THONS,TROP
BFT,Northern bluefin tuna,5,Thon rouge du Nord,Thunnus thynnus,TUNAS,THONS,TEMP
