code,uri,label,definition
0,,"0-0.99","From 0 to 0.99cm"
1,,"1-1.99","From 1 to 1.99cm"
2,,"2-2.99","From 2 to 2.99cm"
3,,"3-3.99","From 3 to 3.99cm"
4,,"4-4.99","From 4 to 4.99cm"
5,,"5-5.99","From 5 to 5.99cm"
6,,"6-6.99","From 6 to 6.99cm"
7,,"7-7.99","From 7 to 7.99cm"
8,,"8-8.99","From 8 to 8.99cm"
9,,"9-9.99","From 9 to 9.99cm"
10,,"10-10.99","From 10 to 10.99cm"
11,,"11-11.99","From 11 to 11.99cm"
12,,"12-12.99","From 12 to 12.99cm"
13,,"13-13.99","From 13 to 13.99cm"
14,,"14-14.99","From 14 to 14.99cm"
15,,"15-15.99","From 15 to 15.99cm"
16,,"16-16.99","From 16 to 16.99cm"
17,,"17-17.99","From 17 to 17.99cm"
18,,"18-18.99","From 18 to 18.99cm"
19,,"19-19.99","From 19 to 19.99cm"
20,,"20-20.99","From 20 to 20.99cm"
21,,"21-21.99","From 21 to 21.99cm"
22,,"22-22.99","From 22 to 22.99cm"
23,,"23-23.99","From 23 to 23.99cm"
24,,"24-24.99","From 24 to 24.99cm"
25,,"25-25.99","From 25 to 25.99cm"
26,,"26-26.99","From 26 to 26.99cm"
27,,"27-27.99","From 27 to 27.99cm"
28,,"28-28.99","From 28 to 28.99cm"
29,,"29-29.99","From 29 to 29.99cm"
30,,"30-30.99","From 30 to 30.99cm"
31,,"31-31.99","From 31 to 31.99cm"
32,,"32-32.99","From 32 to 32.99cm"
33,,"33-33.99","From 33 to 33.99cm"
34,,"34-34.99","From 34 to 34.99cm"
35,,"35-35.99","From 35 to 35.99cm"
36,,"36-36.99","From 36 to 36.99cm"
37,,"37-37.99","From 37 to 37.99cm"
38,,"38-38.99","From 38 to 38.99cm"
39,,"39-39.99","From 39 to 39.99cm"
40,,"40-40.99","From 40 to 40.99cm"
41,,"41-41.99","From 41 to 41.99cm"
42,,"42-42.99","From 42 to 42.99cm"
43,,"43-43.99","From 43 to 43.99cm"
44,,"44-44.99","From 44 to 44.99cm"
45,,"45-45.99","From 45 to 45.99cm"
46,,"46-46.99","From 46 to 46.99cm"
47,,"47-47.99","From 47 to 47.99cm"
48,,"48-48.99","From 48 to 48.99cm"
49,,"49-49.99","From 49 to 49.99cm"
50,,"50-50.99","From 50 to 50.99cm"
51,,"51-51.99","From 51 to 51.99cm"
52,,"52-52.99","From 52 to 52.99cm"
53,,"53-53.99","From 53 to 53.99cm"
54,,"54-54.99","From 54 to 54.99cm"
55,,"55-55.99","From 55 to 55.99cm"
56,,"56-56.99","From 56 to 56.99cm"
57,,"57-57.99","From 57 to 57.99cm"
58,,"58-58.99","From 58 to 58.99cm"
59,,"59-59.99","From 59 to 59.99cm"
60,,"60-60.99","From 60 to 60.99cm"
61,,"61-61.99","From 61 to 61.99cm"
62,,"62-62.99","From 62 to 62.99cm"
63,,"63-63.99","From 63 to 63.99cm"
64,,"64-64.99","From 64 to 64.99cm"
65,,"65-65.99","From 65 to 65.99cm"
66,,"66-66.99","From 66 to 66.99cm"
67,,"67-67.99","From 67 to 67.99cm"
68,,"68-68.99","From 68 to 68.99cm"
69,,"69-69.99","From 69 to 69.99cm"
70,,"70-70.99","From 70 to 70.99cm"
71,,"71-71.99","From 71 to 71.99cm"
72,,"72-72.99","From 72 to 72.99cm"
73,,"73-73.99","From 73 to 73.99cm"
74,,"74-74.99","From 74 to 74.99cm"
75,,"75-75.99","From 75 to 75.99cm"
76,,"76-76.99","From 76 to 76.99cm"
77,,"77-77.99","From 77 to 77.99cm"
78,,"78-78.99","From 78 to 78.99cm"
79,,"79-79.99","From 79 to 79.99cm"
80,,"80-80.99","From 80 to 80.99cm"
81,,"81-81.99","From 81 to 81.99cm"
82,,"82-82.99","From 82 to 82.99cm"
83,,"83-83.99","From 83 to 83.99cm"
84,,"84-84.99","From 84 to 84.99cm"
85,,"85-85.99","From 85 to 85.99cm"
86,,"86-86.99","From 86 to 86.99cm"
87,,"87-87.99","From 87 to 87.99cm"
88,,"88-88.99","From 88 to 88.99cm"
89,,"89-89.99","From 89 to 89.99cm"
90,,"90-90.99","From 90 to 90.99cm"
91,,"91-91.99","From 91 to 91.99cm"
92,,"92-92.99","From 92 to 92.99cm"
93,,"93-93.99","From 93 to 93.99cm"
94,,"94-94.99","From 94 to 94.99cm"
95,,"95-95.99","From 95 to 95.99cm"
96,,"96-96.99","From 96 to 96.99cm"
97,,"97-97.99","From 97 to 97.99cm"
98,,"98-98.99","From 98 to 98.99cm"
99,,"99-99.99","From 99 to 99.99cm"
100,,"100-100.99","From 100 to 100.99cm"
101,,"101-101.99","From 101 to 101.99cm"
102,,"102-102.99","From 102 to 102.99cm"
103,,"103-103.99","From 103 to 103.99cm"
104,,"104-104.99","From 104 to 104.99cm"
105,,"105-105.99","From 105 to 105.99cm"
106,,"106-106.99","From 106 to 106.99cm"
107,,"107-107.99","From 107 to 107.99cm"
108,,"108-108.99","From 108 to 108.99cm"
109,,"109-109.99","From 109 to 109.99cm"
110,,"110-110.99","From 110 to 110.99cm"
111,,"111-111.99","From 111 to 111.99cm"
112,,"112-112.99","From 112 to 112.99cm"
113,,"113-113.99","From 113 to 113.99cm"
114,,"114-114.99","From 114 to 114.99cm"
115,,"115-115.99","From 115 to 115.99cm"
116,,"116-116.99","From 116 to 116.99cm"
117,,"117-117.99","From 117 to 117.99cm"
118,,"118-118.99","From 118 to 118.99cm"
119,,"119-119.99","From 119 to 119.99cm"
120,,"120-120.99","From 120 to 120.99cm"
121,,"121-121.99","From 121 to 121.99cm"
122,,"122-122.99","From 122 to 122.99cm"
123,,"123-123.99","From 123 to 123.99cm"
124,,"124-124.99","From 124 to 124.99cm"
125,,"125-125.99","From 125 to 125.99cm"
126,,"126-126.99","From 126 to 126.99cm"
127,,"127-127.99","From 127 to 127.99cm"
128,,"128-128.99","From 128 to 128.99cm"
129,,"129-129.99","From 129 to 129.99cm"
130,,"130-130.99","From 130 to 130.99cm"
131,,"131-131.99","From 131 to 131.99cm"
132,,"132-132.99","From 132 to 132.99cm"
133,,"133-133.99","From 133 to 133.99cm"
134,,"134-134.99","From 134 to 134.99cm"
