code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
014,NA,Eastern Africa,NA,Eastern Africa,Afrique orientale,África oriental,شرق أفريقيا,东非,Восточная Африка
017,NA,Middle Africa,NA,Middle Africa,Afrique centrale,África central,وسط أفريقيا,中非,Центральная Африка
143,NA,Central Asia,NA,Central Asia,Asie centrale,Asia central,آسيا الوسطى,中亚,Центральная Азия
015,NA,Northern Africa,NA,Northern Africa,Afrique septentrionale,África septentrional,أفريقيا الشمالية,北非,Северная Африка
018,NA,Southern Africa,NA,Southern Africa,Afrique australe,África austral,الجنوب الأفريقي,南部非洲,Южная часть Африки
011,NA,Western Africa,NA,Western Africa,Afrique occidentale,África occidental,غرب أفريقيا,西非,Западная Африка
030,NA,Eastern Asia,NA,Eastern Asia,Asie orientale,Asia oriental,شرقي آسيا,东亚,Восточная Азия
034,NA,Southern Asia,NA,Southern Asia,Asie méridionale,Asia meridional,جنوب آسيا,南亚,Южная Азия
035,NA,South-Eastern Asia,NA,South-Eastern Asia,Asie du Sud-Est,Asia sudoriental,جنوب شرقي آسيا,东南亚,Юго-Восточная Азия
145,NA,Western Asia,NA,Western Asia,Asie occidentale,Asia occidental,غربي آسيا,西亚,Западная Азия
021,NA,Northern America,NA,Northern America,Amérique du Nord,América del Norte,أمريكا الشمالية,北美,Северная Америка
029,NA,Caribbean,NA,Caribbean,Caraïbes,Caribe,منطقة البحر الكاريبي,加勒比,Карибский бассейн
005,NA,South America,NA,South America,Amérique du Sud,América del Sur,أمريكا الجنوبية,南美洲,Южная Америка
013,NA,Central America,NA,Central America,Amérique centrale,América central,أمريكا الوسطى,中美洲,Центральная Америка
151,NA,Eastern Europe,NA,Eastern Europe,Europe orientale,Europa oriental,أوروبا الشرقية,东欧,Восточная Европа
154,NA,Northern Europe,NA,Northern Europe,Europe septentrionale,Europa del Norte,أوروبا الشمالية,北欧,Северная Европа
155,NA,Western Europe,NA,Western Europe,Europe occidentale,Europa occidental,أوروبا الغربية,西欧,Западная Европа
039,NA,Southern Europe,NA,Southern Europe,Europe méridionale,Europa meridional,أوروبا الجنوبية,南欧,Южная Европа
053,NA,Australia and New Zealand,NA,Australia and New Zealand,Australie et Nouvelle-Zélande,Australia y Nueva Zelandia,أستراليا ونيوزيلندا,澳大利亚和新西兰,Австралия и Новая Зеландия
054,NA,Melanesia,NA,Melanesia,Mélanésie,Melanesia,ميلانيزيا,美拉尼西亚,Меланезия
057,NA,Micronesia,NA,Micronesia,Micronésie,Micronesia,ميكرونيزيا,密克罗尼西亚,Микронезия
061,NA,Polynesia,NA,Polynesia,Polynésie,Polinesia,بولينيزيا,波利尼西亚,Полинезия
