code,uri,label,definition
AE ABU,NA,Abu al Bukhoosh,NA
AE AUH,NA,Abu Dhabi,NA
AE AMU,NA,Abu Musa,NA
AE ARP,NA,Ahmed Bin Rashid Port,NA
AE AJM,NA,Ajman,NA
AE FJR,NA,Al Fujayrah,NA
AE JAZ,NA,Al Jazeera Port,NA
AE AJP,NA,Al Jeer Port,NA
AE RUW,NA,Ar Ruways,NA
AE DAS,NA,Das Island,NA
AE DBP,NA,Dibba,NA
AE DXB,NA,Dubai,NA
AE END,NA,Esnnad,NA
AE FAT,NA,Fateh Terminal,NA
AE FRP,NA,Free Port,NA
AE HZP,NA,Hamriya Free Zone Port,NA
AE HSN,NA,Hassyan,NA
AE HTL,NA,Hulaylah Terminal,NA
AE JEA,NA,Jebel Ali,NA
AE QWE,NA,Jebel Ali Free Zone,NA
AE JED,NA,Jebel Dhanna,NA
AE KLB,NA,Kalba,NA
AE KLF,NA,Khor al Fakkan,NA
AE MKH,NA,Mina Khalid,NA
AE KHL,NA,Mina Khalifa/Abu Dhabi,NA
AE MRP,NA,Mina Rashid Port,NA
AE MSA,NA,Mina Saqr,NA
AE MZD,NA,Mina Zayed/Abu Dhabi,NA
AE RFA,NA,Mirfa,NA
AE MUB,NA,Mubarek Terminal,NA
AE MBS,NA,Mubarras Island,NA
AE AMF,NA,Musaffah,NA
AE PRA,NA,Port Rashid,NA
AE RKP,NA,Rak Khor Port,NA
AE RMC,NA,Rak Maritime City,NA
AE RKT,NA,Ras al Khaimah,NA
AE RWP,NA,Ruwais Port,NA
AE SID,NA,Sadiyat Island,NA
AE SHJ,NA,Sharjah,NA
AE DUJ,NA,The Palm Jumeirah,NA
AE ULR,NA,Umm Al Nar,NA
AE QIW,NA,Umm al Quwain,NA
AE YAS,NA,Yas Island,NA
AE ZUR,NA,Zirku Island,NA
AF DHD,NA,Dehdadi,NA
AF QLT,NA,Qalat,NA
AF RKH,NA,Torkham,NA
AG ANU,NA,Antigua,NA
AG BBQ,NA,Barbuda,NA
AG FAM,NA,Falmouth,NA
AG PHM,NA,Parham,NA
AG SJO,NA,Saint John's,NA
AI BLP,NA,Blowing Point,NA
AI MBB,NA,Meads Bay Beach,NA
AI SOM,NA,Sombrero,NA
AI FOR,NA,The Forest,NA
AI ROA,NA,The Road,NA
AI WLL,NA,Wall Blake,NA
AL BUT,NA,Butrint,NA
AL DRZ,NA,Durrës,NA
AL HMR,NA,Himare,NA
AL ROM,NA,Romano Port,NA
AL SAR,NA,Sarandë,NA
AL SHG,NA,Shëngjin,NA
AL VOA,NA,Vlorë,NA
AM JER,NA,Jermuk,NA
AO AZZ,NA,Ambriz,NA
AO BAB,NA,Baba,NA
AO BDT,NA,Baía dos Tigres,NA
AO BDD,NA,Barra do Dande,NA
AO BUG,NA,Benguela,NA
AO CAB,NA,Cabinda,NA
AO CPO,NA,Capulo,NA
AO CUI,NA,Cuio,NA
AO DAL,NA,Dalia,NA
AO DGR,NA,Dombe Grande,NA
AO ETN,NA,Essungo Terminal,NA
AO FBY,NA,Farta Bay,NA
AO FLT,NA,Futila Terminal,NA
AO GIM,NA,Gimboa,NA
AO GIR,NA,Girassol Terminal,NA
AO GPO,NA,Greater Plutonio,NA
AO KTI,NA,Kiame Terminal,NA
AO KOT,NA,Kuito Terminal,NA
AO LAA,NA,Landana (Cacongo),NA
AO LIE,NA,Lieura,NA
AO LOB,NA,Lobito,NA
AO LBT,NA,Lombo Terminal,NA
AO LAD,NA,Luanda,NA
AO LUC,NA,Lucira,NA
AO MSZ,NA,Namibe,NA
AO NQI,NA,Nóqui,NA
AO NTO,NA,N'Zeto (Ambrizete),NA
AO PAT,NA,Palanca Terminal,NA
AO PLE,NA,Porto Alexandre (Tombua),NA
AO PBN,NA,Porto Amboim,NA
AO PSA,NA,Porto Saco (Portosalazar),NA
AO FPO,NA,PSVM Offshore,NA
AO RSN,NA,River Sao Nicolau,NA
AO STL,NA,Sazaire Terminal,NA
AO SZA,NA,Soyo,NA
AO SOQ,NA,Soyo-Quinfuquena Terminal,NA
AO NDD,NA,Sumbe,NA
AO TAK,NA,Takula Terminal,NA
AQ ABA,NA,Aboa,NA
AQ ARC,NA,Arctowski,NA
AQ ART,NA,Artigas,NA
AQ APT,NA,Arturo Prat,NA
AQ BHN,NA,Bellingshausen,NA
AQ CAS,NA,Casey Station,NA
AQ CFZ,NA,Comandante Ferraz,NA
AQ DAV,NA,Davis Station,NA
AQ DDU,NA,Dumont d'Urville Station,NA
AQ ESC,NA,Escudero,NA
AQ ESP,NA,Esperanza,NA
AQ OHG,NA,General Bernardo O'higgins,NA
AQ GWL,NA,Great Wall,NA
AQ HLY,NA,Halley,NA
AQ JBS,NA,Jang Bogo Station,NA
AQ JCP,NA,Juan Carlos Primero,NA
AQ JUB,NA,Jubany,NA
AQ KSG,NA,King Sejong,NA
AQ KHN,NA,Kohnen,NA
AQ LAW,NA,Law Base,NA
AQ MRB,NA,Marambio,NA
AQ MZU,NA,Mario Zucchelli,NA
AQ MAW,NA,Mawson Station,NA
AQ MCM,NA,McMurdo,NA
AQ MIR,NA,Mirny,NA
AQ ORC,NA,Orcadas,NA
AQ PLM,NA,Palmer,NA
AQ PFS,NA,Port Foster,NA
AQ PRO,NA,Progress,NA
AQ ROT,NA,Rothera,NA
AQ SMT,NA,San Martín,NA
AQ SGN,NA,Signy,NA
AQ SYW,NA,Syowa,NA
AQ VKY,NA,Vernadsky,NA
AQ WSA,NA,Wasa,NA
AQ ZGN,NA,Zhongshan,NA
AR GEO,NA,Agrelo,NA
AR ACF,NA,Arrecifes,NA
AR ASO,NA,Arroyo Seco,NA
AR BHI,NA,Bahía Blanca,NA
AR BQS,NA,Barranqueras,NA
AR BVC,NA,Bella Vista,NA
AR BUE,NA,Buenos Aires,NA
AR CSA,NA,Cabo San Antonio,NA
AR CLC,NA,Caleta Córdoba,NA
AR CVI,NA,Caleta Olivia,NA
AR CMP,NA,Campana,NA
AR CDL,NA,Candelaria,NA
AR CHO,NA,Chilecito,NA
AR CBS,NA,Chimbas,NA
AR CHL,NA,Choele Choel,NA
AR COL,NA,Colón,NA
AR CRY,NA,Colonia Caroya,NA
AR CRD,NA,Comodoro Rivadavia,NA
AR COU,NA,Concepción del Uruguay,NA
AR IQO,NA,Coquimbito,NA
AR CNQ,NA,Corrientes,NA
AR CUA,NA,Cuatreros/Bahia Blanca,NA
AR DGU,NA,Del Guazu,NA
AR DME,NA,Diamante,NA
AR DSU,NA,Dock Sur,NA
AR FMA,NA,Formosa,NA
AR OYA,NA,Goya,NA
AR GHU,NA,Gualeguaychú,NA
AR IBY,NA,Ibicuy,NA
AR BUI,NA,Ingeniero Buitrago,NA
AR INW,NA,Ingeniero White/Bahia Blanca,NA
AR JLS,NA,Jose Leon Suarez,NA
AR LPM,NA,La Paz,NA
AR LPG,NA,La Plata,NA
AR LPS,NA,Las Palmas,NA
AR LAV,NA,Lavalle,NA
AR LUJ,NA,Luján,NA
AR LCU,NA,Lujan de Cuyo,NA
AR LZG,NA,Luzuriaga,NA
AR MDQ,NA,Mar del Plata,NA
AR NOS,NA,Molinos,NA
AR NEC,NA,Necochea,NA
AR OVI,NA,Olavarría,NA
AR PP9,NA,Pablo Podestá,NA
AR PRA,NA,Paraná,NA
AR PCY,NA,Pilcomayo,NA
AR PSS,NA,Posadas,NA
AR PAL,NA,Puerto Alumbrera,NA
AR PBG,NA,Puerto Belgrano/Bahia Blanca,NA
AR PUB,NA,Puerto Borghi,NA
AR PUD,NA,Puerto Deseado,NA
AR PEL,NA,Puerto Eldorado,NA
AR PGV,NA,Puerto Galvan/Bahia Blanca,NA
AR ROC,NA,Puerto Ingeniero M. Rocca,NA
AR PLA,NA,Puerto Lavalle,NA
AR PMY,NA,Puerto Madryn,NA
AR PNL,NA,Puerto Nacional/Bahia Blanca,NA
AR PRS,NA,Puerto Rosales/Bahia Blanca,NA
AR PWA,NA,Puerto Wanda,NA
AR PCO,NA,Punta Colorada,NA
AR PLO,NA,Punta Loyola,NA
AR PME,NA,Punta Medanos,NA
AR PQU,NA,Punta Quilla,NA
AR QBR,NA,Quebracho/San Lorenzo,NA
AR QQN,NA,Quequén,NA
AR RAM,NA,Ramallo,NA
AR RWO,NA,Rawson,NA
AR RSF,NA,Resinfor,NA
AR RIC,NA,Rio Cullen,NA
AR RGL,NA,Río Gallegos,NA
AR RGA,NA,Río Grande,NA
AR RIV,NA,Rivadavia,NA
AR ROS,NA,Rosario,NA
AR RFO,NA,Rosario de la Frontera,NA
AR SAL,NA,Salto,NA
AR SAE,NA,San Antonio Este,NA
AR SCA,NA,San Carlos,NA
AR SFE,NA,San Fernando,NA
AR SIG,NA,San Ignacio,NA
AR ULA,NA,San Julian,NA
AR SLO,NA,San Lorenzo,NA
AR SMR,NA,San Martin,NA
AR SMA,NA,San Martin,NA
AR SNS,NA,San Nicolás de los Arroyos,NA
AR SPD,NA,San Pedro,NA
AR XPD,NA,San Pedro,NA
AR SSJ,NA,San Salvador de Jujuy,NA
AR SSN,NA,San Sebastián,NA
AR SAN,NA,Santa Ana,NA
AR RZA,NA,Santa Cruz,NA
AR SFN,NA,Santa Fe,NA
AR STA,NA,Santa Rosa,NA
AR TIM,NA,Timbúes,NA
AR OYO,NA,Tres Arroyos,NA
AR TUC,NA,Tucumán,NA
AR TUN,NA,Tunuyan,NA
AR URD,NA,Urdurrain,NA
AR USH,NA,Ushuaia,NA
AR VLO,NA,Vicente López,NA
AR VCN,NA,Villa Constitución,NA
AR VTT,NA,Villa del Totoral,NA
AR VHE,NA,Villa Hernandarias,NA
AR VMD,NA,Villa Mercedes,NA
AR ZAE,NA,Zárate,NA
AS PPG,NA,Pago Pago,NA
AT FG7,NA,Achau,NA
AT AWH,NA,Altenwörth,NA
AT ATN,NA,Asten,NA
AT SXA,NA,Bernhardsthal,NA
AT BFS,NA,Bischofshofen,NA
AT BOE,NA,Böhlerwenk,NA
AT BRZ,NA,Bregenz,NA
AT DWA,NA,Deutsch Wagram,NA
AT DKZ,NA,Deutschkreutz,NA
AT ERR,NA,Dobermannsdorf,NA
AT NNN,NA,Donnerskirchen,NA
AT DRA,NA,Drasenhofen,NA
AT DRO,NA,Dross,NA
AT DUE,NA,Dürnstein,NA
AT EBR,NA,Ebreichsdorf,NA
AT EWD,NA,Eibiswald,NA
AT BRI,NA,Engabrunn,NA
AT ERO,NA,Engelmannsbrunn,NA
AT DFC,NA,Engerwitzdorf,NA
AT ERL,NA,Erl,NA
AT EPD,NA,Erpersdorf,NA
AT FSU,NA,Faistenau,NA
AT LKN,NA,Falkenstein,NA
AT FHR,NA,Fehring,NA
AT FNA,NA,Freudenau,NA
AT FPS,NA,Fulpmes,NA
AT RTV,NA,Gallbrunn,NA
AT GA6,NA,Gamlitz,NA
AT GDN,NA,Gmunden,NA
AT GFS,NA,Greifenstein,NA
AT GRN,NA,Grein,NA
AT SWH,NA,Gross-Schweinbarth,NA
AT GSN,NA,Gutenstein,NA
AT DOF,NA,Hadersdorf,NA
AT HKM,NA,Hadersdorf-Kammern,NA
AT LTX,NA,Hainfeld,NA
AT GHH,NA,Haugsdorf,NA
AT ITN,NA,Hausleiten,NA
AT TEN,NA,Hausmannstatten,NA
AT BNN,NA,Hobersbrunn,NA
AT EIN,NA,Hoflein,NA
AT ZIN,NA,Inzersdorf an der Traisen,NA
AT JPS,NA,Japons,NA
AT ZLF,NA,Jetzelsdorf,NA
AT JDD,NA,Judendorf,NA
AT KAM,NA,Kammern im Liesingtal,NA
AT KTT,NA,Kematen in Tirol,NA
AT ZRF,NA,Ketzelsdorf,NA
AT KFD,NA,Knittelfeld,NA
AT KMB,NA,Krummnussbaum,NA
AT GHJ,NA,Krustetten,NA
AT LZD,NA,Langenzersdorf,NA
AT LUA,NA,Lembach,NA
AT LTS,NA,Leutschach,NA
AT IEG,NA,Limberg,NA
AT MAN,NA,Manning,NA
AT MAB,NA,Marbach an der Donau,NA
AT MKA,NA,Markt Allhau,NA
AT MKC,NA,Mitterkirchen,NA
AT MBS,NA,Morbisch am See,NA
AT NT9,NA,Muthmannsdorf,NA
AT NGG,NA,Neudegg,NA
AT NFN,NA,Neufelden,NA
AT NAD,NA,Neuhofen an der Ybbs,NA
AT ND2,NA,Nickelsdorf,NA
AT NUZ,NA,Nüziders,NA
AT OBU,NA,Oberneukirchen,NA
AT XAE,NA,Oehling,NA
AT GGU,NA,Oggau,NA
AT OSH,NA,Ottensheim,NA
AT ATK,NA,Paternion,NA
AT PBU,NA,Persenbeug,NA
AT PET,NA,Petzenkirchen,NA
AT PAS,NA,Podersdorf am See,NA
AT 7PZ,NA,Prinzersdorf,NA
AT RAD,NA,Radstadt,NA
AT RHN,NA,Ranshofen,NA
AT REG,NA,Regau,NA
AT ETZ,NA,Rietz,NA
AT XXX,NA,RIS Inland waterways,NA
AT RHR,NA,Rohrau,NA
AT RRF,NA,Ruhrsdorf,NA
AT SAK,NA,Sankt Aegidi,NA
AT SGS,NA,Sankt Georgen bei Salzburg,NA
AT SMR,NA,Sankt Margarethen an der Raab,NA
AT SK3,NA,Sankt Margrethen,NA
AT FBZ,NA,Sankt Stefan ob Stainz,NA
AT SUH,NA,Sankt Ulrich,NA
AT SVM,NA,Sankt Veit im Mühlkreis,NA
AT SMK,NA,Schönau im Mühlkreis,NA
AT TTL,NA,Schrattenthal,NA
AT SAG,NA,Schutzen am Gebirge,NA
AT SFT,NA,Senftenberg,NA
AT SPG,NA,Spannberg,NA
AT SPZ,NA,Spitz,NA
AT STD,NA,Steeg,NA
AT SSS,NA,Steinberg,NA
AT SUS,NA,Steinhaus,NA
AT ST6,NA,Straden,NA
AT TAM,NA,Tamsweg,NA
AT TKP,NA,Taufkirchen an der Pram,NA
AT TFS,NA,Terfens,NA
AT THS,NA,Theiss,NA
AT TMR,NA,Traismauer,NA
AT VEL,NA,Velden,NA
AT ERM,NA,Vordernberg,NA
AT WSE,NA,Wallsee,NA
AT WEU,NA,Weinburg,NA
AT WDF,NA,Weitendorf,NA
AT WUL,NA,Wulkaprodersdorf,NA
AT ZNG,NA,Zobing,NA
AU ABP,NA,Abbot Point,NA
AU ALP,NA,Abell Point,NA
AU ADL,NA,Adelaide,NA
AU AIR,NA,Airlie Terminal,NA
AU ALH,NA,Albany,NA
AU ALD,NA,Aldgate,NA
AU AMR,NA,Amrun,NA
AU ANN,NA,Annandale,NA
AU APP,NA,Applecross,NA
AU ARD,NA,Ardrossan,NA
AU AUA,NA,Armadale,NA
AU DLP,NA,Arndell Park,NA
AU ASB,NA,Ashburton,NA
AU ASH,NA,Ashton,NA
AU P6D,NA,Aspendale,NA
AU ATT,NA,Attadale,NA
AU AGS,NA,Augusta,NA
AU ALI,NA,Australind,NA
AU BAE,NA,Baerami,NA
AU BAA,NA,Balhannah,NA
AU BAH,NA,Ballast Head,NA
AU BNK,NA,Ballina,NA
AU BAL,NA,Balnarring,NA
AU LME,NA,Bangholme,NA
AU BNN,NA,Bannockburn,NA
AU BWB,NA,Barrow Island,NA
AU BAR,NA,Barry Beach,NA
AU BRT,NA,Bathurst Island,NA
AU BCH,NA,Beachport,NA
AU BYP,NA,Beauty Point,NA
AU BBL,NA,Beelbangera,NA
AU BEL,NA,Bell Bay,NA
AU BE9,NA,Belrose,NA
AU BVD,NA,Belvidere,NA
AU BFD,NA,Beresfield,NA
AU BKE,NA,Berkeley Vale,NA
AU BRR,NA,Berrys Creek,NA
AU BIC,NA,Bicheno,NA
AU BBG,NA,Bing Bong,NA
AU BLP,NA,Black Point,NA
AU TTS,NA,Blackmans Bay,NA
AU BOV,NA,Blacktip Terminal,NA
AU BNY,NA,Blayney,NA
AU BOB,NA,Bobin,NA
AU BDY,NA,Bomaderry,NA
AU BOO,NA,Booby Island,NA
AU BOD,NA,Boondall,NA
AU BOT,NA,Boort,NA
AU VIB,NA,Boronia,NA
AU BTB,NA,Botany Bay,NA
AU BOU,NA,Boundary Bend,NA
AU ZBO,NA,Bowen,NA
AU BOY,NA,Boyer,NA
AU BBY,NA,Bremer Bay,NA
AU BOL,NA,Bridgewater-on-Loddon,NA
AU BPO,NA,Bridport,NA
AU BSA,NA,Brighton-Le-Sands,NA
AU BNE,NA,Brisbane,NA
AU BMW,NA,Broadmeadows,NA
AU NSB,NA,Broke,NA
AU BME,NA,Broome,NA
AU BUV,NA,Buffalo Venture,NA
AU BUL,NA,Bulli,NA
AU BLL,NA,Bullsbrook,NA
AU BWI,NA,Bulwer,NA
AU BUY,NA,Bunbury,NA
AU BDB,NA,Bundaberg,NA
AU BUC,NA,Burketown,NA
AU BWT,NA,Burnie,NA
AU BYY,NA,Bushy Park,NA
AU BUS,NA,Busselton,NA
AU CNS,NA,Cairns,NA
AU CAL,NA,Caloundra Head,NA
AU CMB,NA,Cambridge,NA
AU CMP,NA,Camperdown,NA
AU CBR,NA,Canberra,NA
AU CAP,NA,Capalaba,NA
AU CCU,NA,Cape Cuvier,NA
AU DON,NA,Cape Don,NA
AU CQP,NA,Cape Flattery,NA
AU CLT,NA,Cape Lambert,NA
AU CLN,NA,Cape Leeuwin,NA
AU CPN,NA,Cape Preston,NA
AU CBO,NA,Carboor,NA
AU CAR,NA,Carina Heights,NA
AU CLF,NA,Carlingford,NA
AU CVQ,NA,Carnarvon,NA
AU CHB,NA,Catherine Hill Bay,NA
AU CUN,NA,Caufield North,NA
AU CVS,NA,Caversham,NA
AU CHV,NA,Challis Venture (oil terminal),NA
AU CHA,NA,Chatswood,NA
AU CHE,NA,Chermside,NA
AU CN6,NA,Chinderah,NA
AU CHT,NA,Chittering,NA
AU SCL,NA,Clare,NA
AU CLM,NA,Claremont,NA
AU CLR,NA,Clarence River,NA
AU CDN,NA,Clarendon,NA
AU CVN,NA,Cleveland,NA
AU CVL,NA,Clovelly,NA
AU CTI,NA,Cockatoo Island,NA
AU CFS,NA,Coffs Harbour,NA
AU CST,NA,Coldstream,NA
AU CLL,NA,Collan Islands,NA
AU CMO,NA,Como,NA
AU CDE,NA,Condamine,NA
AU CTN,NA,Cooktown,NA
AU COU,NA,Coolum,NA
AU COO,NA,Coomera,NA
AU CNW,NA,Coonawarra,NA
AU CPR,NA,Coorparoo,NA
AU CRL,NA,Coral Bay,NA
AU CRS,NA,Coral Sea,NA
AU CBA,NA,Corio Bay,NA
AU CRV,NA,Coromandel Valley,NA
AU COP,NA,Cossack Pioneer (oil terminal),NA
AU CTE,NA,Cottesloe,NA
AU CTT,NA,Cottles Bridge,NA
AU DIL,NA,Cowandilla,NA
AU COW,NA,Cowaramup,NA
AU CRF,NA,Crafers,NA
AU CRE,NA,Crestmead,NA
AU C8R,NA,Cromer,NA
AU CRU,NA,Cronulla,NA
AU DIT,NA,Dalrymple Islet,NA
AU DAL,NA,Dalton,NA
AU DAM,NA,Dampier,NA
AU DAR,NA,Dardanup,NA
AU DAA,NA,Darra,NA
AU DRW,NA,Darwin,NA
AU DRB,NA,Derby,NA
AU DPO,NA,Devonport,NA
AU DHI,NA,Dhipirrinjura,NA
AU DIA,NA,Diamond Creek,NA
AU DRY,NA,Drysdale,NA
AU QDN,NA,Eden,NA
AU EDE,NA,Eden Valley,NA
AU EDB,NA,Edithburgh,NA
AU ELE,NA,Electrona,NA
AU ELB,NA,Elizabeth Bay,NA
AU ELT,NA,Eltham,NA
AU EPR,NA,Esperance,NA
AU EVL,NA,Evans Landing,NA
AU PEX,NA,Exmouth,NA
AU EXM,NA,Exmouth Gulf,NA
AU FIN,NA,Findon,NA
AU FIS,NA,Fisherman Islands,NA
AU FLN,NA,Flynn,NA
AU FLD,NA,Frankland,NA
AU FRE,NA,Fremantle,NA
AU FWT,NA,Freshwater,NA
AU GBT,NA,Garbutt,NA
AU GEX,NA,Geelong,NA
AU GEM,NA,Gembrook,NA
AU GEE,NA,George Town,NA
AU GET,NA,Geraldton,NA
AU GLT,NA,Gladstone,NA
AU GLL,NA,Glebe Island,NA
AU GOI,NA,Goods Is,NA
AU GOA,NA,Goolwa,NA
AU GOR,NA,Gordon,NA
AU GOV,NA,Gove,NA
AU GOH,NA,Gove Harbour,NA
AU GTH,NA,Grantham,NA
AU GRB,NA,Gravelly Beach,NA
AU GTW,NA,Great Western,NA
AU GRH,NA,Greenhead,NA
AU GRK,NA,Greenock,NA
AU GRV,NA,Griffin Venture (oil terminal),NA
AU GTE,NA,Groote Eylandt,NA
AU GRU,NA,Gruyere,NA
AU GUM,NA,Gumeracha,NA
AU HAH,NA,Hahndorf,NA
AU HTT,NA,Halletts Cove,NA
AU HAM,NA,Hampton,NA
AU HWD,NA,Hanwood,NA
AU HPP,NA,Happy Valley,NA
AU HYI,NA,Hardy Island,NA
AU HAS,NA,Hastings,NA
AU HPT,NA,Hay Point,NA
AU HTH,NA,Heathcote,NA
AU HBE,NA,Heatherbrae,NA
AU HFR,NA,Henderson,NA
AU HNK,NA,Hinchinbrook Island,NA
AU HBA,NA,Hobart,NA
AU HDD,NA,Hoddles Creek,NA
AU HOT,NA,Hope Tun,NA
AU IGF,NA,Ingle Farm,NA
AU IPS,NA,Ipswich,NA
AU IRY,NA,Irymple,NA
AU JOV,NA,Jabiru Venture (oil terminal),NA
AU JAR,NA,Jarrahdale,NA
AU KAN,NA,Kangarilla,NA
AU KRB,NA,Karumba,NA
AU KTR,NA,Katherine,NA
AU KAY,NA,Kayena,NA
AU KEI,NA,Keith,NA
AU KNG,NA,Kensington Gardens,NA
AU KEY,NA,Keyneton,NA
AU KIB,NA,King Bay,NA
AU KGC,NA,Kingscote,NA
AU GTY,NA,Kingsford,NA
AU KIT,NA,Kingston,NA
AU KLP,NA,Klein Point,NA
AU KOI,NA,Koolan Island,NA
AU KUR,NA,Kurnell,NA
AU KWI,NA,Kwinana,NA
AU LAB,NA,Lady Barron,NA
AU LMQ,NA,Lake Macquarie,NA
AU LEN,NA,Lakes Entrance,NA
AU LAN,NA,Langarra,NA
AU LST,NA,Launceston,NA
AU JML,NA,Laurieton,NA
AU LGT,NA,Legendre Terminal,NA
AU LYD,NA,Lilydale,NA
AU LOW,NA,Lisarow,NA
AU DFE,NA,Longwood,NA
AU LDH,NA,Lord Howe Is,NA
AU LUC,NA,Lucinda,NA
AU LUB,NA,Lucky Bay,NA
AU MKY,NA,Mackay,NA
AU MQI,NA,Macquarie Island,NA
AU MRK,NA,Macquarie Park,NA
AU MBY,NA,Maribyrnong,NA
AU MAR,NA,Marrickville,NA
AU MBH,NA,Maryborough,NA
AU SAD,NA,Maryborough,NA
AU KLL,NA,Maryknoll,NA
AU MEL,NA,Melbourne,NA
AU MRS,NA,Melrose,NA
AU MLI,NA,Melville Island,NA
AU MID,NA,Midland,NA
AU MIB,NA,Milner Bay,NA
AU MIL,NA,Milperra,NA
AU MON,NA,Montara Field,NA
AU MLL,NA,Mooloolaba,NA
AU MOK,NA,Moorook,NA
AU MDC,NA,Mordialloc,NA
AU MGE,NA,Mount Gravatt,NA
AU MHW,NA,Mount Hawthorn,NA
AU MOU,NA,Mourilyan,NA
AU MOW,NA,Mowbray Heights,NA
AU MWA,NA,Mulwala,NA
AU NEQ,NA,Nericon,NA
AU NLK,NA,New Norfolk,NA
AU NTL,NA,Newcastle,NA
AU VIC,NA,Newtown,NA
AU NGH,NA,Nganhurra,NA
AU NHU,NA,Nhulunbuy,NA
AU NIV,NA,Ningaloo Vision,NA
AU NB2,NA,North Bridge,NA
AU NTE,NA,Northern Endeavour,NA
AU OKF,NA,Oak Flats,NA
AU ONS,NA,Onslow,NA
AU OSB,NA,Osborne Island,NA
AU PAG,NA,Paddington,NA
