Rounded size;RECOFI_bio_length_class_label;RECOFI_bio_length_class_code;IOTC_bio_length_class_code;IOTC_bio_length_class_label;bio_length_measurement_type_label;bio_length_measurement_type_code;length_measurement_unit
1;1-1.9cm;;;1-1.9cm;Fork length;FL;cm
2;2-2.9cm;;;2-2.9cm;Fork length;FL;cm
3;3-3.9cm;;;3-3.9cm;Fork length;FL;cm
4;4-4.9cm;;;4-4.9cm;Fork length;FL;cm
5;5-5.9cm;;;5-5.9cm;Fork length;FL;cm
6;6-6.9cm;;;6-6.9cm;Fork length;FL;cm
7;7-7.9cm;;;7-7.9cm;Fork length;FL;cm
8;8-8.9cm;;;8-8.9cm;Fork length;FL;cm
9;9-9.9cm;;;9-9.9cm;Fork length;FL;cm
10;10-10.9 cm;C001;C001;10-10.9 cm;Fork length;FL;cm
11;11-11.9 cm;C002;C002;11-11.9 cm;Fork length;FL;cm
12;12-12.9 cm;C003;C003;12-12.9 cm;Fork length;FL;cm
13;13-13.9 cm;C004;C004;13-13.9 cm;Fork length;FL;cm
14;14-14.9 cm;C005;C005;14-14.9 cm;Fork length;FL;cm
15;15-15.9 cm;C006;C006;15-15.9 cm;Fork length;FL;cm
16;16-16.9 cm;C007;C007;16-16.9 cm;Fork length;FL;cm
17;17-17.9 cm;C008;C008;17-17.9 cm;Fork length;FL;cm
18;18-18.9 cm;C009;C009;18-18.9 cm;Fork length;FL;cm
19;19-19.9 cm;C010;C010;19-19.9 cm;Fork length;FL;cm
20;20-20.9 cm;C011;C011;20-20.9 cm;Fork length;FL;cm
21;21-21.9 cm;C012;C012;21-21.9 cm;Fork length;FL;cm
22;22-22.9 cm;C013;C013;22-22.9 cm;Fork length;FL;cm
23;23-23.9 cm;C014;C014;23-23.9 cm;Fork length;FL;cm
24;24-24.9 cm;C015;C015;24-24.9 cm;Fork length;FL;cm
25;25-25.9 cm;C016;C016;25-25.9 cm;Fork length;FL;cm
26;26-26.9 cm;C017;C017;26-26.9 cm;Fork length;FL;cm
