"code","uri","label_en","label_fr","is_coastal","is_sids","status_code","acceptance_date"
"ATF",NA,"France (OT)","France (Territoires)",1,0,"CP",1996-12-03
"AUS",NA,"Australia","Australie",1,0,"CP",1996-11-13
"BGD",NA,"Bangladesh","Bangladesh",1,0,"CP",2018-04-24
"CHN",NA,"China","Chine",0,0,"CP",1998-10-14
"COM",NA,"Comoros","Comores",1,1,"CP",2001-08-14
"EUR",NA,"European Union","Union européenne",1,0,"CP",1995-10-27
"GBR",NA,"United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord",0,0,"CP",2020-12-22
"IDN",NA,"Indonesia","Indonésie",1,0,"CP",1997-06-20
"IND",NA,"India","Inde",1,0,"CP",1995-03-13
"IRN",NA,"Iran (Islamic Republic of)","Iran (République islamique d')",1,0,"CP",2002-01-28
"JPN",NA,"Japan","Japon",0,0,"CP",1996-06-26
"KEN",NA,"Kenya","Kenya",1,0,"CP",2004-09-29
"KOR",NA,"Republic of Korea","République de Corée",0,0,"CP",1996-03-27
"LBR",NA,"Liberia","Libéria",0,0,"CNPC",2022-05-16
"LKA",NA,"Sri Lanka","Sri Lanka",1,0,"CP",1994-06-13
"MDG",NA,"Madagascar","Madagascar",1,0,"CP",1996-01-10
"MDV",NA,"Maldives","Maldives",1,0,"CP",2011-07-13
"MOZ",NA,"Mozambique","Mozambique",1,0,"CP",2012-02-13
"MUS",NA,"Mauritius","Maurice",1,1,"CP",1994-12-27
"MYS",NA,"Malaysia","Malaisie",1,0,"CP",1998-05-22
"OMN",NA,"Oman","Oman",1,0,"CP",2000-04-05
"PAK",NA,"Pakistan","Pakistan",1,0,"CP",1995-04-27
"PAN",NA,"Panama","Panama (le)",0,0,"CNPC",2025-04-17
"PHL",NA,"Philippines","Philippines",0,0,"CP",2004-01-09
"SDN",NA,"Sudan","Soudan",1,0,"CP",1996-12-03
"SOM",NA,"Somalia","Somalie",1,0,"CP",2014-05-22
"SYC",NA,"Seychelles","Seychelles",1,1,"CP",1995-07-26
"THA",NA,"Thailand","Thaïlande",1,0,"CP",1997-03-17
"TZA",NA,"United Republic of Tanzania","République-Unie de Tanzanie",1,0,"CP",2007-04-18
"YEM",NA,"Yemen","Yémen",1,0,"CP",2012-07-20
"ZAF",NA,"South Africa","Afrique du Sud",1,0,"CP",2016-02-16
