"code","uri","label_en","label_fr","cpc_code","flag_code"
"ANT",NA,"Netherlands Antilles","Antilles néerlandaises",NA,"ANT"
"ARE",NA,"United Arab Emirates","Émirats arabes unis",NA,"ARE"
"AUS",NA,"Australia","Australie","AUS","AUS"
"BGD",NA,"Bangladesh","Bangladesh","BGD","BGD"
"BHR",NA,"Bahrain","Bahreïn",NA,"BHR"
"BHS",NA,"Bahamas","Bahamas",NA,"BHS"
"BLZ",NA,"Belize","Belize",NA,"BLZ"
"BOL",NA,"Bolivia (Plurinational State of)","Bolivie (État plurinational de)",NA,"BOL"
"CAN",NA,"Canada","Canada",NA,"CAN"
"CHN",NA,"China","Chine","CHN","CHN"
"COK",NA,"Cook Islands","Îles Cook",NA,"COK"
"COM",NA,"Comoros","Comores","COM","COM"
"DJI",NA,"Djibouti","Djibouti",NA,"DJI"
"EGY",NA,"Egypt","Égypte",NA,"EGY"
"ERI",NA,"Eritrea","Érythrée",NA,"ERI"
"EUR.BEL",NA,"EU (Belgium)","UE (Belgique)","EUR","BEL"
"EUR.BGR",NA,"EU (Bulgaria)","UE (Bulgarie)","EUR","BGR"
"EUR.CYP",NA,"EU (Cyprus)","UE (Chypre)","EUR","CYP"
"EUR.DEU",NA,"EU (Germany)","UE (Allemagne)","EUR","DEU"
"EUR.ESP",NA,"EU (Spain)","UE (Espagne)","EUR","ESP"
"EUR.FRA",NA,"EU (France)","UE (France)","EUR","FRA"
"EUR.GBR",NA,"EU (Great Britain)","UE (Royaume-Uni)","EUR","GBR"
"EUR.ITA",NA,"EU (Italy)","UE (Italie)","EUR","ITA"
"EUR.LTU",NA,"EU (Lithuania)","UE (Lituanie)","EUR","LTU"
"EUR.MYT",NA,"EU (France, Mayotte)","UE (France, Mayotte)","EUR","MYT"
"EUR.NLD",NA,"EU (Netherlands)","UE (Pays-Bas)","EUR","NLD"
"EUR.PRT",NA,"EU (Portugal)","UE (Portugal)","EUR","PRT"
"EUR.REU",NA,"EU (France, Réunion)","UE (France, Réunion)","EUR","REU"
"FJI",NA,"Fiji","Fidji",NA,"FJI"
"FRAT",NA,"France (OT)","France (Territoires)","FRAT","ATF"
"FRO",NA,"Faroe Islands","Îles Féroé",NA,"FRO"
"GBR",NA,"United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","GBR","GBR"
"GBRT",NA,"United Kingdom of Great Britain and Northern Ireland (BIOT)","Royaume-Uni de Grande-Bretagne et d’Irlande (Territoires)",NA,"IOT"
"GEO",NA,"Georgia","Géorgie",NA,"GEO"
"GHA",NA,"Ghana","Ghana",NA,"GHA"
"GIN",NA,"Guinea","Guinée",NA,"GIN"
"GUY",NA,"Guyana","Guyana",NA,"GUY"
"HND",NA,"Honduras","Honduras",NA,"HND"
"IDN",NA,"Indonesia","Indonésie","IDN","IDN"
"IND",NA,"India","Inde","IND","IND"
"IRN",NA,"Iran (Islamic Republic of)","Iran (République islamique d')","IRN","IRN"
"ISR",NA,"Israel","Israël",NA,"ISR"
"JOR",NA,"Jordan","Jordanie",NA,"JOR"
"JPN",NA,"Japan","Japon","JPN","JPN"
"KEN",NA,"Kenya","Kenya","KEN","KEN"
"KHM",NA,"Cambodia","Cambodge",NA,"KHM"
"KIR",NA,"Kiribati","Kiribati",NA,"KIR"
"KNA",NA,"Saint Kitts and Nevis","Saint-Kitts-et-Nevis",NA,"KNA"
"KOR",NA,"Republic of Korea","République de Corée","KOR","KOR"
"KWT",NA,"Kuwait","Koweït",NA,"KWT"
"LBR",NA,"Liberia","Libéria","LBR","LBR"
"LKA",NA,"Sri Lanka","Sri Lanka","LKA","LKA"
"MDG",NA,"Madagascar","Madagascar","MDG","MDG"
"MDV",NA,"Maldives","Maldives","MDV","MDV"
"MHL",NA,"Marshall Islands","Îles Marshall",NA,"MHL"
"MMR",NA,"Myanmar","Myanmar",NA,"MMR"
"MNG",NA,"Mongolia","Mongolie",NA,"MNG"
"MOZ",NA,"Mozambique","Mozambique","MOZ","MOZ"
"MUS",NA,"Mauritius","Maurice","MUS","MUS"
"MYS",NA,"Malaysia","Malaisie","MYS","MYS"
"NAM",NA,"Namibia","Namibie",NA,"NAM"
"NEI.IDN",NA,"NEI (Indonesia EEZ)","NCA (Indonésie ZEE)",NA,NA
"NEI.LF",NA,"NEI (fresh tuna longliners)","NCA (palangriere frais)",NA,NA
"NEI.LL",NA,"NEI (deep-freezing longliners)","NCA (palangriere congelé)",NA,NA
"NEI.PS",NA,"NEI (purse seiners)","NCA (senneurs)",NA,NA
"NEI.SUN",NA,"NEI (ex-Soviet Union)","NCA (ex-Union soviétique)",NA,NA
"NOR",NA,"Norway","Norvège",NA,"NOR"
"OMN",NA,"Oman","Oman","OMN","OMN"
"PAK",NA,"Pakistan","Pakistan","PAK","PAK"
"PAN",NA,"Panama","Panama",NA,"PAN"
"PER",NA,"Peru","Pérou",NA,"PER"
"PHL",NA,"Philippines","Philippines","PHL","PHL"
"PLW",NA,"Palau","Palaos",NA,"PLW"
"QAT",NA,"Qatar","Qatar",NA,"QAT"
"SAU",NA,"Saudi Arabia","Arabie saoudite",NA,"SAU"
"SDN",NA,"Sudan","Soudan","SDN","SDN"
"SEN",NA,"Senegal","Sénégal",NA,"SEN"
"SGP",NA,"Singapore","Singapour",NA,"SGP"
"SLE",NA,"Sierra Leone","Sierra Leone",NA,"SLE"
"SOM",NA,"Somalia","Somalie","SOM","SOM"
"SUN",NA,"Union of Soviet Socialist Republics","Union des républiques socialistes soviétiques",NA,"SUN"
"SYC",NA,"Seychelles","Seychelles","SYC","SYC"
"THA",NA,"Thailand","Thaïlande","THA","THA"
"TLS",NA,"Timor-Leste","Timor-Leste",NA,"TLS"
"TON",NA,"Tonga","Tonga",NA,"TON"
"TUR",NA,"Türkiye","Türkiye",NA,"TUR"
"TUV",NA,"Tuvalu","Tuvalu",NA,"TUV"
"TWN",NA,"Taiwan Province of China","Province chinoise de Taïwan","CHN","TWN"
"TZA",NA,"United Republic of Tanzania","République-Unie de Tanzanie","TZA","TZA"
"URY",NA,"Uruguay","Uruguay",NA,"URY"
"USA",NA,"United States of America","États-Unis d'Amérique",NA,"USA"
"VCT",NA,"Saint Vincent and the Grenadines","Saint-Vincent-et-les Grenadines",NA,"VCT"
"VUT",NA,"Vanuatu","Vanuatu",NA,"VUT"
"YEM",NA,"Yemen","Yémen","YEM","YEM"
"ZAF",NA,"South Africa","Afrique du Sud","ZAF","ZAF"
