"code","uri","label_en","label_fr"
"DL",NA,"Discarded - too difficult to land","Rejeté - trop difficile d'embarquer"
"DM",NA,"Discarded - depredated by mammals","Rejeté - déprédation par des mammifères marins"
"DS",NA,"Discarded - depredated by sharks","Rejeté - déprédation par des requins"
"ES",NA,"Escaped","Échappé"
"FL",NA,"Discarded - vessel fully loaded","Rejeté - navire entiérement chargé"
"FR",NA,"Discarded - trunk discarded, fins retained (shark only)","Rejeté - carcasse rejeté - ailerons conservés à bord"
"PQ",NA,"Discarded - unfit for human consumption","Rejeté - impropres à la consommation humaine"
"RB",NA,"Discarded - retention ban on the species (flag state measures)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de l'État du pavillon)"
"TR",NA,"Discarded - trunk retained, fins discarded (shark only)","Ailerons jetés - tronc conservé (requin seulement)"
"TS",NA,"Discarded - too small. Fish of no commercial value due to being of small size","Rejeté - trop petit. Poisson sans valeur commerciale en raison de sa petite taille"
"UD",NA,"Discarded - retention ban on the species (IOTC)","Rejeté - en raison de l’interdiction de rétention de l'espèce (mesures de la CTOI)"
"UN",NA,"Discarded - unspecified reason","Rejeté - raison inconnue"
"US",NA,"Discarded - unwanted species (e.g. with no commercial value or other than target species)","Rejeté - espèces indésirables (par exemple sans valeur commerciale ou autres que les espèces cibles)"
"CC",NA,"Retained - crew consumption","Conservé à bord - consommation de l'équipage"
"FB",NA,"Retained - used as bait","Conservé à bord - utilisé comme appât"
"FL",NA,"Retained - for landing / sale","Conservé à bord - pour être débarqué / vendue"
"FR",NA,"Retained - trunk and fins retained (shark only)","Tronc retenu - ailerons retenus (requin seulement)"
"UN",NA,"Retained - reason unknown","Conservé à bord - raison inconnue"
