"code","uri","label_en","label_fr"
"CA",NA,"Calliper","Pied à coulisse"
"EM",NA,"Eye measurement","Mesure oculaire"
"FT",NA,"Flexible tape","Mètre à ruban"
"LW",NA,"Length-weight relationship","Relation longueur-poids"
"MB",NA,"Measuring board","Planche à mesurer"
"UN",NA,"Unknown","Inconnu"
"BR",NA,"Brail","Salabarde"
"CA",NA,"Calculation","Calcul"
"EB",NA,"Electronic balance","Balance électronique"
"EM",NA,"Eye measurement (observer)","Mesure oculaire (observateur)"
"LO",NA,"Vessel logbook (eye measurement crew)","Journal de bord du navire (mesure oculaire équipage)"
"LW",NA,"Length-weight relationship","Relation longueur-poids"
"MB",NA,"Mechanical balance","Balance mécanique"
"SB",NA,"Spring balance","Peson"
"UN",NA,"Unknown","Inconnu"
