"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"ABL",NA,"Attentive carplet",NA,"Amblypharyngodon melettinus","OTHERS","OTHERS","Cyprinidae","Cypriniformes",FALSE,FALSE,FALSE,FALSE,TRUE
"AG_CETACEANS",NA,"Cetaceans nei","Cétacés nca",NA,"OTHERS","CETACEANS",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
"AG01",NA,"Black marlin and striped marlin","Marlin noir et marlin rayé","Makaira nigricans; Tetrapturus audax","BILLFISH","BILLFISH",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG02",NA,"Indo-Pacific sailfish and shortbill spearfish","Voilier indo-pacifique et makaire à rostre court","Istiophorus platypterus; Tetrapturus angustirostris","BILLFISH","BILLFISH",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG06",NA,"Kawakawa, frigate and bullet tunas","Thonine orientale, auxide et bonitou ","Euthynnus affinis; Auxis spp","TUNAS","NERITIC",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG07",NA,"Longtail tuna and kawakawa","Thon mignon et thonine orientale","Thunnus tonggol; Euthynnus affinis","TUNAS","NERITIC",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG10",NA,"Skipjack tuna and kawakawa","Listao et thonine orientale","Katsuwonus pelamis; Euthynnus affinis","TUNAS","TUNAS_NEI",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG21",NA,"Sharks nei other than oceanic whitetip shark and blue shark","Espèces de requins autres que le requin océanique et le requin peau bleue","Selachimorpha (Pleurotremata); needs update","SHARKS","SHARKS",NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
"AG35",NA,"Yellowfin tuna and skipjack tuna","Albacore et listao","Thunnus albacares; Katsuwonus pelamis","TUNAS","TROPICAL",NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
"AG38",NA,"Blue shark, shortfin mako, oceanic whitetip shark","Requin peau bleue, requin-taupe bleu et requin océanique","Prionace glauca; Isurus oxyrinchus; Carcharhinus longimanus","SHARKS","SHARKS",NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
"AG47",NA,"Common dolphinfish and rainbow runner","Coryphène commune et comète saumon","Elagatis bipinnulata, Coryphaena hippurus","OTHERS","OTHERS",NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
"AG51",NA,"Seabirds nei","Oiseaux de mer nca",NA,"OTHERS","SEABIRDS",NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
"AGN",NA,"Angelshark","Ange de mer commun","Squatina squatina","SHARKS","SHARKS","Squatinidae","Squatiniformes",FALSE,TRUE,FALSE,FALSE,TRUE
"ALB",NA,"Albacore","Germon","Thunnus alalunga","TUNAS","TEMPERATE","Scombridae","Scombroidei",TRUE,TRUE,FALSE,FALSE,TRUE
"ALI",NA,"Lancetfishes nei",NA,"Alepisaurus spp","OTHERS","OTHERS","Alepisauridae","Aulopiformes",FALSE,TRUE,FALSE,TRUE,TRUE
"ALM",NA,"Unicorn leatherjacket filefish","Bourse loulou","Aluterus monoceros","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",FALSE,FALSE,FALSE,FALSE,TRUE
"ALN",NA,"Scribbled leatherjac. filefish","Bourse écriture","Aluterus scriptus","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",FALSE,FALSE,FALSE,FALSE,TRUE
"ALO",NA,"Short snouted lancetfish","Lancier à nez court","Alepisaurus brevirostris","OTHERS","OTHERS","Alepisauridae","Aulopiformes",FALSE,TRUE,FALSE,FALSE,TRUE
"ALS",NA,"Silvertip shark","Requin pointe blanche","Carcharhinus albimarginatus","SHARKS","SHARKS","Carcharhinidae","Carcharhiniformes",FALSE,TRUE,FALSE,FALSE,TRUE
"ALT",NA,"Leatherjacket filefishes",NA,"Aluterus spp","OTHERS","OTHERS","Monacanthidae","Tetraodontiformes",FALSE,FALSE,FALSE,TRUE,TRUE
"ALV",NA,"Thresher","Renard","Alopias vulpinus","SHARKS","SHARKS","Alopiidae","Lamniformes",FALSE,TRUE,TRUE,FALSE,TRUE
"ALX",NA,"Long snouted lancetfish","Lancier longnez","Alepisaurus ferox","OTHERS","OTHERS","Alepisauridae","Aulopiformes",FALSE,TRUE,FALSE,FALSE,TRUE
"ALZ",NA,"Albatrosses nei","Albatros nca","Diomedeidae","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",FALSE,FALSE,TRUE,TRUE,TRUE
"AMB",NA,"Greater amberjack","Sériole couronnée","Seriola dumerili","OTHERS","OTHERS","Carangidae","Percoidei",FALSE,TRUE,FALSE,FALSE,TRUE
"AML",NA,"Grey reef shark","Requin dagsit","Carcharhinus amblyrhynchos","SHARKS","SHARKS","Carcharhinidae","Carcharhiniformes",FALSE,FALSE,FALSE,FALSE,TRUE
"AMX",NA,"Amberjacks nei","Sérioles nca","Seriola spp","OTHERS","OTHERS","Carangidae","Percoidei",FALSE,TRUE,FALSE,TRUE,TRUE
"ANX",NA,"Anchovies, etc. nei","Anchois, etc. nca","Engraulidae","OTHERS","OTHERS","Engraulidae","Clupeiformes",FALSE,FALSE,FALSE,TRUE,TRUE
"APO",NA,"Cardinalfishes, etc. nei","Apogonidés nca","Apogonidae","OTHERS","OTHERS","Apogonidae","Percoidei",FALSE,TRUE,FALSE,TRUE,TRUE
