"code","uri","label_en","label_fr"
"BILLFISH",NA,"Billfish species","Espèces de porte-épées"
"CETACEANS",NA,"Cetacean species","Espèces de cétacés"
"NERITIC",NA,"Neritic tuna species","Espèces de thons néritiques"
"OTHERS",NA,"Other species NEI","Toutes les autres espèces NCA"
"RAYS",NA,"Ray species","Espèces de raies"
"SEABIRDS",NA,"Seabird species","Espèces d'oiseaux marins"
"SEERFISH",NA,"Seerfish species","Espèces de thazards"
"SHARKS",NA,"Shark species","Espèces de requins"
"TEMPERATE",NA,"Temperate tuna species","Espèces de thons tempérés"
"TROPICAL",NA,"Tropical tuna species","Espèces de thons tropicaux"
"TUNAS_NEI",NA,"Tuna species NEI","Espèces de thons NCA"
"TURTLES",NA,"Marine turtle species","Espèces de tortues marines"
