"country_code","country_name","currency_code","currency_name"
"ABW","Aruba","AWG","Aruban Florin"
"AFG","Afghanistan","AFN","Afghani"
"AGO","Angola","AOA","Kwanza"
"AIA","Anguilla","XCD","East Caribbean Dollar"
"ALA","Åland Islands","EUR","Euro"
"ALB","Albania","ALL","Lek"
"AND","Andorra","EUR","Euro"
"ARE","United Arab Emirates","AED","UAE Dirham"
"ARG","Argentina","ARS","Argentine Peso"
"ARM","Armenia","AMD","Armenian Dram"
"ASM","American Samoa","USD","US Dollar"
"ATA","Antarctica","NON","None"
"ATF","French Southern Territories","EUR","Euro"
"ATG","Antigua and Barbuda","XCD","East Caribbean Dollar"
"AUS","Australia","AUD","Australian Dollar"
"AUT","Austria","EUR","Euro"
"AZE","Azerbaijan","AZN","Azerbaijanian Manat"
"BDI","Burundi","BIF","Burundi Franc"
"BEL","Belgium","EUR","Euro"
"BEN","Benin","XOF","CFA Franc BCEAO"
"BES","Bonaire, Sint Eustatius and Saba","USD","US Dollar"
"BFA","Burkina Faso","XOF","CFA Franc BCEAO"
"BGD","Bangladesh","BDT","Taka"
"BGR","Bulgaria","BGN","Bulgarian Lev"
"BHR","Bahrain","BHD","Bahraini Dinar"
"BHS","Bahamas","BSD","Bahamian Dollar"
"BIH","Bosnia and Herzegovina","BAM","Convertible Mark"
"BLM","Saint Barthélemy","EUR","Euro"
"BLR","Belarus","BYR","Belarussian Ruble"
"BLZ","Belize","BZD","Belize Dollar"
"BMU","Bermuda","BMD","Bermudian Dollar"
"BOL","Bolivia (Plurinational State of)","BOB","Boliviano"
"BOL","Bolivia (Plurinational State of)","BOV","Mvdol"
"BRA","Brazil","BRL","Brazilian Real"
"BRB","Barbados","BBD","Barbados Dollar"
"BRN","Brunei Darussalam","BND","Brunei Dollar"
"BTN","Bhutan","BTN","Ngultrum"
"BTN","Bhutan","INR","Indian Rupee"
"BVT","Bouvet Island","NOK","Norwegian Krone"
"BWA","Botswana","BWP","Pula"
"CAF","Central African Republic","XAF","CFA Franc BEAC"
"CAN","Canada","CAD","Canadian Dollar"
"CCK","Cocos (Keeling) Islands","AUD","Australian Dollar"
"CHE","Switzerland","CHE","WIR Euro"
"CHE","Switzerland","CHF","Swiss Franc"
"CHE","Switzerland","CHW","WIR Franc"
