"code","uri","label_en","label_fr"
"FM",NA,"Fish meal","Farine de poisson"
"UN",NA,"Unknown","Inconnu"
"NS",NA,"Not specified","Non spécifié"
"SH",NA,"Sashimi high quality","Sashimi de qualité supérieure"
"SL",NA,"Sashimi low quality","Sashimi de qualité inférieure"
"SA",NA,"Sashimi","Sashimi"
"CA",NA,"Canned fish","Poisson en conserve"
"DR",NA,"Dried fish","Poisson séché"
"FF",NA,"Fish fillets","Poisson en filets"
"FO",NA,"Fish oil","Huile de poisson"
"RE",NA,"Fish roe (fish gonads or eggs)","Laitance de poisson (ovaires/œufs de poisson)"
"FR",NA,"Fresh fish","Poisson frais"
"FB",NA,"Frozen fish","Poisson congelé"
"PC",NA,"Precooked fish","Poisson précuit"
"ST",NA,"Salted fish","Poisson salé"
"SF",NA,"Shark fins","Ailerons de requin"
"SK",NA,"Smoked fish","Poisson fumé"
