"code","uri","label_en","label_fr"
"BARQ",NA,"Barque (Réunion, Comoros)","Barque (Réunion, Comores)"
"DHOW",NA,"Arabian Dhow","Dhow arabe"
"DLIN",NA,"Australian drop liner","Drop liner australien"
"LAUN",NA,"Launch","Chaloupe"
"LLAF",NA,"Asian-type fiberglass tuna longliner","Palangrier en polyester de type asiatique"
"LLAS",NA,"Asian-type steel tuna longliner","Palangrier en acier de type asiatique "
"LLAW",NA,"Asian-type wooden tuna longliner","Palangrier en bois de type asiatique"
"LLES",NA,"European-type steel swordfish longliner","Palangrier en acier de type européen"
"MASD",NA,"Maldivian Masdhoani","Masdhoani maldivien"
"MLIN",NA,"Australian minor liner","Petit ligneur australien"
"MULT",NA,"Fiberglass multipurpose","Bateau polyvalent en polyester"
"OCAN",NA,"Outrigger-Canoe (Madagascar)","Tangon-canoë (Madagascar)"
"PIRG",NA,"Pirogue","Pirogue"
"PLAW",NA,"Asian-type wooden baitboat","Canneur en bois de type asiatique"
"PLES",NA,"European-type steel baitboat","Canneur en acier de type européen"
"PSAS",NA,"Asian-type industrial purse seiner","Senneur industriel de type asiatique"
"PSEU",NA,"European-type industrial purse seiner","Senneur industriel de type européen"
"PSFG",NA,"Fiberglass coastal purse seiner (small pelagics)","Senneur côtier en polyester (petits pélagiques)"
"PSUS",NA,"American-type industrial purse seiner","Senneur industriel de type américain"
"PSWD",NA,"Wooden coastal purse seiner (small pelagics)","Senneur côtier en bois (petits pélagiques)"
"RWBO",NA,"Rowboat","Bateau à rames"
"SCHO",NA,"Seychelles schooner","Schooner seychellois"
"SHAS",NA,"Yemeni shasha","Shasha yéménite"
"SPOR",NA,"Sport boat","Bateau sportif"
"SUPP",NA,"Support vessel assisting industrial purse seiners","Navire auxiliaire en appui aux senneurs industriels"
"TRSF",NA,"Fiberglass stern trawler","Chalutier pêche arrière en polyester"
"TRSS",NA,"Steel stern trawler","Chalutier pêche arrière en acier"
"TRSW",NA,"Wooden stern trawler","Chalutier pêche arrière en bois"
"UNKN",NA,"Unknown","Inconnu"
"VADH",NA,"Maldivian vadhu","Vadhu maldivien"
"VEDT",NA,"Vedette (Réunion, Comoros)","Vedette (Réunion, Comores)"
"WHAL",NA,"Seychelles whaler","Whaler seychellois"
