"code","uri","label_en","label_fr"
"E",NA,"East","Est"
"ENE",NA,"East-North-East","Est-Nord-Est"
"ESE",NA,"East-South-East","Est-Sud-Est"
"N",NA,"North","Nord"
"NE",NA,"North-East","Nord-Est"
"NNE",NA,"North-North-East","Nord-Nord-Est"
"NNW",NA,"North-North-West","Nord-Nord-Ouest"
"NW",NA,"Nort-West","Nord-Ouest"
"S",NA,"South","Sud"
"SE",NA,"South-East","Sud-Est"
"SSE",NA,"South-South-East","Sud-Sud-Est"
"SSW",NA,"South-South-West","Sud-Sud-Ouest"
"SW",NA,"South-West","Sud-Ouest"
"W",NA,"West","Ouest"
"WNW",NA,"West-North-West","Ouest-Nord-Ouest"
"WSW",NA,"West-South-West","Ouest-Sud-Ouest"
