"code","uri","label_en","label_fr"
"BO",NA,"Number of boats","Nombre de bateaux"
"DS",NA,"Number of days at sea","Nombre de jours en mer"
"FD",NA,"Number of fishing days","Nombre de jours de pêche"
"FH",NA,"Number of hours fishing","Nombre d'heures de pêche"
"HA",NA,"Haul","Virage"
"HK",NA,"Number of hooks","Nombre d'hameçons"
"LH",NA,"Line-hours","Nombre d’heures de pêche accumulées pour les lignes déployées"
"MD",NA,"Men-days","Nombre de jours de pêche accumulés pour l'équipage"
"MH",NA,"Man-hours","Nombre d'heures de pêche accumulées pour l'équipage"
"NG",NA,"Number of active gears","Nombre d'engins de pêche actifs"
"NP",NA,"Number of lines (poles)","Nombre de cannes"
"NS",NA,"Number of sets","Nombre d'opérations de pêche"
"NT",NA,"Net-days","Nombre de jours de pêche accumulés pour les filets déployés"
"PS",NA,"Number of positive sets","Nombres d'opérations de pêche réussies"
"SD",NA,"Number of searching days","Nombre de jours d'exploration"
"SH",NA,"Number of hours at sea","Nombre d'heures en mer"
"SR",NA,"Number of hours searching","Nombre d'heures d'exploration"
"SS",NA,"Number of null (skunk) sets","Nombre d'opérations de pêche manquées"
"ST",NA,"Number of hours fishing standardized","Nombre d'heures de pêche (standardisé)"
"TR",NA,"Number of trips","Nombre de marées"
