"code","uri","label_en","label_fr"
"BR",NA,"Refrigerated brine","Saumure réfrigérée"
"CW",NA,"Chilled with sea water (higher temperature than refrigerated sea water)","Eau de mer refroidie"
"DF",NA,"Cold storage below -30 degrees","Chambre au froid en-dessous de -30 degrés"
"DR",NA,"Dried","Séché"
"FR",NA,"Cold storage between 0 and -30 degrees","Chambre au froid entre 0 et -30 degrés"
"IC",NA,"Ice","Glace"
"NO",NA,"None","Aucune"
"RW",NA,"Refrigerated sea water","Eau de mer réfrigérée"
"SM",NA,"Smoked","Fumé"
"ST",NA,"Salt","Sel"
"UN",NA,"Unknown","<TBD>"
