"code","uri","gear_group_code","isscfg_code","label_en","label_fr","definition_en","definition_fr"
"BS",NA,"OT","02.1","Beach seines","Sennes de plage","A beach seine is a seine net operated from the shore. The gear is composed of a bunt (bag or loose netting) and long wings often lengthened with long ropes for towing the seine to the beach. The headrope with floats is on the surface, the footrope is in permanent contact with the bottom and the seine is therefore a barrier which prevents the fish from escaping from the area enclosed by the net","Une senne de plage est un filet de senne opéré depuis le rivage. L'engin est composé d'une poche (sac ou filet plus lâche) et de longues ailes souvent rallongées avec de longues cordes afin de remorquer la senne sur la plage. La corde de tête avec les flotteurs est à la surface tandis que la corde de fond est en contact permanent avec le fond afin que la senne constitue une barrière qui empêche les poissons de s'échapper de la zone fermée par le filet"
"CN",NA,"OT","06.1","Cast nets","Eperviers","A cast net is constructed from a series of tailored netting sections joined together to produce a cone-shaped net with weights and a drawstring attached to the perimeter and cast by a fisher to catch fish","Un épervier est construit à partir d'une série de sections de filet taillées sur mesure et assemblées pour produire un filet en forme de cône avec des poids et un cordon attaché au périmètre et lancé par un pêcheur pour attraper des poissons"
"DL",NA,"LL","09.32","Drifting longlines","Palangres dérivantes","A drifting longline consists of a mainline kept near the surface or at a certain depth by means of regularly spaced floats and with relatively long snoods with baited hooks, evenly spaced on the mainline. Drifting longlines may be of considerable length. Some drifting longlines are set vertically, each line hanging from a float at the surface","Une palangre dérivante consiste en une ligne principale maintenue près de la surface ou à une certaine profondeur au moyen de flotteurs régulièrement espacés et de hameçons relativement longs munis d'hameçons appâtés, régulièrement espacés sur la ligne principale. Les palangres dérivantes peuvent être d'une longueur considérable. Certaines palangres dérivantes sont posées verticalement, chaque ligne étant suspendue à un flotteur à la surface"
"DL+TL",NA,"HL","09.9","Drifting longlines and trolling lines","Palangres dérivantes et lignes de traîne","A drifting longline consists of a mainline kept near the surface or at a certain depth by means of regularly spaced floats and with relatively long snoods with baited hooks, evenly spaced on the mainline. Drifting longlines may be of considerable length. Some drifting longlines are set vertically, each line hanging from a float at the surface; A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber","Une palangre dérivante consiste en une ligne principale maintenue près de la surface ou à une certaine profondeur au moyen de flotteurs régulièrement espacés et de hameçons relativement longs munis d'hameçons appâtés, régulièrement espacés sur la ligne principale. Les palangres dérivantes peuvent être d'une longueur considérable. Certaines palangres dérivantes sont posées verticalement, chaque ligne étant suspendue à un flotteur à la surface ; Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs"
"DS",NA,"OT","02.2","Danish seines","Sennes danoises","A Danish seine net is a boat seine composed of a bunt (bag or loose netting) and long wings often lengthened with long towing ropes or warps. Operated from a boat, they are generally used on the bottom, where they are hauled by two ropes, usually very long, set in the water so as to ensure that as many fish as possible are driven or herded towards the opening of the net","La senne danoise est une senne de bateau composée d'une poche (sac ou filet lâche) et de longues ailes souvent rallongées par de longs cordages ou chaînes de traction. Utilisées à partir d'un bateau, elles sont généralement utilisées sur le fond, où elles sont tirées par deux cordes, généralement très longues, placées dans l'eau de façon à ce que le plus grand nombre possible de poissons soient poussés ou rassemblés vers l'ouverture du filet"
"GD",NA,"GI","07.2","Drifting gillnets","Filets maillant dérivants","A drifting gillnet (or driftnet) is usually fished in a fleet which can extend over a great distance in open waters. Drifting gillnets fish on or near the surface but can be in midwater, with the length of buoy ropes controlling the depth of the net. The net is typically adrift with the vessel or a marker (buoy and highflyer) attached to one or both ends of the gear. In large operations, the marker may be equipped with radio or satellite transmitters for easy location. The predominant method of capture is by gilling and the nets are thus highly size-selective for the target species. A fleet of drift gillnets can be over 10km long and several fleets may be fished by a vessel; the total length of the net fished by one vessel may therefore stretch to tens of kilometres","Un filet maillant dérivant (ou filet dérivant) est généralement opéré par une flottille qui peut s'étendre sur de grandes distances en pleine eau. Les filets maillants dérivants pêchent à la surface ou près de la surface, mais ils peuvent aussi se trouver en eau moyenne, la longueur des câbles de bouée contrôlant la profondeur du filet. Le filet est généralement à la dérive avec le navire ou un marqueur (bouée et balises high-flyer) attaché à l'une ou aux deux extrémités de l'engin. Dans les opérations de grande envergure, le marqueur peut être équipé d'émetteurs radio ou satellite pour être facilement localisé. La méthode de capture prédominante est la pêche au filet maillant et les filets sont donc hautement sélectifs en termes de taille pour les espèces ciblées. Une flotte de filets maillants dérivants peut avoir une longueur de plus de 10 km et plusieurs flottes peuvent être exploitées par un navire ; la longueur totale du filet exploité par un navire peut donc atteindre des dizaines de kilomètres"
"GD+DL",NA,"GI","07.9","Drifting gillnets and longlines","Filets maillant dérivants et palangres","A drifting gillnet (or driftnet) is usually fished in a fleet which can extend over a great distance in open waters. Drift gillnets fish on or near the surface but can be in midwater, with the length of buoy ropes controlling the depth of the net. The net is typically adrift with the vessel or a marker (buoy and highflyer) attached to one or both ends of the gear. In large operations, the marker may be equipped with radio or satellite transmitters for easy location. The predominant method of capture is by gilling and the nets are thus highly size-selective for the target species. A fleet of drift gillnets can be over 10km long and several fleets may be fished by a vessel; the total length of the net fished by one vessel may therefore stretch to tens of kilometres; A drifting longline consists of a mainline kept near the surface or at a certain depth by means of regularly spaced floats and with relatively long snoods with baited hooks, evenly spaced on the mainline. Drifting longlines may be of considerable length. Some drifting longlines are set vertically, each line hanging from a float at the surface","Un filet maillant dérivant (ou filet dérivant) est généralement opéré par une flottille qui peut s'étendre sur de grandes distances en pleine eau. Les filets maillants dérivants pêchent à la surface ou près de la surface, mais ils peuvent aussi se trouver en eau moyenne, la longueur des câbles de bouée contrôlant la profondeur du filet. Le filet est généralement à la dérive avec le navire ou un marqueur (bouée et balises high-flyer) attaché à l'une ou aux deux extrémités de l'engin. Dans les opérations de grande envergure, le marqueur peut être équipé d'émetteurs radio ou satellite pour être facilement localisé. La méthode de capture prédominante est la pêche au filet maillant et les filets sont donc hautement sélectifs en termes de taille pour les espèces ciblées. Une flotte de filets maillants dérivants peut avoir une longueur de plus de 10 km et plusieurs flottes peuvent être exploitées par un navire ; la longueur totale du filet exploité par un navire peut donc atteindre des dizaines de kilomètres ; Une palangre dérivante consiste en une ligne principale maintenue près de la surface ou à une certaine profondeur au moyen de flotteurs régulièrement espacés et de hameçons relativement longs munis d'hameçons appâtés, régulièrement espacés sur la ligne principale. Les palangres dérivantes peuvent être d'une longueur considérable. Certaines palangres dérivantes sont posées verticalement, chaque ligne étant suspendue à un flotteur à la surface"
"GD+HL+TL",NA,"GI","07.9","Drifting gillnets, handlines and trolling lines","Filets maillant dérivants, lignes à main et lignes de traîne","A drifting gillnet (or driftnet) is usually fished in a fleet which can extend over a great distance in open waters. Drift gillnets fish on or near the surface but can be in midwater, with the length of buoy ropes controlling the depth of the net. The net is typically adrift with the vessel or a marker (buoy and highflyer) attached to one or both ends of the gear. In large operations, the marker may be equipped with radio or satellite transmitters for easy location. The predominant method of capture is by gilling and the nets are thus highly size-selective for the target species. A fleet of drift gillnets can be over 10km long and several fleets may be fished by a vessel; the total length of the net fished by one vessel may therefore stretch to tens of kilometres; A handline is set and pulled by hand and consists of one vertical line to which may be attached leader lines with hooks; A trolling line consists of a line with natural or artificial baited hooks and is trailed by a vessel near the surface or at a certain depth. Several lines are often towed at the same time, by using outriggers to keep the lines away from the wake of the vessel. The line are hauled by hand or with small winches. A piece of rubber is often included in each line as a shock absorber","Un filet maillant dérivant (ou filet dérivant) est généralement opéré par une flottille qui peut s'étendre sur de grandes distances en pleine eau. Les filets maillants dérivants pêchent à la surface ou près de la surface, mais ils peuvent aussi se trouver en eau moyenne, la longueur des câbles de bouée contrôlant la profondeur du filet. Le filet est généralement à la dérive avec le navire ou un marqueur (bouée et balises high-flyer) attaché à l'une ou aux deux extrémités de l'engin. Dans les opérations de grande envergure, le marqueur peut être équipé d'émetteurs radio ou satellite pour être facilement localisé. La méthode de capture prédominante est la pêche au filet maillant et les filets sont donc hautement sélectifs en termes de taille pour les espèces ciblées. Une flotte de filets maillants dérivants peut avoir une longueur de plus de 10 km et plusieurs flottes peuvent être exploitées par un navire ; la longueur totale du filet exploité par un navire peut donc atteindre des dizaines de kilomètres ; Une ligne à main est posée et tirée à la main et se compose d'une ligne verticale à laquelle peuvent être attachés des bas de ligne avec des hameçons ; Une ligne de traîne consiste en une ligne munie d'hameçons appâtés naturels ou artificiels et est traînée par un navire près de la surface ou à une certaine profondeur. Plusieurs lignes sont souvent remorquées en même temps, en utilisant des stabilisateurs pour éloigner les lignes du sillage du navire. Les lignes sont tirées à la main ou à l'aide de petits treuils. Un morceau de caoutchouc est souvent inclus dans chaque ligne pour amortir les chocs"
"GE",NA,"GI","07.3","Encircling gillnets","Filets maillant encerclants","An encircling gillnet is a gillnet set vertical, in shallow waters, encircling fish. After the fish has been encircled by the net, noise or other means are used to force them to gill or entangle themselves in the netting. It is a technology commonly used by groups of small-scale fishermen (or women)","Un filet maillant encerclant est un filet maillant posé à la verticale, dans des eaux peu profondes, encerclant les poissons. Une fois que le poisson a été encerclé par le filet, on utilise le bruit ou d'autres moyens pour le forcer à se mailler par les branchies ou à s'emmêler dans le filet. Il s'agit d'une technologie couramment utilisée par des groupes de petits pêcheurs (ou de femmes)"
"GS",NA,"GI","07.1","Set gillnets","Filets maillants calés","A set gillnet is a long rectangular netting anchored or otherwise fixed to the seabed to catch fish when they come in contact with it. The set gillnet is held open vertically in the water by a headrope usually with floats, and by a footrope weighted with sinkers. Floatation and weight may be built into ropes, which are usually called floatrope and leadrope respectively. The net is kept in position by anchors or other weights, usually at both ends, and marked on the surface with buoys and/or highflyers","Un filet maillant fixe est un long filet rectangulaire ancré ou fixé au fond de la mer pour capturer les poissons lorsqu'ils entrent en contact avec lui. Le filet maillant fixe est maintenu ouvert verticalement dans l'eau par une corde de tête, généralement munie de flotteurs, et par une corde de pied lestée de plombs. Les flotteurs et le poids peuvent être intégrés dans des cordes, qui sont généralement appelées respectivement corde à flotteur et corde à plomb. Le filet est maintenu en position par des ancres ou d'autres poids, généralement aux deux extrémités, et marqué en surface par des bouées et/ou des balises"
