"code","uri","label_en","label_fr"
"C11",NA,"Circle hooks 11/0","Hameçons autoferrants 11/0"
"C12",NA,"Circle hooks 12/0","Hameçons autoferrants 12/0"
"C13",NA,"Circle hooks 13/0","Hameçons autoferrants 13/0"
"C14",NA,"Circle hooks 14/0","Hameçons autoferrants 14/0"
"C15",NA,"Circle hooks 15/0","Hameçons autoferrants 15/0"
"C16",NA,"Circle hooks 16/0","Hameçons autoferrants 16/0"
"C18",NA,"Circle hooks 18/0","Hameçons autoferrants 18/0"
"H32",NA,"Japan tuna hooks 3.2","Hameçons à thons japonais 3.2"
"H34",NA,"Japan tuna hooks 3.4","Hameçons à thons japonais 3.4"
"H36",NA,"Japan tuna hooks 3.6","Hameçons à thons japonais 3.6"
"H38",NA,"Japan tuna hooks 3.8","Hameçons à thons japonais 3.8"
"H40",NA,"Japan tuna hooks 4.0","Hameçons à thons japonais 4.0"
"H42",NA,"Japan tuna hooks 4.2","Hameçons à thons japonais 4.2"
"J08",NA,"J Hooks 8/0","Hameçons en J 8/0"
"J09",NA,"J Hooks 9/0","Hameçons en J 9/0"
"J10",NA,"J Hooks 10/0","Hameçons en J 10/0"
"J12",NA,"J Hooks 12/0","Hameçons en J 12/0"
"S01",NA,"Spanish hooks 1","Hameçons espagnols 1"
"S02",NA,"Spanish hooks 2","Hameçons espagnols 2"
"S03",NA,"Spanish hooks 3","Hameçons espagnols 3"
"S04",NA,"Spanish hooks 4","Hameçons espagnols 4"
"T32",NA,"Teracima hooks 3.2 sun","Hameçons Teracima 3.2 sun"
"T34",NA,"Teracima hooks 3.4 sun","Hameçons Teracima 3.4 sun"
"T36",NA,"Teracima hooks 3.6 sun","Hameçons Teracima 3.6 sun"
"T38",NA,"Teracima hooks 3.8 sun","Hameçons Teracima 3.8 sun"
