"code","uri","label_en","label_fr"
"BR",NA,"Braided line (kuralon-braided nylon)","Ligne tressée (kuralon-nylon tressé)"
"CR",NA,"Monofilament cremona","Cremona monofilament"
"DY",NA,"Monofilament dyneema","Dyneema monofilament"
"GW",NA,"Galvanized wire (mat)","Câble galvanisé (mat)"
"KE",NA,"Monofilament kevlar","Kevlar monofilament"
"MC",NA,"Multifilament cremona","Cremona multifilament"
"MD",NA,"Multifilament dyneema","Dyneema multifilament"
"MK",NA,"Multifilament kevlar","Kevlar multifilament"
"MN",NA,"Multifilament nylon","Nylon multifilament"
"MT",NA,"Multifilament tetoron","Tetoron multifilament"
"NL",NA,"Monofilament nylon","Nylon monofilament"
"SK",NA,"Sekiyama wire","Fil Sekiyama"
"ST",NA,"Stainless steel wire (bright)","Câble en acier inoxydable (brillant)"
"TE",NA,"Monofilament tetoron","Tetoron monofilament "
"TR",NA,"3 strand tarred rope (red or black)","Cordage goudronné à 3 torons (rouge ou noir)"
