"code","uri","label_en","label_fr","definition_en","definition_fr"
"AL",NA,"Albacore","Germons","ALB (Albacore / Thunnus alalunga)","ALB (Germon / Thunnus alalunga)"
"BF",NA,"Southern bluefin tuna","Thons rouge du sud","SBF (Southern bluefin tuna / Thunnus maccoyii)","SBF (Thon rouge du sud / Thunnus maccoyii)"
"MS",NA,"Marlins and sailfish","Marlins et voiliers","BLM (Black marlin / Istiompax indica), BUM (Blue marlin / Makaira nigricans), MLS (Striped marlin / Tetrapturus audax), SFA (Indo-Pacific sailfish / Istiophorus platypterus)","BLM (Makaire noir / Istiompax indica), BUM (Makaire bleu / Makaira nigricans), MLS (Marlin rayé / Tetrapturus audax), SFA (Voilier indo-pacifique / Istiophorus platypterus)"
"NI",NA,"Non-IOTC species","Espèces non-CTOI","All species other than the 16 IOTC managed species, and the most commonly caught elasmobranch species","Toutes les espèces autres que les 16 espèces gérées par la CTOI et les espèces d'élasmobranches les plus couramment capturées"
"NS",NA,"Neritic tunas and seerfish","Thons néritiques et maquereaux espagnols","BLT (Bullet tuna / Auxis rochei), FRI (Frigate tuna / Auxis thazard), LOT (Longtail tuna / Thunnus tonggol), KAW (Kawakawa / Euthynnus affinis), COM (Narrow-barred Spanish mackerel / Scomberomorus commerson), GUT (Indo-Pacific king mackerel / Scomberomorus guttatus) or any combination of these","BLT (Bonitou / Auxis rochei), FRI (Auxide / Auxis thazard), LOT (Thon mignon / Thunnus tonggol), KAW (Thonine orientale / Euthynnus affinis), COM (Thazard rayé indo-pacifique / Scomberomorus commerson), GUT (Thazard ponctué indo-pacifique / Scomberomorus guttatus) ou toute combinaison de ceux-ci"
"SA",NA,"Swordfish and albacore","Espadons et germons","SWO (Swordfish / Xiphias gladius), ALB (Albacore / Thunnus alalunga)","SWO (Espadon/ Xiphias gladius), ALB (Germon / Thunnus alalunga)"
"SK",NA,"Sharks","Requins","Most commonly caught elasmobranch species","Espèces d'élasmobranches les plus couramment capturées"
"SW",NA,"Swordfish","Espadons","SWO (Swordfish / Xiphias gladius)","SWO (Espadon / Xiphias gladius)"
"TB",NA,"Tropical tunas and billfish","Thons tropicaux et poissons porte-épées","Any combination of tropical tunas, marlins, sailfish, and swordfish","toute combinaison de thons tropicaux, marlins, voiliers et espadons"
"TM",NA,"Temperate tunas","Thons tempérés","ALB (Albacore tuna / Thunnus alalunga), SBF (Southern bluefin tuna / Thunnus maccoyii) or any combination of these","ALB (Germon / Thunnus alalunga), SBF (Thon rouge du sud / Thunnus maccoyii) ou toute combinaison de ceux-ci"
"TN",NA,"Tunas NEI","Thons NCA","All other small tunas not included under the neritic, temperate or tropical tuna species","Tous les autres thons mineurs non inclus dans les espèces de thons néritiques, tempérés ou tropicaux"
"TR",NA,"Tropical tunas","Thons tropicaux","BET (Bigeye tuna / Thunnus obesus), SKJ (Skipjack tuna / Katsuwonus pelamis), YFT (Yellowfin tuna / Thunnus albacares) or any combination of these","BET (Patudo / Thunnus obesus), SKJ (Listao / Katsuwonus pelamis), YFT (Albacore / Thunnus albacares) ou toute combinaison de ceux-ci"
"TT",NA,"Temperate and tropical tunas","Thons tempérés et tropicaux","Any combination of temperate and tropical tuna species","Toute combinaison de thons tempérés et tropicaux"
"YA",NA,"Yellowfin tuna and albacore","Albacores et germons","YFT (Yellowfin tuna / Thunnus albacares), ALB (Albacore / Thunnus alalunga)","YFT (Albacore / Thunnus albacares), ALB (Germon / Thunnus alalunga)"
