"code","uri","label_en","label_fr","definition_en","definition_fr"
"CO ",NA,"Fishery training vessels","Navires de formation à la pêche","Specialised vessels used for the training and education of individuals in fishing techniques, navigation, and other maritime skills, often equipped with various fishing gears and onboard facilities for practical instruction","Navires spécialisés utilisés pour la formation et l'éducation des individus aux techniques de pêche, à la navigation et à d'autres compétences maritimes, souvent équipés de divers engins de pêche et d'installations à bord pour l'enseignement pratique"
"FR ",NA,"Refrigerated transport vessels","Navires de transport frigorifique","Ships with refrigeration systems for transporting fish under controlled temperature conditions to preserve their quality and freshness during transit","Navires équipés de systèmes de réfrigération pour le transport du poisson dans des conditions de température contrôlée afin de préserver leur qualité et leur fraîcheur pendant le transport"
"GO ",NA,"Gillnetters","Fileyeurs","Fishing vessels designed for gillnet fishing, a method where fish are caught by entanglement in vertically suspended nets, used to harvest a wide variety of fish species","Navires de pêche conçus pour la pêche au filet maillant, une méthode de capture des poissons par enchevêtrement dans des filets suspendus verticalement, utilisée pour récolter une grande variété d'espèces de poissons"
"LL ",NA,"Longliners","Palangriers","Fishing vessels specifically designed for longline fishing, a method that deploys a main line with numerous baited hooks attached via branch lines, commonly used to catch species such as tuna, swordfish, and other pelagic or demersal fish","Navires de pêche spécialement conçus pour la pêche à la palangre, une méthode qui consiste à déployer une ligne principale à laquelle sont attachés de nombreux hameçons appâtés via des lignes secondaires, couramment utilisée pour capturer des espèces telles que le thon, l'espadon et d'autres poissons pélagiques ou démersaux"
"LO ",NA,"Line vessels (other)","Ligneurs","Fishing vessels equipped for line fishing, a method that uses lines with baited hooks to catch fish, including handlines and trolling lines, targeting various fish species","Navires de pêche équipés pour la pêche à la ligne, une méthode qui utilise des lignes avec des hameçons appâtés pour attraper des poissons, y compris des lignes à main et des lignes de traîne, ciblant diverses espèces de poissons"
"LP ",NA,"Pole-and-line vessels","Canneurs","Fishing vessels equipped for pole-and-line fishing, a method where fish are caught individually using poles, lines, and bait, often targeting species like tuna","Navires de pêche équipés pour la pêche à la canne, une méthode qui consiste à capturer les poissons individuellement à l'aide de cannes, de lignes et d'appâts, en ciblant souvent des espèces telles que le thon"
"MO ",NA,"Multipurpose vessels","Navires polyvalents","Fishing vessels designed to perform multiple types of fishing operations, equipped with versatile gear and systems to target a variety of species using different fishing methods","Navires de pêche conçus pour effectuer plusieurs types d'opérations de pêche, équipés d'engins et de systèmes polyvalents permettant de cibler une variété d'espèces en utilisant différentes méthodes de pêche"
"SP ",NA,"Purse seiners","Senneurs","Fishing vessels equipped for purse seining, a method where a large wall of netting is deployed to encircle a school of fish, with the bottom of the net drawn together like a drawstring to prevent escape, often used to catch species like tuna and sardines","Navires de pêche équipés pour la pêche à la senne coulissante, une méthode qui consiste à déployer un grand mur de filet pour encercler un banc de poissons, le fond du filet se resserrant comme un cordon pour empêcher les poissons de s'échapper. Cette méthode est souvent utilisée pour capturer des espèces telles que le thon et les sardines"
"TO ",NA,"Trawlers","Chalutiers","Fishing vessels equipped for trawling, a method where a conical net is towed through the water or along the seabed to capture fish or other marine organisms, commonly targeting species like shrimp, cod, and haddock","Navires de pêche équipés pour le chalutage, une méthode qui consiste à remorquer un filet conique dans l'eau ou le long du fond marin pour capturer des poissons ou d'autres organismes marins, en ciblant généralement des espèces telles que la crevette, le cabillaud et l'églefin"
"VO ",NA,"Vessels supporting fishing related activities","Navires supportant des activités liées à la pêche","Vessels designed to assist fishing operations by providing services such as supply, maintenance, transport of crew or catch, and logistical support, without directly engaging in fishing","Navires conçus pour assister les opérations de pêche en fournissant des services tels que l'approvisionnement, l'entretien, le transport de l'équipage ou des captures et le soutien logistique, sans s'engager directement dans la pêche"
