"code","uri","label_en","label_fr"
"00",NA,"Calm","Calme"
"01",NA,"Light Air","Très légère brise"
"02",NA,"Light breeze","Légère brise"
"03",NA,"Gentle breeze","Petite brise"
"04",NA,"Moderate breeze","Jolie brise"
"05",NA,"Fresh breeze","Bonne brise"
"06",NA,"Strong breeze","Vent frais"
"07",NA,"Moderate gale","Grand frais"
"08",NA,"Fresh gale","Coup de vent"
"09",NA,"Strong gale","Fort coup de vent"
"10",NA,"Whole gale","Tempête"
"11",NA,"Storm","Violente tempête"
"12",NA,"Hurricane","Ouragan"
