"code","uri","label_en","label_fr"
"BARQ",NA,"Barque (Reunion, Comoros)","Barque (Réunion, Comores)"
"DHOW",NA,"Arabian Dhow","Dhow arabe"
"DLIN",NA,"Australian drop liner","Drop liner australien"
"LAUN",NA,"Launch","Chaloupe"
"LLAF",NA,"Asian type fiberglass tuna longliner","Palangrier en polyester type asiatique"
"LLAS",NA,"Asian type steel tuna longliner","Palangrier en acier type asiatique "
"LLAW",NA,"Asian type wooden tuna longliner","Palangrier en bois type asiatique"
"LLES",NA,"European type steel swordfish longliner","Palangrier en acier type européen"
"MASD",NA,"Maldivian Masdhoani","Masdhoani maldivien"
"MLIN",NA,"Australian minor liner","Minor liner australien"
"MULT",NA,"Fiberglass multipurpose","Bateau polyvalent en polyester"
"OCAN",NA,"Outrigger-Canoe (Madagascar)","Tangon-Canoë (Madagascar)"
"PIRG",NA,"Pirogue","Pirogue"
"PLAW",NA,"Asian type wooden baitboat","Canneur en bois type asiatique"
"PLES",NA,"European type steel baitboat","Canneur en acier type européen"
"PSAS",NA,"Asian type industrial purse seiner","Senneur industriel type asiatique"
"PSEU",NA,"European type industrial purse seiner","Senneur industriel type européen"
"PSFG",NA,"Fiberglass coastal purse seiner (small pelagics)","Senneur côtier en polyester (petits pélagiques)"
"PSUS",NA,"American type industrial purse seiner","Senneur industriel type américain"
"PSWD",NA,"Wooden coastal purse seiner (small pelagics)","Senneur côtier en bois (petits pélagiques)"
"RWBO",NA,"Rowboat","Bateau à rames"
"SCHO",NA,"Seychelles Schooner","Schooner seychellois"
"SHAS",NA,"Yemeni Shasha","Shasha yéménite"
"SPOR",NA,"Sport boat","Bateau sportif"
"SUPP",NA,"Supply vessel industrial purse seine","Bateau auxiliaire senneurs industriels"
"TRSF",NA,"Fiberglass stern trawler","Chalutier pêche arrière en polyester"
"TRSS",NA,"Steel stern trawler","Chalutier pêche arrière en acier"
"TRSW",NA,"Wooden stern trawler","Chalutier pêche arrière en bois"
"UNKN",NA,"Unknown","Inconnu"
"VADH",NA,"Maldivian Vadhu","Vadhu maldivien"
"VEDT",NA,"Vedette (Reunion, Comoros)","Vedette (Réunion, Comores)"
"WHAL",NA,"Seychelles Whaler","Whaler seychellois"
