"code","uri","dataset_code","label_en","label_fr"
"RCAR",NA,"RC","Retained catches not available; RC aggregated by IOTC Area; RC broken by IOTC Area by using alternative information","Captures conservées à bord non disponibles; RC agrégées par zone CTOI; RC séparées par zone CTOI e utilisant des informations alternatives."
"RCAU",NA,"RC","Retained catches derived by using average catches by vessel unloading estimated from port sampling at processing plants and total number of vessel unloadings for the period","Captures conservées à bord estimées en utilisant les captures moyennes par navire au débarquement estimées par échantillonnage au port à l’usine de transformation et nombre total de navires débarquant sur la période."
"RCAV",NA,"RC","Retained catches not available for all the fishing vessels; RC raised by using the average catches by ship and the total number of ships active for the period","Captures conservées à bord non disponibles pour tous les navires; RC élevée en utilisant les captures moyennes par navire et le nombre total de navires actifs sur la période"
"RCCA",NA,"RC","Retained catches derived from catch assessment survey data","Captures conservées à bord estimées par enquête statistique"
"RCES",NA,"RC","Retained catches estimated by multiplying average CPUE values obtained through a sample survey (at the landing place) by the total effort recorded in each time-area stratum  (total enumeration of effort in time and space; sampling of catches in time and/or space)","Captures conservées estimées en multipliant les valeurs de PUE moyennes obtenues par échantillonnages (sur les sites de débarquement) par l’effort total enregistré pour chaque strate spatio-temporelle (énumération totale de l’effort dans le temps et l’espace ; échantillonnage des captures dans le temps et/ou l’espace)"
"RCFA",NA,"RC","Retained catches not available; catches estimated by using the total number of fishing vessels active for the period and average catches per vessel from a proxy fleet","Captures conservées à bord non disponibles; captures estimées en utilisant le nombre total de navires actifs sur la période et les captures moyennes par navire d’une flotte similaire."
"RCFC",NA,"RC","Retained catches not available; RC estimated by using average catches for the same fleet in previous years","Captures conservées à bord non disponibles, RC estimées en utilisant les captures moyennes de la même flotte les années précédentes."
"RCFS",NA,"RC","Retained catches not available; RC aggregated by flag and species; RC broken by flag by using the proportion that the catches of each flag make out of the total catches in previous years; RC broken by species using the species composition of the catches for the same fleet in previous years in a neighbouring country","Captures conservées à bord non disponibles; RC agrégées par pavillon et espèces; RC séparées par pavillon en utilisant les pourcentages de captures par pavillon des années précédentes; RC séparées par espèce en utilisant la composition par espèce de la même flotte les années précédents dans un pays voisin."
"RCGA",NA,"RC","Retained catches not available; RC aggregated by gear and IOTC Area; RC broken by gear and IOTC Area by using alternative information","Captures conservées à bord non disponibles; RC agrégées par engin and zone CTOI; RC séparées par engin et zone CTOI en utilisant des informations alternatives."
"RCGE",NA,"RC","Retained catches not available; Catches aggregated by gear; catches broken by gear by using alternative information","Captures conservées à bord non disponibles; Captures agrégées par engin, captures séparées par engin en utilisant des informations alternatives."
"RCGS",NA,"RC","Retained catches not available; RC aggregated by gear and species; RC broken by gear and species by using alternative information","Captures conservées à bord non disponibles; RC agrégées par engin et espèce; RC séparées par engin et espèce en utilisant des informations alternatives."
"RCIN",NA,"RC","Retained catches not available; RC estimated through interpolation","Captures conservées à bord non disponibles; RC estimées par interpolation."
