"code","uri","label_en","label_fr"
"BO",NA,"Number of boats","Nombre de bateaux"
"DS",NA,"Number of days at sea","Nombre de jours en mer"
"FD",NA,"Number of fishing days","Nombre de jours de pêche"
"FH",NA,"Number of hours fishing","Nombre d'heures de pêche"
"HA",NA,"Number of hauls","Nombre de traits"
"HK",NA,"Number of hooks","Nombre de hameçons"
"LH",NA,"Line-hours","Nombre d’heures de pêche accumulées pour les lignes déployées"
"MD",NA,"Men-days","Nombre de jours de pêche accumulées pour l'équipage"
"MH",NA,"Man-hours","Nombre d'heures de pêche accumulées pour l'équipage"
"NP",NA,"Number of lines (poles)","Nombre de cannes"
"NS",NA,"Number of sets","Nombre de coups de filet"
"NT",NA,"Net-days","Nombre de jours de pêche accumulées pour les filets déployées"
"SD",NA,"Number of searching days","Nombre de jours d'exploration"
"SH",NA,"Number of hours at sea","Nombre d'heures en mer"
"SR",NA,"Number of hours searching","Nombre d'heures d'exploration"
"ST",NA,"Number of hours fishing standardized","Nombre d'heures de pêche (standardisé)"
"TR",NA,"Number of trips","Nombre de marées"
"UN",NA,"Unknown","Inconnu"
