"code","uri","label_en","label_fr"
"AG00",NA,"Unidentified","Non classé"
"AG01",NA,"Baitboat and purse seine","Canne et senne tournante"
"AG02",NA,"Gillnet and handline","Filet maillant et ligne à main"
"AG03",NA,"Gillnet, handline and trolling","Filet maillant et ligne à main et ligne de traîne"
"AG04",NA,"Gillnet, handline, trolling and small purse seines","Filet maillant, ligne à main et petite senne coulissante"
"AG05",NA,"Gillnet / longline","Filet maillant et palangre"
"AG06",NA,"Handline and pole and line (mechanized boats)","Ligne à main et canne (bateaux motorisés)"
"AG07",NA,"Handline and pole and line (non-mechanized boats)","Ligne à main et canne (bateaux non motorisés)"
"AG08",NA,"Handline and trolling","Ligne à main et ligne de traîne"
"AG09",NA,"Handline, trolling and pole and line","Ligne à main, ligne de traîne et canne"
"AG10",NA,"Longline and handline","Palangre et ligne à main"
"AG11",NA,"Longline and trolling","Palangre côtière et ligne de traîne"
"AG12",NA,"Rod-and-reel and pole and line","Canne à moulinet et canne"
"AG13",NA,"Trawl and lines","Chalut et lignes"
"AG14",NA,"Handline and beach seine","Ligne à main et senne de plage"
"BS",NA,"Beach seine","Senne de plage"
"CN",NA,"Cast net","Épervier"
"DL",NA,"Dropline (vertical handline)","Ligne à main verticale"
"DLLS",NA,"Dropline on anchored-FAD","Ligne à main verticale sous DCP ancré"
"DS",NA,"Danish seine","Senne danoise"
"DSDM",NA,"Demersal Danish seine","Senne danoise démersale"
"GI",NA,"Gillnet","Filet maillant"
"GIDR",NA,"Driftnet","Filet dérivant"
"GILF",NA,"Gillnet (operated attached to a longline)","Filet maillant (attaché à une palangre)"
"GIOF",NA,"Offshore gillnet","Filet maillant hauturier"
"HL",NA,"Handline","Ligne à main"
"HLLS",NA,"Handline with payao","Ligne à main autour d'un payao"
"HLOF",NA,"Offshore handline","Ligne à main en haute mer"
"HR",NA,"Harpoon","Harpon"
"LL",NA,"Drifting longline (over 1800 hooks)","Palangre dérivante (plus de 1800 hameçons)"
"LLCO",NA,"Small longline","Petite palangre"
"LLEX",NA,"Drifting longline (exploratory)","Palangre dérivante de prospection"
"LLF",NA,"Set longline","Palangre ancrée"
"LLFR",NA,"Drifting longline (up to 1800 hooks)","Palangre dérivante (moins de 1800 hameçons)"
"LLGI",NA,"Longline (operated attached to Gillnet)","Palangre (attachée à un filet maillant)"
"LLSI",NA,"Swordfish longline (semi-industrial)","Palangre dérivante ciblant l'espadon (semi-industrielle)"
"LLSK",NA,"Shark longline","Palangre dérivante ciblant les requins"
"LLSW",NA,"Swordfish longline (Florida longline)","Palangre cibant l'espadon (type Floride)"
"LLTU",NA,"Tuna longline","Palangre dérivante ciblant le thon"
"LN",NA,"Liftnet","Carrelet"
"LNPA",NA,"Liftnet on anchored-FAD","Carrelet sous DCP ancré"
"PL",NA,"Pole and line","Canne"
"PLDF",NA,"Dolphin associated school pole and line","Canne sur bancs de thons associés avec des dauphins"
"PLFS",NA,"Free school pole and line","Canne sur banc libres de thons"
"PLIN",NA,"Industrial pole and line","Canne industrielle"
"PLME",NA,"Pole and line (mechanized boats)","Canne (bateau motorisé)"
"PLNM",NA,"Pole and line (non-mechanized boats)","Canne (bateau non motorisé)"
"PLOF",NA,"Pole and line (semi-industrial)","Canne (semi-industrielle)"
"PLPA",NA,"Pole and line on anchored-FAD","Canne sous DCP ancré"
"PS",NA,"Tuna purse seine","Senne tournante aux thons"
"PSFS",NA,"Free-school tuna purse seine","Senne tournante sur banc libres de thons"
"PSLS",NA,"Log-school tuna purse seine","Senne tournante sur des thons associés à un objet flottant dérivant"
"PSPA",NA,"Purse seine with payao","Senne tournante sur payao"
"PSRN",NA,"Ringnet","Lampara"
"PSRO",NA,"Offshore ringnet","Lampara en haute mer"
"PSRP",NA,"Ringnet with payao","Senne à anneaux sur payao"
"PSSA",NA,"Coastal purse seine on anchored-FAD","Senne tournante côtière sous DCP ancré"
"PSSF",NA,"Free school coastal purse seine","Senne tournante côtière sur banc libres de thons"
"PSSP",NA,"Supply vessel industrial purse seiner","Navire auxiliaire en appui ax senneurs industriels"
"PSSS",NA,"Small purse seines","Petite senne côtière"
"SN",NA,"Setnet","Filet de pêche"
"SP",NA,"Sport fishing","Pêche sportive"
"TL",NA,"Trolling","Ligne de traîne"
"TLME",NA,"Trolling (mechanized boats)","Ligne de traîne (bateau motorisé)"
"TLNM",NA,"Trolling (non-mechanized boats)","Ligne de traîne (bateau non motorisé)"
"TP",NA,"Trap","Madrague"
"TR",NA,"Trawl","Chalut"
