"code","uri","label_en","label_fr"
"BB",NA,"Baitboat","Canne"
"BBM",NA,"Baitboat mechanized","Canne motorisée"
"BBN",NA,"Baitboat non-mechanized","Canne non motorisée"
"BBOF",NA,"Baitboat (offshore)","Canne (hauturière)"
"BBPS",NA,"Baitboat and purse seine","Canne et senne tournante"
"BS",NA,"Beach seine","Senne de plage"
"CN",NA,"Cast net","Épervier"
"DDSEI",NA,"Demersal Danish seine","Senne danoise démersaux"
"DGN",NA,"Driftnet","Filet dérivant"
"DL",NA,"Dropline (vertical handline)","Ligne à main verticale"
"DSEI",NA,"Danish seine","Senne danoise"
"ELL",NA,"Longline targeting swordfish","Palangre à espadon"
"ELLOB",NA,"Longline targeting swordfish with observer","Palangre à espadon avec observateur"
"FLL",NA,"Longline fresh","Palangre fraiche"
"FN",NA,"Fish net","Filet de pêche"
"G/L",NA,"Gillnet and longline combination","Filet maillant et palangre"
"GHLI",NA,"Gillnet and line and liftnet","Filet maillant et ligne et carrelet"
"GIHA",NA,"Gillnet and handline","Filet maillant et ligne à main"
"GIHT",NA,"Gillnet and handline and troll line","Filet maillant et ligne à main et ligne de traîne"
"GILL",NA,"Gillnet","Filet maillant"
"GIOF",NA,"Offshore gillnet","Filet maillant pêche hauturière"
"GL",NA,"Gillnet operated attached to a longline","Filet maillant operé en combinaison avec palangre"
"HABBM",NA,"Handline and pole and line mechanized","Ligne à main et canne motorisée"
"HABBN",NA,"Handline and pole and line non-mechanized","Ligne à main et canne non-motorisée"
"HABBTR",NA,"Handline, pole and line and troll line","Ligne à main et ligne de traîne"
"HAND",NA,"Handline","Ligne à main"
"HANP",NA,"Handline with payao","Ligne à main avec payao"
"HARP",NA,"Harpoon","Harpon"
"HATR",NA,"Hand line and troll line","Ligne à main et ligne de traîne"
"HLOF",NA,"Hand line (offshore)","Ligne à main (hauturière)"
"HOOK",NA,"Hook and line","Ligne et hameçon"
"LG",NA,"Longline operated attached to gillnet","Palangre opérée en combinaison avec filet maillant"
"LIFT",NA,"Liftnet","Carrelet"
"LIGB",NA,"Gillnet and lines and baitboat and coastal seines","Filet maillant et canne et lignes et senne côtière"
"LL",NA,"Longline","Palangre dérivante au-dessus de 1800 hameçons"
"LLCO",NA,"Coastal longline","Petite palangre"
"LLEX",NA,"Exploratory longline","Palangre de prospection"
"LLF",NA,"Set longline","Palangre calée"
"LLHA",NA,"Longline and Handline combination","Palangre et ligne à main"
"LLOB",NA,"Longline with observer","Palangrier avec observateur"
"LLTR",NA,"Coastal Longline and Troll line combination","Palangre côtière et ligne de traîne"
"OTHER",NA,"Other artisanal gears","Autres engins artisanaux"
"PS",NA,"Purse seine","Senne tournante aux thons"
"PSFS",NA,"Purse seine on free-schools","Senne tournante sur banc libres de thons"
"PSLS",NA,"Purse seine on log-schools","Senne tournante thons sur bancs de thons associés à des objets flottants dérivants"
"PSOB",NA,"Purse with observer","Senne tournante avec observateur"
"PSP",NA,"Purse seine with payao","Senne tournante sur payao"
"PSS",NA,"Small purse seine","Petite senne côtière"
"RIN",NA,"Ring net","Lampara"
"RINP",NA,"Ring net with payao","Lampara sur payao"
"RNOF",NA,"Ring net (offshore)","Lampara (hauturière)"
"RR",NA,"Rod and Reel","Canne à moulinet"
"RRBB",NA,"Rod and reel and pole and line","Canne à moulinet et canne"
"SBG",NA,"Set bag net","Filets à l'étalage (diables)"
"SLL",NA,"Longline targeting sharks","Palangre ciblant les requins"
"SPOR",NA,"Sport fishing","Pêche sportive"
"SUPP",NA,"Supply vessel","Bateau auxiliaire"
"TRAP",NA,"Trap","Madrague"
"TRAW",NA,"Trawl","Chalut"
"TROL",NA,"Troll line","Ligne de traîne"
"TROLM",NA,"Trolling mechanized","Ligne de traîne motorisée"
"TROLN",NA,"Trolling non-mechanized","Ligne de traîne non motorisée"
"TROT",NA,"Trotline","Ligne de fond ancrée"
"TWLHT",NA,"Trawl and Hooks and Line","Chalut et ligne de traîne"
"UNCL",NA,"Unclassified","Non classé"
