"code","uri","label_en","label_fr"
"CF",NA,"Cleithrum-fork of the tail length (calliper lowest cm)","Longueur opercule-fourche de la queue (mesurée avec un pied à coulisse au cm inférieur)"
"CK",NA,"Cleithrum-keel length (calliper lowest cm)","Longueur opercule-carène (mesurée avec un pied à coulisse au cm inférieur)"
"CL",NA,"Carapace length (turtles) (curved length)","Longueur de la carapace (tortues) (longueur courbe)"
"CP",NA,"Cleithrum-keel length (tape measure lowest cm)","Longueur opercule-carène (mesurée au mètre ruban au cm inférieur)"
"DF",NA,"Base first dorsal fin-fork of the tail length (calliper lowest cm)","Longueur base de la première nageoire dorsale-fourche de la queue (mesurée avec un pied à coulisse au cm inférieur)"
"EF",NA,"Eye-fork of the tail length (calliper lowest cm)","Longueur œil-fourche de la queue (mesurée avec un pied à coulisse au cm inférieur)"
"ET",NA,"Eye-fork of the tail length (tape measure lowest cm)","Longueur œil-fourche de la queue (mesurée au mètre ruban au cm inférieur)"
"FB",NA,"Tip of snout-fork of the tail length (board lowest cm)","Longueur pointe du museau-fourche de la queue (mesurée à l’ichthyomètre au cm inférieur)"
"FL",NA,"Tip of snout-fork of the tail length (calliper lowest cm)","Longueur pointe du museau-fourche de la queue (mesurée avec un pied à coulisse au cm inférieur)"
"FT",NA,"Tip of snout-fork of the tail length (tape measure lowest cm)","Longueur à la fourche (mesurée au mètre ruban au cm inférieur)"
"PA",NA,"Base pectoral fin-base anal fin length (calliper lowest cm)","Longueur base de la nageoire pectorale-base de la nageoire anale (mesurée avec un pied à coulisse au cm inférieur)"
"PC",NA,"Base pectoral fin-fork of the tail length (calliper lowest cm)","Longueur base de la nageoire pectorale-fourche de la queue (mesurée avec un pied à coulisse au cm inférieur)"
"PT",NA,"Base pectoral fin-base anal fin length (tape measure lowest cm)","Longueur base de la nageoire pectorale-base de la nageoire anale (mesurée au mètre ruban au cm inférieur)"
"SF",NA,"Tip of snout-base first dorsal fin length  (calliper lowest cm)","Longueur pointe du museau-base de la première nageoire dorsale (mesurée avec un pied à coulisse)"
"TL",NA,"Total length (calliper lowest cm)","Longueur totale (mesurée avec un pied à coulisse au cm inférieur)"
"TW",NA,"Total width (tips of wings - rays)","Largeur totale (pointes des ailes - raies)"
"WL",NA,"Wing length (seabirds)","Longueur des ailes (oiseaux marins)"
"GG",NA,"Gilled-and-gutted (bill off) weight (kg)","Poids éviscéré (sans rostre) (kg)"
"HD",NA,"Headed-and-gutted weight (kg)","Poids étêté et éviscéré (kg)"
"HT",NA,"Headed and tailed weight (kg)","Poids étêté, éviscéré et sans nageoire caudale (kg)"
"KG",NA,"Round weight (kg)","Poids entier (kg)"
"PD",NA,"Headed and caudal peduncle-off weight (kg)","Poids étêté, éviscéré et sans pédoncule caudal (kg)"
"RD",NA,"Round (whole, live) weight (kg)","Poids vif (entier, vif) (kg)"
