"code","uri","label_en","label_fr","scientific_name","species_group_code","is_iotc","is_aggregate"
"RHN",NA,"Whale shark","Requin baleine","Rhincodon typus","SKH",FALSE,FALSE
"RMA",NA,"Reef manta rays","r","Manta alfredi","SRX",FALSE,FALSE
"RMB",NA,"Giant Mantas","Manta géant","Manta birostris","SRX",FALSE,FALSE
"RME",NA,"Longhorned mobula","L","Mobula eregoodootenkee","SRX",FALSE,FALSE
"RMJ",NA,"Spinetail mobula","Mante aiguillat","Mobula japanica","SRX",FALSE,FALSE
"RMM",NA,"Devil Ray","D","Mobula mobular","SRX",FALSE,FALSE
"RMO",NA,"Smoothtail mobula","Mante à queue lisse","Mobula thurstoni","SRX",FALSE,FALSE
"RMT",NA,"Chilean devil ray","R","Mobula tarapacana","SRX",FALSE,FALSE
"RMV",NA,"Mobula nei","M","Mobula spp","SRX",FALSE,FALSE
"RRH",NA,"Red-eye round herring","Shadine ronde","Etrumeus teres","NTAD",FALSE,FALSE
"RRU",NA,"Rainbow runner","Comète saumon","Elagatis bipinnulata","NTAD",FALSE,FALSE
"RSK",NA,"Requiem sharks nei","Requins nca","Carcharhinidae","RSK",FALSE,TRUE
"RUS",NA,"Indian scad","Comète indienne","Decapterus russelli","NTAD",FALSE,FALSE
"RUV",NA,"Patchwork stingaree","R","Urolophus flavomosaicus","NTAD",FALSE,FALSE
"RZV",NA,"Slender sunfish","S","Ranzania laevis","NTAD",FALSE,FALSE
"SAG",NA,"Goldstripe sardinella","Sardinelle dorée","Sardinella gibbosa","NTAD",FALSE,FALSE
"SAI",NA,"Atlantic sailfish","Voilier Atlantique","Istiophorus albicans","BILL",TRUE,TRUE
"SAP",NA,"Pacific saury","Saurie","Cololabis saira","NTAD",FALSE,FALSE
"SASP",NA,"Indo-Pacific sailfish and shortbill spearfish","Voilier indo-pacifique et makaire à rostre court","Istiophorus platypterus; Tetrapturus angustirostris","BILL",TRUE,TRUE
"SBF",NA,"Southern bluefin tuna","Thon rouge du Sud","Thunnus maccoyii","SBF",TRUE,FALSE
"SBL",NA,"Bluntnose sixgill shark","Requin griset","Hexanchus griseus","SKH",FALSE,FALSE
"SCK",NA,"Kitefin shark","Squale liche","Dalatias licha","SKH",FALSE,FALSE
"SEER",NA,"Wahoo and seerfishes nei","Thazards nca","Scomberomorini","KGX",TRUE,TRUE
"SFA",NA,"Indo-Pacific sailfish","Voilier indo-pacifique","Istiophorus platypterus","SFA",TRUE,FALSE
"SHBC",NA,"Banded Cat Shark","Holbiche des plages","Halaelurus lineatus","SKH",FALSE,FALSE
"SHCW",NA,"Cow Shark","Requins griset","Hexanchidae spp","SKH",FALSE,FALSE
"SHM",NA,"Mackerel Sharks","Requins taupe nca","Lamnidae","MSK",FALSE,TRUE
"SHRK",NA,"Sharks various nei","Requins divers nca","Selachimorpha (Pleurotremata)","SKH",FALSE,TRUE
"SHXX",NA,"Sharks nei other than oceanic whitetip shark and blue shark","Requins nca hors requin océanique et peau bleue","Selachimorpha (Pleurotremata)","SKH",FALSE,TRUE
"SKH",NA,"Sharks various nei","Requins divers nca","Selachimorpha (Pleurotremata)","SKH",FALSE,TRUE
"SKHS",NA,"Sharks finned","Requins sans nageoires","Selachimorpha (Pleurotremata)","SKH",FALSE,FALSE
"SKJ",NA,"Skipjack tuna","Listao","Katsuwonus pelamis","SKJ",TRUE,FALSE
"SKJL",NA,"Large skipjack tuna","Listao grand","Katsuwonus pelamis","SKJ",TRUE,FALSE
"SKJM",NA,"Medium skipjack tuna","Listao moyenne","Katsuwonus pelamis","SKJ",TRUE,FALSE
"SKJS",NA,"Small skipjack tuna","Petit listao","Katsuwonus pelamis","SKJ",TRUE,FALSE
"SKKA",NA,"Skipjack tuna and Kawakawa","Listao et Thonine orientale","Katsuwonus pelamis, Euthynnus affinis","TUN",TRUE,TRUE
"SKPN",NA,"Spinner Shark","Requin tisserand","Carcharhinus brevipinna","RSK",FALSE,FALSE
"SKX",NA,"Sharks, rays, skates, etc. nei","Requins, raies, etc. nca","Elasmobranchii","SKH",FALSE,FALSE
"SLT",NA,"Slender Tuna","Thon élégant","Allothunnus fallai","NTAD",FALSE,FALSE
"SMA",NA,"Shortfin mako","Taupe bleue","Isurus oxyrinchus","SMA",FALSE,FALSE
"SMD",NA,"Smooth-hound","Emissole lisse","Mustelus mustelus","SKH",FALSE,FALSE
"SNK",NA,"Snoek","Escolier","Thyrsites atun","NTAD",FALSE,FALSE
"SNX",NA,"Snappers and jobfishes nei","Lutianidés nca",NA,"NTAD",FALSE,FALSE
"SPF",NA,"Longbill spearfish","Makaire à rostre","Tetrapturus pfluegeri","BILL",FALSE,FALSE
"SPK",NA,"Great hammerhead shark","Grand requin marteau","Sphyrna mokarran","RSK",FALSE,FALSE
"SPL",NA,"Scalloped hammerhead","Requin marteau halicorne","Sphyrna lewini","SPL",FALSE,FALSE
"SPN",NA,"Hammerhead sharks nei","Requins marteau nca","Sphyrna spp.","SPY",FALSE,TRUE
"SPY",NA,"Bonnethead and hammerhead sharks","Requins marteau","Sphyrnidae","SPY",FALSE,FALSE
"SPZ",NA,"Smooth hammerhead","Requin marteau commun","Sphyrna zygaena","SPZ",FALSE,FALSE
"SRX",NA,"Rays and stingrays and mantas nei","Raies et pastenagues et mantes nca","Rajiformes","SRX",FALSE,TRUE
"SSP",NA,"Shortbill spearfish","Makaire à rostre court","Tetrapturus angustirostris","SSP",FALSE,FALSE
