code,uri,label,definition,Rounded size,IOTC_bio_length_class_code,IOTC_bio_length_class_label,bio_length_measurement_type_label,bio_length_measurement_type_code,length_measurement_unit
1,NA,1-1.9cm,NA,1,,1-1.9cm,Fork length,FL,cm
2,NA,2-2.9cm,NA,2,,2-2.9cm,Fork length,FL,cm
3,NA,3-3.9cm,NA,3,,3-3.9cm,Fork length,FL,cm
4,NA,4-4.9cm,NA,4,,4-4.9cm,Fork length,FL,cm
5,NA,5-5.9cm,NA,5,,5-5.9cm,Fork length,FL,cm
6,NA,6-6.9cm,NA,6,,6-6.9cm,Fork length,FL,cm
7,NA,7-7.9cm,NA,7,,7-7.9cm,Fork length,FL,cm
8,NA,8-8.9cm,NA,8,,8-8.9cm,Fork length,FL,cm
9,NA,9-9.9cm,NA,9,,9-9.9cm,Fork length,FL,cm
10,NA,10-10.9 cm,NA,10,C001,10-10.9 cm,Fork length,FL,cm
11,NA,11-11.9 cm,NA,11,C002,11-11.9 cm,Fork length,FL,cm
12,NA,12-12.9 cm,NA,12,C003,12-12.9 cm,Fork length,FL,cm
13,NA,13-13.9 cm,NA,13,C004,13-13.9 cm,Fork length,FL,cm
14,NA,14-14.9 cm,NA,14,C005,14-14.9 cm,Fork length,FL,cm
15,NA,15-15.9 cm,NA,15,C006,15-15.9 cm,Fork length,FL,cm
16,NA,16-16.9 cm,NA,16,C007,16-16.9 cm,Fork length,FL,cm
17,NA,17-17.9 cm,NA,17,C008,17-17.9 cm,Fork length,FL,cm
18,NA,18-18.9 cm,NA,18,C009,18-18.9 cm,Fork length,FL,cm
19,NA,19-19.9 cm,NA,19,C010,19-19.9 cm,Fork length,FL,cm
20,NA,20-20.9 cm,NA,20,C011,20-20.9 cm,Fork length,FL,cm
21,NA,21-21.9 cm,NA,21,C012,21-21.9 cm,Fork length,FL,cm
22,NA,22-22.9 cm,NA,22,C013,22-22.9 cm,Fork length,FL,cm
23,NA,23-23.9 cm,NA,23,C014,23-23.9 cm,Fork length,FL,cm
24,NA,24-24.9 cm,NA,24,C015,24-24.9 cm,Fork length,FL,cm
25,NA,25-25.9 cm,NA,25,C016,25-25.9 cm,Fork length,FL,cm
26,NA,26-26.9 cm,NA,26,C017,26-26.9 cm,Fork length,FL,cm
27,NA,27-27.9 cm,NA,27,C018,27-27.9 cm,Fork length,FL,cm
28,NA,28-28.9 cm,NA,28,C019,28-28.9 cm,Fork length,FL,cm
29,NA,29-29.9 cm,NA,29,C020,29-29.9 cm,Fork length,FL,cm
30,NA,30-30.9 cm,NA,30,C021,30-30.9 cm,Fork length,FL,cm
31,NA,31-31.9 cm,NA,31,C022,31-31.9 cm,Fork length,FL,cm
32,NA,32-32.9 cm,NA,32,C023,32-32.9 cm,Fork length,FL,cm
33,NA,33-33.9 cm,NA,33,C024,33-33.9 cm,Fork length,FL,cm
34,NA,34-34.9 cm,NA,34,C025,34-34.9 cm,Fork length,FL,cm
35,NA,35-35.9 cm,NA,35,C026,35-35.9 cm,Fork length,FL,cm
36,NA,36-36.9 cm,NA,36,C027,36-36.9 cm,Fork length,FL,cm
37,NA,37-37.9 cm,NA,37,C028,37-37.9 cm,Fork length,FL,cm
38,NA,38-38.9 cm,NA,38,C029,38-38.9 cm,Fork length,FL,cm
39,NA,39-39.9 cm,NA,39,C030,39-39.9 cm,Fork length,FL,cm
40,NA,40-40.9 cm,NA,40,C031,40-40.9 cm,Fork length,FL,cm
41,NA,41-41.9 cm,NA,41,C032,41-41.9 cm,Fork length,FL,cm
42,NA,42-42.9 cm,NA,42,C033,42-42.9 cm,Fork length,FL,cm
43,NA,43-43.9 cm,NA,43,C034,43-43.9 cm,Fork length,FL,cm
44,NA,44-44.9 cm,NA,44,C035,44-44.9 cm,Fork length,FL,cm
45,NA,45-45.9 cm,NA,45,C036,45-45.9 cm,Fork length,FL,cm
46,NA,46-46.9 cm,NA,46,C037,46-46.9 cm,Fork length,FL,cm
47,NA,47-47.9 cm,NA,47,C038,47-47.9 cm,Fork length,FL,cm
48,NA,48-48.9 cm,NA,48,C039,48-48.9 cm,Fork length,FL,cm
49,NA,49-49.9 cm,NA,49,C040,49-49.9 cm,Fork length,FL,cm
50,NA,50-50.9 cm,NA,50,C041,50-50.9 cm,Fork length,FL,cm
51,NA,51-51.9 cm,NA,51,C042,51-51.9 cm,Fork length,FL,cm
52,NA,52-52.9 cm,NA,52,C043,52-52.9 cm,Fork length,FL,cm
53,NA,53-53.9 cm,NA,53,C044,53-53.9 cm,Fork length,FL,cm
54,NA,54-54.9 cm,NA,54,C045,54-54.9 cm,Fork length,FL,cm
55,NA,55-55.9 cm,NA,55,C046,55-55.9 cm,Fork length,FL,cm
