code,uri,label,definition
31,NA,"Atlantic, Western Central",NA
31.1,NA,USA Atlantic Coast,NA
31.2,NA,Gulf of Mexico,NA
31.2.1,NA,Northern Gulf of Mexico,NA
31.2.2,NA,Southern Gulf of Mexico,NA
31.2.3,NA,Gulf of Mexico high-seas western triangle,NA
31.2.4,NA,Gulf of Mexico high-seas eastern triangle,NA
31.3,NA,West Indies,NA
31.3.1,NA,Lesser Antilles,NA
31.3.2,NA,"Greater Antilles - Lucayan Archipelago, North Hispaniola / Puerto Rico",NA
31.3.3,NA,Greater Antilles - Caribbean Sea,NA
31.3.4,NA,Greater Antilles - North-western Cuba,NA
31.4,NA,Main High-seas / Bermuda,NA
31.4.1,NA,High-seas / Southern Central Atlantic,NA
31.4.2,NA,High-seas / Central Atlantic,NA
31.4.3,NA,High-seas / Western Central Atlantic,NA
31.4.4,NA,Bermuda,NA
31.5,NA,Trinidad - Guyana - Suriname - Brazil,NA
31.6,NA,Venezuela - Netherlands Antilles,NA
31.6.1,NA,Gulf of Venezuela,NA
31.6.2,NA,Netherlands Antilles,NA
31.6.3,NA,Lake Maracaibo,NA
31.7,NA,Southwestern Caribbean,NA
31.7.1,NA,Colombia,NA
31.7.2,NA,Panama - Costa Rica,NA
31.7.3,NA,Nicaragua,NA
31.7.4,NA,Honduras,NA
31.8,NA,Gulf of Honduras,NA
41.1,NA,"Atlantic, Southwest / 41.1",NA
41.1.1,NA,"Atlantic, Southwest / 41.1.1",NA
41.1.2,NA,"Atlantic, Southwest / 41.1.2",NA
41.1.4,NA,"Atlantic, Southwest / 41.1.4",NA
