"code","uri","label","definition"
"02.1",,"Beach seines",
"02.2",,"Boat seines",
"07",,"Gillnet",
"06.1",,"Cast nets",
"08",,"Traps",
"08.2",,"Pots",
"09",,"Hooks and lines",
"09.1",,"Handlines and hand-operated pole-and-lines",
"09.2",,"Mechanized lines and pole-and-lines",
"09.32",,"Drifting longlines",
"09.39",,"Longlines",
"09.5",,"Trolling lines",
"10.1",,"Harpoons",
"10.2",,"Hand implements",
"10.4",,"Electric fishing",
"10.8",,"Diving",
"10.9",,"Gears nei",
"99.9",,"Gear not known",
"03",,"Trawl",
