code,uri,label,definition,name_sci,name_en,name_fr,name_es
SLC,,Caribbean spiny lobster,Panulirus argus,Panulirus argus,Caribbean spiny lobster,Langouste blanche,Langosta común
FFV,,Flying Fish,Hirundichthys affinis,Hirundichthys affinis,Flying Fish,Exocet hirondell,Volador golondrin
COO,,Queen conch,Lobatus gigas,Lobatus gigas,Queen conch,Strombe rose,Cobo rosado
YNA,,Acoupa weakfish,Cynoscion acoupa,Cynoscion acoupa,Acoupa weakfish,Acoupa toeroe,Corvineta amarilla
SNC,,Southern red snapper,Lutjanus purpureus,Lutjanus purpureus,Southern red snapper,Vivaneau rouge,Pargo colorado
SNL,,Lane snapper,Lutjanus synagris,Lutjanus synagris,Lane snapper,Vivaneau gazon,Pargo biajaiba
WKK,,King weakfish,Macrodon ancylodon,Macrodon ancylodon,King weakfish,,
YNV,,Green weakfish,Cynoscion virescens,Cynoscion virescens,Green weakfish,,
SUD,,Atlantic Angel Shark,Squatina dumeril,Squatina dumeril,Atlantic Angel Shark,,
CIO,,Daggernose Shark,Isogomphodon oxyrhynchus,Isogomphodon oxyrhynchus,Daggernose Shark,Requin bécune,Cazón picudo sudamericano
OCS,,Oceanic whitetip shark,Carcharhinus longimanus,Carcharhinus longimanus,Oceanic whitetip shark,,
RHN,,Whale Shark,Rhincodon typus,Rhincodon typus,Whale Shark,,
FAL,,Silky Shark,Carcharhinus falciformis,Carcharhinus falciformis,Silky Shark,,
BTH,,Bigeye thresher shark,Alopias superciliosus,Alopias superciliosus,Bigeye thresher shark,,
SMA,,Shortfin mako,Isurus oxyrinchus,Isurus oxyrinchus,Shortfin mako,,
POR,,Porbeagle shark,Lamna nasus,Lamna nasus,Porbeagle shark,,
BSH,,Blue shark,Prionace glauca,Prionace glauca,Blue shark,,
SPL,,Scalloped hammerhead shark,Sphyrna lewini,Sphyrna lewini,Scalloped hammerhead shark,,
SPK,,Great hammerhead,Sphyrna mokarran,Sphyrna mokarran,Great hammerhead,,
SPZ,,Smooth hammerhead,Sphyrna zygaena,Sphyrna zygaena,Smooth hammerhead,,
SPQ,,Smalleye hammerhead,Sphyrna tudes,Sphyrna tudes,Smalleye hammerhead,,
RHR,,Caribbean sharpnose shark,Rhizoprionodon porosus,Rhizoprionodon porosus,Caribbean sharpnose shark,,
RHL,,Brazilian sharpnose shark,Rhizoprionodon lalandii,Rhizoprionodon lalandii,Brazilian sharpnose shark,,
CCR,,Smalltail shark,Carcharhinus porosus,Carcharhinus porosus,Smalltail shark,,
CTI,,Dusky smooth-hound,Mustelus canis,Mustelus canis,Dusky smooth-hound,,
MTR,,Florida smoothhound,Mustelus norrisi,Mustelus norrisi,Florida smoothhound,,
CCL,,Blacktip shark,Carcharhinus limbatus,Carcharhinus limbatus,Blacktip shark,,
CCN,,Blacknose shark,Carcharhinus acronotus,Carcharhinus acronotus,Blacknose shark,,
CTJ,,smalleye smoothhound,Mustelus higmani,Mustelus higmani,smalleye smoothhound,,
TIG,,Tiger shark,Galeocerdo cuvier,Galeocerdo cuvier,Tiger shark,,
CCP,,Sandbar Shark,Carcharhinus plumbeus,Carcharhinus plumbeus,Sandbar Shark,,
CCE,,Bull Shark,Carcharhinus leucas,Carcharhinus leucas,Bull Shark,,
MWN,,Gulf smoothhound,Mustelus sinusmexicanus,Mustelus sinusmexicanus,Gulf smoothhound,,
RPP,,Smalltooth sawfish,Pristis pectinata,Pristis pectinata,Smalltooth sawfish,,
